date,holding,signal_on,microcap_ret,hedge_ret,entry_exit_cost,rebalance_cost,total_cost,prev_drawdown,nav_hedge_state,target_hedge_ratio,hedge_ratio_live,active_spread_ret,futures_drag_dynamic,return_raw_dynamic,return_net,nav_net
2010-02-02,cash,True,-0.00027630883477236523,-0.0034245363786233884,0.0,0.0,0.0,0.0,normal,0.8,0.0,0.0,0.0,0.0,0.0,1.0
2010-02-03,long_microcap_short_zz1000,True,0.019016538824106588,0.018783709267844673,0.003,0.0,0.003,0.0,normal,0.8,0.8,0.003989571409830849,0.00024,0.0037495714098308487,0.0007495714098308486,1.000749571409831
2010-02-04,long_microcap_short_zz1000,True,0.015452518792435033,0.01379609927430514,0.0,0.0,0.0,0.0,normal,0.8,0.8,0.00441563937299092,0.00024,0.00417563937299092,0.00417563937299092,1.0049283407227134
2010-02-05,long_microcap_short_zz1000,True,-0.011059265770718696,-0.018892221537361698,0.0,0.0,0.0,0.0,normal,0.8,0.8,0.0040545114591706635,0.00024,0.0038145114591706633,0.0038145114591706633,1.0087616513940454
2010-02-08,long_microcap_short_zz1000,True,0.002514121945358161,-0.0007473527364787458,0.0,0.0,0.0,0.0,normal,0.8,0.8,0.0031120041345411575,0.00024,0.0028720041345411573,0.0028720041345411573,1.0116588190276157
2010-02-09,long_microcap_short_zz1000,True,0.00021382263961111647,-0.0002921530040340681,0.0,0.0,0.0,0.0,normal,0.8,0.8,0.0004475450428383709,0.00024,0.0002075450428383709,0.0002075450428383709,1.0118687838005485
2010-02-10,long_microcap_short_zz1000,True,0.01284899312316945,0.012411948575396403,0.0,0.0,0.0,0.0,normal,0.8,0.8,0.002919434262852327,0.00024,0.0026794342628523268,0.0026794342628523268,1.0145800196893742
2010-02-11,long_microcap_short_zz1000,True,-0.004526201085722548,-0.005378231210829476,0.0,0.0,0.0,0.0,normal,0.8,0.8,-0.00022361611705896695,0.00024,-0.00046361611705896693,-0.00046361611705896693,1.0141096440402002
2010-02-12,long_microcap_short_zz1000,True,0.009974017149651404,0.013733042652531946,0.0,0.00048,0.00048,-0.00046361611705891814,normal,0.8,0.8,-0.0010124169723741538,0.00024,-0.0012524169723741538,-0.0017324169723741537,1.0123527832810166
2010-02-22,long_microcap_short_zz1000,True,0.0051565477079213995,0.006048627206683976,0.0,0.0,0.0,-0.0021952299130032493,normal,0.8,0.8,0.0003176459425742184,0.00024,7.76459425742184e-05,7.76459425742184e-05,1.0124313883670921
2010-02-23,long_microcap_short_zz1000,True,0.008911526044408813,0.01628614812335938,0.0,0.0,0.0,-0.002117754421124829,normal,0.8,0.8,-0.00411739245427869,0.00024,-0.00435739245427869,-0.00435739245427869,1.0080198274749466
2010-02-24,long_microcap_short_zz1000,True,0.02525760331751159,0.02137658677980303,0.0,0.0,0.0,-0.0064659189882687595,normal,0.8,0.8,0.008156333893669165,0.00024,0.007916333893669164,0.007916333893669164,1.015999649000677
2010-02-25,long_microcap_short_zz1000,True,0.01639157064388841,0.018729466670760697,0.0,0.0,0.0,0.0,normal,0.8,0.8,0.0014079973072798502,0.00024,0.0011679973072798503,0.0011679973072798503,1.017186333854907
2010-02-26,long_microcap_short_zz1000,True,0.006769800051875663,0.001782538869250283,0.0,0.0001799999999999,0.0001799999999999,0.0,normal,0.8,0.8,0.005343768956475437,0.00024,0.005103768956475437,0.004923768956475537,1.022194724348493
