r2_threshold,annual,max_dd,sharpe,vol,active_days_pct,avg_effective_leverage,avg_active_leverage,rebalances_per_year
0.0,0.22024794203912812,-0.0764947261624425,2.0400363044907026,0.10796275613051566,0.5,0.5,1.0,25.088537020517396
0.1,0.15934026378444788,-0.08187353455001677,1.5857603738579633,0.10048193056860935,0.4381720430107527,0.4381720430107527,1.0,44.638046387154326
0.2,0.1341200665447677,-0.08187353455001696,1.3754722380750872,0.09750837772811964,0.4112903225806452,0.4112903225806452,1.0,46.592997323818025
0.3,0.08526258859298319,-0.08187353455001703,0.9060359653926693,0.09410508175139716,0.375,0.375,1.0,47.244647636039254
0.4,0.04395576995141659,-0.09722529986518388,0.4805457880432818,0.09147051341433791,0.34543010752688175,0.34543010752688175,1.0,47.244647636039254
0.5,0.08216681493375533,-0.08389362906793901,0.9556670033365453,0.08597849946360413,0.3131720430107527,0.3131720430107527,1.0,44.638046387154326
0.6,0.08363302340138401,-0.0655011492232753,1.028624717660905,0.08130567151017497,0.2728494623655914,0.2728494623655914,1.0,43.00892060660125
0.7,0.035983521934749296,-0.09216111137391202,0.49693001191173825,0.07241164967339601,0.22446236559139784,0.22446236559139784,1.0,40.40231935771633
0.8,0.03562018605172046,-0.10414069177287755,0.5339790505215275,0.0667070852628598,0.1693548387096774,0.1693548387096774,1.0,31.279214986619092
0.9,0.010137925683034732,-0.09458040413720742,0.18037185441824688,0.05620569636949496,0.0967741935483871,0.0967741935483871,1.0,24.11106155218555
