rebalance_date,entry_count,exit_count,turnover_frac_one_side,two_side_cost_rate
2010-01-12,2,2,0.1,0.0006000000000000001
2010-01-26,2,2,0.1,0.0006000000000000001
2010-02-09,2,2,0.1,0.0006000000000000001
2010-02-23,1,1,0.05,0.00030000000000000003
2010-03-09,2,2,0.1,0.0006000000000000001
2010-03-23,1,1,0.05,0.00030000000000000003
2010-04-06,3,3,0.15,0.0009
2010-04-20,4,4,0.2,0.0012000000000000001
2010-05-04,5,5,0.25,0.0015
2010-05-18,3,3,0.15,0.0009
2010-06-01,1,1,0.05,0.00030000000000000003
2010-06-17,3,3,0.15,0.0009
2010-06-29,3,3,0.15,0.0009
2010-07-13,1,1,0.05,0.00030000000000000003
2010-07-27,1,1,0.05,0.00030000000000000003
2010-08-10,1,1,0.05,0.00030000000000000003
2010-08-24,2,2,0.1,0.0006000000000000001
2010-09-07,2,2,0.1,0.0006000000000000001
2010-09-21,2,2,0.1,0.0006000000000000001
2010-10-08,1,1,0.05,0.00030000000000000003
2010-10-19,1,1,0.05,0.00030000000000000003
2010-11-02,0,0,0.0,0.0
2010-11-16,3,3,0.15,0.0009
2010-11-30,3,3,0.15,0.0009
2010-12-14,2,2,0.1,0.0006000000000000001
2010-12-28,2,2,0.1,0.0006000000000000001
2011-01-11,2,2,0.1,0.0006000000000000001
2011-01-25,1,1,0.05,0.00030000000000000003
2011-02-09,1,1,0.05,0.00030000000000000003
2011-02-22,2,2,0.1,0.0006000000000000001
2011-03-08,1,1,0.05,0.00030000000000000003
2011-03-22,2,2,0.1,0.0006000000000000001
2011-04-06,4,4,0.2,0.0012000000000000001
2011-04-19,3,3,0.15,0.0009
2011-05-03,3,3,0.15,0.0009
2011-05-17,1,1,0.05,0.00030000000000000003
2011-05-31,3,3,0.15,0.0009
2011-06-14,4,4,0.2,0.0012000000000000001
2011-06-28,3,3,0.15,0.0009
2011-07-12,2,2,0.1,0.0006000000000000001
2011-07-26,3,3,0.15,0.0009
2011-08-09,4,4,0.2,0.0012000000000000001
2011-08-23,4,4,0.2,0.0012000000000000001
2011-09-06,2,2,0.1,0.0006000000000000001
2011-09-20,2,2,0.1,0.0006000000000000001
2011-10-10,2,2,0.1,0.0006000000000000001
2011-10-18,1,1,0.05,0.00030000000000000003
2011-11-01,3,3,0.15,0.0009
2011-11-15,1,1,0.05,0.00030000000000000003
2011-11-29,2,2,0.1,0.0006000000000000001
2011-12-13,3,3,0.15,0.0009
2011-12-27,5,5,0.25,0.0015
2012-01-10,3,3,0.15,0.0009
2012-01-30,1,1,0.05,0.00030000000000000003
2012-02-07,1,1,0.05,0.00030000000000000003
2012-02-21,2,2,0.1,0.0006000000000000001
2012-03-06,1,1,0.05,0.00030000000000000003
2012-03-20,2,2,0.1,0.0006000000000000001
2012-04-05,4,4,0.2,0.0012000000000000001
2012-04-17,3,3,0.15,0.0009
2012-05-02,4,4,0.2,0.0012000000000000001
2012-05-15,3,3,0.15,0.0009
2012-05-29,2,2,0.1,0.0006000000000000001
2012-06-12,3,3,0.15,0.0009
2012-06-26,2,2,0.1,0.0006000000000000001
2012-07-10,2,2,0.1,0.0006000000000000001
2012-07-24,7,7,0.35,0.0021
2012-08-07,4,4,0.2,0.0012000000000000001
2012-08-21,2,2,0.1,0.0006000000000000001
2012-09-04,4,4,0.2,0.0012000000000000001
2012-09-18,2,2,0.1,0.0006000000000000001
2012-10-08,2,2,0.1,0.0006000000000000001
2012-10-16,3,3,0.15,0.0009
2012-10-30,2,2,0.1,0.0006000000000000001
2012-11-13,3,3,0.15,0.0009
2012-11-27,2,2,0.1,0.0006000000000000001
2012-12-11,3,3,0.15,0.0009
2012-12-25,4,4,0.2,0.0012000000000000001
2013-01-08,2,2,0.1,0.0006000000000000001
2013-01-22,3,3,0.15,0.0009
2013-02-05,2,2,0.1,0.0006000000000000001
2013-02-19,2,2,0.1,0.0006000000000000001
2013-03-05,4,4,0.2,0.0012000000000000001
2013-03-19,2,2,0.1,0.0006000000000000001
2013-04-02,5,5,0.25,0.0015
2013-04-16,3,3,0.15,0.0009
2013-05-02,3,3,0.15,0.0009
2013-05-14,4,4,0.2,0.0012000000000000001
2013-05-28,4,4,0.2,0.0012000000000000001
2013-06-13,3,3,0.15,0.0009
2013-06-25,8,8,0.4,0.0024000000000000002
2013-07-09,3,3,0.15,0.0009
2013-07-23,6,6,0.3,0.0018
2013-08-06,3,3,0.15,0.0009
2013-08-20,2,2,0.1,0.0006000000000000001
2013-09-03,6,6,0.3,0.0018
2013-09-17,6,6,0.3,0.0018
2013-10-08,4,4,0.2,0.0012000000000000001
2013-10-22,5,5,0.25,0.0015
