lookback,annual,max_dd,sharpe,vol
1,0.2295923129827202,-0.12084118111043271,2.6000052138162895,0.08830455868422066
8,0.22918580773741937,-0.10580761512560632,2.572571923860419,0.08908820220408126
6,0.22682143519325115,-0.08949466280856391,2.5320747856867536,0.08957927959925253
9,0.23090774549500392,-0.12052833017765065,2.517191828905561,0.09173227993330937
5,0.22168895120922905,-0.12171608663242113,2.5051906421311796,0.08849184867648915
7,0.22468355580709298,-0.11992624446987672,2.4782911675179258,0.09066067730537067
14,0.22603180188452,-0.15071372813113304,2.431056972968428,0.09297676047819035
15,0.22444296425875643,-0.1422460693096525,2.384973329844071,0.09410711702735496
17,0.22268092624948443,-0.11780900372261449,2.378295843858381,0.093630456793055
16,0.22335405812329534,-0.11755541935229381,2.3778728022933464,0.09393019589100009
13,0.2193050217478365,-0.13503305095222376,2.373250235323515,0.09240703676489531
3,0.20673034543627167,-0.12644370836065463,2.3706369832414644,0.08720455594749105
4,0.21248376613341247,-0.12750293754072256,2.3610267841337698,0.08999633869523001
11,0.2159050729009937,-0.13677646598678742,2.359144187429241,0.09151838791857203
10,0.21766719418742264,-0.11841885076170207,2.351134943646985,0.09257962618248791
18,0.21751691082582414,-0.12442794905342147,2.314680562319211,0.0939727556220032
12,0.21548322034854062,-0.11745413984761026,2.3109562446743857,0.09324418012895015
20,0.21534401306054618,-0.17073002014159627,2.267140092154359,0.09498487270626256
19,0.21313559435754303,-0.13387092708402035,2.255398551276744,0.09450019121316297
2,0.19264396466512657,-0.1351405999068046,2.1739666242524076,0.08861403966188935
