date,long_only_return,long_only_nav,holding,signal_on
2010-01-12,0.0,1.0,cash,True
2010-01-13,-0.007662862227681311,0.9923371377723187,long_microcap_short_zz1000,True
2010-01-14,0.026951315616887683,1.0190819291707793,long_microcap_short_zz1000,True
2010-01-15,0.008243128885032869,1.027482352857342,long_microcap_short_zz1000,True
2010-01-18,0.015667329151338505,1.0435802570767498,long_microcap_short_zz1000,True
2010-01-19,0.00011230063364742193,1.0436974518008815,long_microcap_short_zz1000,False
2010-01-20,0.0,1.0436974518008815,cash,False
2010-01-21,0.0,1.0436974518008815,cash,False
2010-01-22,0.0,1.0436974518008815,cash,False
2010-01-25,0.0,1.0436974518008815,cash,True
2010-01-26,-0.03978084965946005,1.002178280380829,long_microcap_short_zz1000,True
2010-01-27,-0.008373747625606165,0.993786292385056,long_microcap_short_zz1000,True
2010-01-28,0.011631577771857193,1.0053455949335384,long_microcap_short_zz1000,True
2010-01-29,0.009536891720253182,1.014933467013853,long_microcap_short_zz1000,True
2010-02-01,-0.015764947313618327,0.9989330943795516,long_microcap_short_zz1000,False
2010-02-02,0.0,0.9989330943795516,cash,False
2010-02-03,0.0,0.9989330943795516,cash,False
2010-02-04,0.0,0.9989330943795516,cash,False
2010-02-05,0.0,0.9989330943795516,cash,False
2010-02-08,0.0,0.9989330943795516,cash,True
2010-02-09,0.0001388153859085417,0.9990717616625447,long_microcap_short_zz1000,True
2010-02-10,0.013965641146081786,1.0130244393651076,long_microcap_short_zz1000,True
2010-02-11,-0.003647244348503831,1.0093296917037369,long_microcap_short_zz1000,True
2010-02-12,0.011507879750236816,1.0209449364242071,long_microcap_short_zz1000,True
2010-02-22,0.004693620005903565,1.0257368640027338,long_microcap_short_zz1000,True
2010-02-23,0.012335784730436172,1.0383901331471441,long_microcap_short_zz1000,False
2010-02-24,0.0,1.0383901331471441,cash,False
2010-02-25,0.0,1.0383901331471441,cash,False
2010-02-26,0.0,1.0383901331471441,cash,False
2010-03-01,0.0,1.0383901331471441,cash,True
2010-03-02,0.0030502875901770032,1.0415575216840451,long_microcap_short_zz1000,True
2010-03-03,0.012510440646113397,1.0545878652385863,long_microcap_short_zz1000,True
2010-03-04,-0.03776121760021278,1.0147653433807682,long_microcap_short_zz1000,True
2010-03-05,0.005813380665726786,1.0206645606082276,long_microcap_short_zz1000,True
2010-03-08,0.014313774671515622,1.0352741231439753,long_microcap_short_zz1000,True
2010-03-09,0.0018731188426202028,1.0372133146113134,long_microcap_short_zz1000,True
2010-03-10,-0.008305943075973987,1.0285982798625095,long_microcap_short_zz1000,True
2010-03-11,0.0005236606988026082,1.0291369163565294,long_microcap_short_zz1000,True
