strategy,annual,max_dd,sharpe,vol,total_return,peak_date,trough_date,recovery_date
Momentum 5d Hedged,0.22168895120922905,-0.12171608663242113,2.5051906421311796,0.08849184867648915,24.517955860919148,,,
OR Combo,0.23947942007832768,-0.11604711060485307,2.5262418710313144,0.09479671080764823,30.47427483168214,2021-05-13,2021-09-27,2022-01-05
Hybrid 50/50,0.2727897309573537,-0.13479648272301414,2.2448823765171295,0.12151626909761709,47.193669822564665,2015-08-17,2015-09-15,2015-10-12
