symbol,status,rows,date_min,date_max
000056,ok,834,2022-11-01,2026-04-10
000610,ok,834,2022-11-01,2026-04-10
000632,ok,834,2022-11-01,2026-04-10
000637,ok,832,2022-11-01,2026-04-10
000679,ok,834,2022-11-01,2026-04-10
000692,ok,832,2022-11-01,2026-04-10
000702,ok,834,2022-11-01,2026-04-10
000890,ok,834,2022-11-01,2026-04-10
000953,ok,829,2022-11-01,2026-04-10
000995,ok,833,2022-11-01,2026-04-10
001211,ok,834,2022-11-01,2026-04-10
001231,ok,834,2022-11-01,2026-04-10
001259,ok,834,2022-11-01,2026-04-10
001336,ok,834,2022-11-01,2026-04-10
001366,ok,750,2023-03-07,2026-04-10
001373,ok,692,2023-06-01,2026-04-10
002072,ok,833,2022-11-01,2026-04-10
002188,ok,834,2022-11-01,2026-04-10
002193,ok,834,2022-11-01,2026-04-10
002205,ok,834,2022-11-01,2026-04-10
002207,ok,832,2022-11-01,2026-04-10
002247,ok,834,2022-11-01,2026-04-10
002295,ok,834,2022-11-01,2026-04-10
002316,ok,831,2022-11-01,2026-04-10
002360,ok,834,2022-11-01,2026-04-10
002486,ok,834,2022-11-01,2026-04-10
002494,ok,824,2022-11-01,2026-04-10
002513,ok,830,2022-11-01,2026-04-10
002591,ok,834,2022-11-01,2026-04-10
002622,ok,834,2022-11-01,2026-04-10
002629,ok,834,2022-11-01,2026-04-10
002633,ok,831,2022-11-01,2026-04-10
002652,ok,834,2022-11-01,2026-04-10
002700,ok,833,2022-11-01,2026-04-10
002715,ok,824,2022-11-01,2026-04-10
002719,ok,834,2022-11-01,2026-04-10
002748,ok,832,2022-11-01,2026-04-10
002775,ok,834,2022-11-01,2026-04-10
002778,ok,829,2022-11-01,2026-04-10
002780,ok,834,2022-11-01,2026-04-10
002820,ok,834,2022-11-01,2026-04-10
002828,ok,829,2022-11-01,2026-04-10
002830,ok,834,2022-11-01,2026-04-10
002856,ok,834,2022-11-01,2026-04-10
002857,ok,834,2022-11-01,2026-04-10
002861,ok,834,2022-11-01,2026-04-10
002862,ok,834,2022-11-01,2026-04-10
002883,ok,834,2022-11-01,2026-04-10
002890,ok,834,2022-11-01,2026-04-10
002910,ok,834,2022-11-01,2026-04-10
002963,ok,834,2022-11-01,2026-04-10
003003,ok,834,2022-11-01,2026-04-10
003011,ok,834,2022-11-01,2026-04-10
003017,ok,834,2022-11-01,2026-04-10
300013,ok,832,2022-11-01,2026-04-10
300030,ok,834,2022-11-01,2026-04-10
300069,ok,824,2022-11-01,2026-04-10
300103,ok,829,2022-11-01,2026-04-10
300106,ok,834,2022-11-01,2026-04-10
300163,ok,824,2022-11-01,2026-04-10
300169,ok,829,2022-11-01,2026-04-10
300220,ok,832,2022-11-01,2026-04-10
300295,ok,834,2022-11-01,2026-04-10
300334,ok,834,2022-11-01,2026-04-10
300405,ok,834,2022-11-01,2026-04-10
300417,ok,834,2022-11-01,2026-04-10
300449,ok,824,2022-11-01,2026-04-10
300500,ok,834,2022-11-01,2026-04-10
300535,ok,834,2022-11-01,2026-04-10
300536,ok,832,2022-11-01,2026-04-10
300549,ok,834,2022-11-01,2026-04-10
300556,ok,834,2022-11-01,2026-04-10
300591,ok,834,2022-11-01,2026-04-10
300594,ok,834,2022-11-01,2026-04-10
300614,ok,834,2022-11-01,2026-04-10
300621,ok,834,2022-11-01,2026-04-10
300635,ok,831,2022-11-01,2026-04-10
300637,ok,834,2022-11-01,2026-04-10
300640,ok,834,2022-11-01,2026-04-10
300649,ok,834,2022-11-01,2026-04-10
300665,ok,832,2022-11-01,2026-04-10
300670,ok,834,2022-11-01,2026-04-10
300675,ok,834,2022-11-01,2026-04-10
300710,ok,824,2022-11-01,2026-04-10
300717,ok,834,2022-11-01,2026-04-10
300721,ok,834,2022-11-01,2026-04-10
300736,ok,832,2022-11-01,2026-04-10
300743,ok,834,2022-11-01,2026-04-10
300823,ok,834,2022-11-01,2026-04-10
300838,ok,834,2022-11-01,2026-04-10
300845,ok,834,2022-11-01,2026-04-10
300854,ok,834,2022-11-01,2026-04-10
300865,ok,834,2022-11-01,2026-04-10
300883,ok,834,2022-11-01,2026-04-10
300886,ok,834,2022-11-01,2026-04-10
300906,ok,834,2022-11-01,2026-04-10
300912,ok,824,2022-11-01,2026-04-10
300923,ok,834,2022-11-01,2026-04-10
300929,ok,834,2022-11-01,2026-04-10
300935,ok,834,2022-11-01,2026-04-10
300958,ok,834,2022-11-01,2026-04-10
300961,ok,834,2022-11-01,2026-04-10
300995,ok,834,2022-11-01,2026-04-10
301001,ok,834,2022-11-01,2026-04-10
301010,ok,834,2022-11-01,2026-04-10
301024,ok,834,2022-11-01,2026-04-10
301030,ok,834,2022-11-01,2026-04-10
301036,ok,834,2022-11-01,2026-04-10
301037,ok,834,2022-11-01,2026-04-10
301040,ok,829,2022-11-01,2026-04-10
301049,ok,834,2022-11-01,2026-04-10
301098,ok,834,2022-11-01,2026-04-10
301105,ok,791,2022-12-30,2026-04-10
301113,ok,834,2022-11-01,2026-04-10
301125,ok,834,2022-11-01,2026-04-10
301131,ok,834,2022-11-01,2026-04-10
301139,ok,834,2022-11-01,2026-04-10
301163,ok,834,2022-11-01,2026-04-10
301167,ok,834,2022-11-01,2026-04-10
301198,ok,834,2022-11-01,2026-04-10
301231,ok,834,2022-11-01,2026-04-10
301273,ok,834,2022-11-01,2026-04-10
301300,ok,834,2022-11-01,2026-04-10
301336,ok,834,2022-11-01,2026-04-10
301372,ok,643,2023-08-11,2026-04-10
301390,ok,710,2023-05-08,2026-04-10
301515,ok,656,2023-07-25,2026-04-10
600119,ok,834,2022-11-01,2026-04-10
600137,ok,834,2022-11-01,2026-04-10
600149,ok,834,2022-11-01,2026-04-10
600202,ok,834,2022-11-01,2026-04-10
600303,ok,830,2022-11-01,2026-04-10
600448,ok,834,2022-11-01,2026-04-10
600455,ok,833,2022-11-01,2026-04-10
600476,ok,834,2022-11-01,2026-04-10
600493,ok,834,2022-11-01,2026-04-10
600543,ok,832,2022-11-01,2026-04-10
600561,ok,834,2022-11-01,2026-04-10
600615,ok,834,2022-11-01,2026-04-10
600671,ok,831,2022-11-01,2026-04-10
600689,ok,834,2022-11-01,2026-04-10
600697,ok,834,2022-11-01,2026-04-10
600768,ok,834,2022-11-01,2026-04-10
600778,ok,834,2022-11-01,2026-04-10
600847,ok,833,2022-11-01,2026-04-10
600857,ok,834,2022-11-01,2026-04-10
600883,ok,834,2022-11-01,2026-04-10
603022,ok,834,2022-11-01,2026-04-10
603023,ok,822,2022-11-01,2026-04-10
603073,ok,743,2023-03-16,2026-04-10
603139,ok,832,2022-11-01,2026-04-10
603177,ok,834,2022-11-01,2026-04-10
603183,ok,834,2022-11-01,2026-04-10
603214,ok,834,2022-11-01,2026-04-10
603272,ok,834,2022-11-01,2026-04-10
603332,ok,834,2022-11-01,2026-04-10
603356,ok,824,2022-11-01,2026-04-10
603536,ok,834,2022-11-01,2026-04-10
603578,ok,829,2022-11-01,2026-04-10
603616,ok,824,2022-11-01,2026-04-10
603709,ok,834,2022-11-01,2026-04-10
603717,ok,834,2022-11-01,2026-04-10
603725,ok,834,2022-11-01,2026-04-10
603729,ok,824,2022-11-01,2026-04-10
603779,ok,834,2022-11-01,2026-04-10
603810,ok,834,2022-11-01,2026-04-10
603860,ok,834,2022-11-01,2026-04-10
603879,ok,832,2022-11-01,2026-04-10
603880,ok,827,2022-11-01,2026-04-10
603908,ok,834,2022-11-01,2026-04-10
605069,ok,834,2022-11-01,2026-04-10
605122,ok,834,2022-11-01,2026-04-10
605177,ok,834,2022-11-01,2026-04-10
605567,ok,834,2022-11-01,2026-04-10
688004,ok,834,2022-11-01,2026-04-10
688021,ok,834,2022-11-01,2026-04-10
688038,ok,824,2022-11-01,2026-04-10
688051,ok,824,2022-11-01,2026-04-10
688058,ok,834,2022-11-01,2026-04-10
688067,ok,834,2022-11-01,2026-04-10
688078,ok,834,2022-11-01,2026-04-10
688092,ok,834,2022-11-01,2026-04-10
688096,ok,834,2022-11-01,2026-04-10
688115,ok,824,2022-11-01,2026-04-10
688118,ok,834,2022-11-01,2026-04-10
688129,ok,834,2022-11-01,2026-04-10
688156,ok,834,2022-11-01,2026-04-10
688178,ok,829,2022-11-01,2026-04-10
688189,ok,834,2022-11-01,2026-04-10
688193,ok,834,2022-11-01,2026-04-10
