strategy,annual,max_dd,sharpe,vol,total_return,win_rate,avg_weight,active_days_pct,rebalances_per_year,peak_date,trough_date,recovery_date
mom5_plain,0.2615801402999596,-0.07664793339443128,2.1538846767234348,0.12144575014939263,1.0943474361874999,,,,,,,
bias20_10_plain,0.22024794203912812,-0.0764947261624425,2.0400363044907026,0.10796275613051566,0.8421308300923696,,,,,,,
and,0.1743056025980816,-0.05495950944921253,1.7484337811575255,0.09969242442952862,0.6374476320712206,0.631578947368421,0.43548387096774194,0.43548387096774194,33.23416592328279,2024-02-27,2024-02-28,2024-03-18
or,0.3080566903449449,-0.0886055971142059,2.3832328248988603,0.1292600064611892,1.280038494019501,0.7631578947368421,0.7379032258064516,0.7379032258064516,30.301739518287246,2025-08-08,2025-10-09,
avg_weight,0.24044858299705196,-0.06196311175909305,2.233218448528322,0.1076690832262765,0.9373383286693362,0.7631578947368421,0.5866935483870968,0.7379032258064516,58.974353256021416,2024-02-27,2024-03-05,2024-03-18
