date,baseline_v1.1,old_best_mild,best_v1.1_scan
2016-04-11,1.0,1.0,1.0
2016-04-12,1.0062444478359591,1.0062444478359591,1.0062444478359591
2016-04-13,1.005680546620871,1.0056805466208707,1.0056805466208707
2016-04-14,1.010903599024834,1.010903599024834,1.010903599024834
2016-04-15,1.0216592764391577,1.0216592764391574,1.0216592764391574
2016-04-18,1.0273864535171315,1.0273864535171313,1.0273864535171313
2016-04-19,1.0267250215258026,1.0267250215258026,1.0267250215258026
2016-04-20,1.0327316580153316,1.0327316580153316,1.0327316580153316
2016-04-21,1.0367202362884005,1.0367202362884003,1.0367202362884003
2016-04-22,1.032379764241043,1.0323797642410428,1.0323797642410428
2016-04-25,1.0386097193279422,1.038609719327942,1.038609719327942
2016-04-26,1.0404910785247712,1.040491078524771,1.040491078524771
2016-04-27,1.0412891600894514,1.0412891600894512,1.0412891600894512
2016-04-28,1.043515901953759,1.0435159019537588,1.0435159019537588
2016-04-29,1.0464157460865842,1.0464157460865837,1.046415746086584
2016-05-03,1.0433117901573956,1.0433117901573954,1.0433117901573954
2016-05-04,1.042925272097083,1.0429252720970827,1.0429252720970827
2016-05-05,1.0407160496124577,1.0407160496124575,1.0407160496124575
2016-05-06,1.037191109698027,1.0371911096980269,1.0371911096980269
2016-05-09,1.0334618466670695,1.0334618466670693,1.0334618466670693
2016-05-10,1.0313428613423865,1.0313428613423863,1.031342861342386
2016-05-11,1.0307373110719693,1.030737311071969,1.0307373110719689
2016-05-12,1.0172715069997882,1.0172715069997882,1.017271506999788
2016-05-13,1.014219692478789,1.0142196924787887,1.0142196924787885
2016-05-16,1.014219692478789,1.0142196924787887,1.0142196924787885
2016-05-17,1.014219692478789,1.0142196924787887,1.0142196924787885
2016-05-18,1.012481202498992,1.0124812024989918,1.0124812024989915
2016-05-19,1.0094437588914948,1.0094437588914946,1.0094437588914946
2016-05-20,1.0094437588914948,1.0094437588914946,1.0094437588914946
2016-05-23,1.0094437588914948,1.0094437588914946,1.0094437588914946
2016-05-24,1.0094437588914948,1.0094437588914946,1.0094437588914946
2016-05-25,1.0074810285902713,1.007481028590271,1.007481028590271
2016-05-26,1.0079528343977102,1.00795283439771,1.00795283439771
2016-05-27,1.0109003735369753,1.0109003735369748,1.010900373536975
2016-05-30,1.0155620999270005,1.015562099927,1.015562099927
2016-05-31,1.0051995476341224,1.005199547634122,1.0051995476341222
2016-06-01,1.0049428995254837,1.0049428995254832,1.0049428995254834
2016-06-02,1.003225283886039,1.0032252838860383,1.0032252838860387
2016-06-03,1.0017865476895875,1.0017865476895869,1.0017865476895873
2016-06-06,1.006375767241503,1.0063757672415024,1.0063757672415026
2016-06-07,1.008348966966097,1.0083489669660965,1.0083489669660968
2016-06-08,1.0091871888161532,1.0091871888161525,1.0091871888161528
2016-06-13,1.0139719503810203,1.0139719503810198,1.01397195038102
2016-06-14,1.015201672478124,1.0152016724781237,1.0152016724781239
2016-06-15,1.0090892206121889,1.0090892206121884,1.0090892206121889
2016-06-16,1.0092717852734254,1.009271785273425,1.0092717852734254
2016-06-17,1.0152351434743048,1.0152351434743043,1.0152351434743048
2016-06-20,1.0111487464652198,1.0111487464652194,1.0111487464652198
2016-06-21,1.0119977555237851,1.0119977555237845,1.011997755523785
2016-06-22,1.0152915721808526,1.015291572180852,1.0152915721808522
2016-06-23,1.0143896458852144,1.0143896458852135,1.014389645885214
2016-06-24,1.0129350912777377,1.012935091277737,1.0129350912777375
2016-06-27,1.0069276555334283,1.0069276555334274,1.006927655533428
2016-06-28,1.0108398051462302,1.0108398051462293,1.0108398051462297
2016-06-29,1.0099709463169149,1.0099709463169142,1.0099709463169146
2016-06-30,1.0145486124607734,1.0145486124607728,1.0145486124607732
2016-07-01,1.0135158438181286,1.0135158438181278,1.0135158438181284
2016-07-04,1.0111685435753528,1.0111685435753521,1.0111685435753526
2016-07-05,1.0146764701149578,1.0146764701149569,1.0146764701149575
2016-07-06,1.0156548206834133,1.0156548206834126,1.0156548206834133
2016-07-07,1.0142061298065366,1.0142061298065357,1.0142061298065363
2016-07-08,1.0211403125579086,1.0211403125579077,1.0211403125579084
2016-07-11,1.0251253326360543,1.0251253326360534,1.025125332636054
2016-07-12,1.0249779527156662,1.0249779527156653,1.024977952715666
2016-07-13,1.0260337830235713,1.0260337830235704,1.026033783023571
2016-07-14,1.0263865545271034,1.0263865545271025,1.0263865545271031
2016-07-15,1.031074358632795,1.0310743586327942,1.0310743586327948
2016-07-18,1.0346026863657614,1.0346026863657605,1.0346026863657611
2016-07-19,1.0361154760129305,1.0361154760129296,1.0361154760129303
2016-07-20,1.0434219332773491,1.0434219332773484,1.0434219332773491
2016-07-21,1.045345481809921,1.0453454818099202,1.0453454818099208
2016-07-22,1.0472130068904233,1.0472130068904224,1.047213006890423
