symbol,exists,date_min,date_max,need_backfill
000007,False,,,True
000056,True,2025-01-02,2026-04-10,True
000506,False,,,True
000571,False,,,True
000610,True,2025-01-02,2026-04-10,True
000632,True,2025-01-02,2026-04-10,True
000637,True,2025-01-02,2026-04-10,True
000679,True,2025-01-02,2026-04-10,True
000692,True,2025-01-02,2026-04-10,True
000702,True,2025-01-02,2026-04-10,True
000809,False,,,True
000889,False,,,True
000890,True,2025-01-02,2026-04-10,True
000953,True,2025-01-02,2026-04-10,True
000995,True,2025-01-02,2026-04-10,True
001211,True,2025-01-02,2026-04-10,True
001231,True,2025-01-02,2026-04-10,True
001259,True,2025-01-02,2026-04-10,True
001336,True,2025-01-02,2026-04-10,True
001366,True,2025-01-02,2026-04-10,True
001373,True,2025-01-02,2026-04-10,True
002021,False,,,True
002052,False,,,True
002072,True,2025-01-02,2026-04-10,True
002086,False,,,True
002141,False,,,True
002188,True,2025-01-02,2026-04-10,True
002193,True,2025-01-02,2026-04-10,True
002205,True,2025-01-02,2026-04-10,True
002207,True,2025-01-02,2026-04-10,True
002209,False,,,True
002247,True,2025-01-02,2026-04-10,True
002295,True,2025-01-02,2026-04-10,True
002309,False,,,True
002316,True,2025-01-02,2026-04-10,True
002360,True,2025-01-02,2026-04-10,True
002486,True,2025-01-02,2026-04-10,True
002494,True,2025-01-14,2026-04-10,True
002513,True,2025-01-02,2026-04-10,True
002591,True,2025-01-02,2026-04-10,True
002622,True,2025-01-02,2026-04-10,True
002629,True,2025-01-02,2026-04-10,True
002633,True,2025-01-02,2026-04-10,True
002634,False,,,True
002652,True,2025-01-02,2026-04-10,True
002667,False,,,True
002700,True,2025-01-02,2026-04-10,True
002715,True,2025-01-02,2026-04-10,True
002718,False,,,True
002719,True,2025-01-02,2026-04-10,True
002748,True,2025-01-02,2026-04-10,True
002775,True,2025-01-02,2026-04-10,True
002778,True,2025-01-02,2026-04-10,True
002780,True,2025-01-02,2026-04-10,True
002798,False,,,True
002800,False,,,True
002820,True,2025-01-02,2026-04-10,True
002828,True,2025-01-02,2026-04-10,True
002830,True,2025-01-02,2026-04-10,True
002836,False,,,True
002856,True,2025-01-02,2026-04-10,True
002857,True,2025-01-02,2026-04-10,True
002861,True,2025-01-02,2026-04-10,True
002862,True,2025-01-02,2026-04-10,True
002883,True,2025-01-02,2026-04-10,True
002890,True,2025-01-02,2026-04-10,True
002893,False,,,True
002899,False,,,True
002910,True,2025-01-02,2026-04-10,True
002921,False,,,True
002963,True,2025-01-02,2026-04-10,True
003003,True,2025-01-02,2026-04-10,True
003011,True,2025-01-02,2026-04-10,True
003017,True,2025-01-02,2026-04-10,True
300013,True,2025-01-02,2026-04-10,True
300030,True,2025-01-02,2026-04-10,True
300069,True,2025-01-02,2026-04-10,True
300103,True,2025-01-02,2026-04-10,True
300106,True,2025-01-02,2026-04-10,True
300163,True,2025-01-02,2026-04-10,True
300169,True,2025-01-02,2026-04-10,True
300209,False,,,True
300210,False,,,True
300220,True,2025-01-02,2026-04-10,True
300242,False,,,True
300246,False,,,True
300254,False,,,True
300270,False,,,True
300295,True,2025-01-02,2026-04-10,True
300300,False,,,True
300321,False,,,True
300329,False,,,True
300334,True,2025-01-02,2026-04-10,True
300368,False,,,True
300385,False,,,True
300405,True,2025-01-02,2026-04-10,True
300417,True,2025-01-02,2026-04-10,True
300427,False,,,True
300449,True,2025-01-02,2026-04-10,True
300478,False,,,True
300500,True,2025-01-02,2026-04-10,True
300521,False,,,True
300535,True,2025-01-02,2026-04-10,True
