bias_n,bias_mom_day,annual,max_dd,sharpe,vol
60,5,0.35212796716088834,-0.10638413329056556,3.273013274502426,0.10758525481825917
80,10,0.3497596474817106,-0.10177174971021884,3.2678091294192617,0.10703184721926158
80,5,0.3616297649547602,-0.11353324613650646,3.2585621355438423,0.11097832415413048
100,10,0.35310028126352755,-0.11410843201517916,3.2403370477049327,0.10897023243727734
20,20,0.3451447566062287,-0.12790628134294948,3.228899522396199,0.10689238058113783
20,10,0.34343393137055056,-0.09794411329263777,3.193687765576189,0.10753522466169763
40,10,0.34415172443681286,-0.12089822792403153,3.1877456767249512,0.10796084736295208
100,5,0.3424397600452258,-0.12322843823966861,3.163401283577342,0.1082504966483344
60,10,0.3347703125670447,-0.10300609823934201,3.1526379350506386,0.10618736418956004
40,5,0.34196415498684685,-0.13849625209751282,3.1410786539139264,0.10886838333727938
20,5,0.3485632639692202,-0.1300294732095005,3.1329788133884438,0.11125618292714687
60,15,0.3409506839383689,-0.1643077313854753,3.0619836997438954,0.11134960776142801
20,15,0.3274636856928368,-0.11187758505136992,3.055862318159213,0.10715917525043929
100,15,0.3290912104261019,-0.19524084571539504,3.002351897525557,0.1096111387533648
80,15,0.33310233419899715,-0.19490539710569174,2.989292402627392,0.1114318338032847
20,30,0.3132932873033356,-0.24226194218286576,2.912909508444727,0.10755338825153223
40,15,0.3124027126957065,-0.20045130622410878,2.8998712463787135,0.10772985631200943
100,20,0.3029983484024863,-0.24060846212551054,2.7652653969708125,0.10957297217634278
40,20,0.29781492332873727,-0.23897619020813335,2.7526549846553503,0.10819188201532841
60,20,0.3040970551230502,-0.21785594596650468,2.734807311075071,0.1111950571038614
60,30,0.3061285270213163,-0.25953039771923847,2.6704703480145042,0.11463468495312933
40,30,0.29286969973010835,-0.2492357315316687,2.6379489135883025,0.11102174807916532
40,40,0.3028192882854299,-0.20353829519338312,2.621131287145492,0.11552999644485996
80,40,0.30584901708708,-0.21330435491822475,2.598622937705527,0.11769657407747335
80,30,0.302206483110528,-0.29248487500178494,2.5959676342001266,0.1164138100680305
80,20,0.28736381096187924,-0.28296741133420666,2.553450331686697,0.11253941672406033
100,30,0.295244219142174,-0.2911514202487079,2.5435636694561983,0.11607502603042597
100,40,0.2905338599216982,-0.2684449914448678,2.4976889944791063,0.11632107142398213
20,40,0.27188212839471904,-0.27057990704804347,2.490758528363551,0.10915635751063665
60,40,0.2901697745428742,-0.198549275259391,2.4818454714095255,0.11691693857880554
