z_window,rows,sample_start,sample_end,total_return,annual_return,sharpe,max_drawdown,position_days_pct,trades
60,661,2023-07-05,2026-03-27,1.8433567003451006,0.46699154027306355,1.8557156853912087,-0.17620863796168018,0.49016641452344933,42
50,661,2023-07-05,2026-03-27,1.4939203848279394,0.39811707059802615,1.60619180833929,-0.19501940642752702,0.4750378214826021,54
400,661,2023-07-05,2026-03-27,0.3541480985412253,0.11759436484636843,1.519791763622092,-0.08288578008646785,0.16036308623298035,12
160,661,2023-07-05,2026-03-27,0.9410691559764841,0.27535032266708503,1.415603542682256,-0.2297414317857499,0.3857791225416036,36
250,661,2023-07-05,2026-03-27,0.8093851923435602,0.24291369488692705,1.4021905281013631,-0.1215201672776407,0.32829046898638425,28
120,661,2023-07-05,2026-03-27,1.0837424789234906,0.3089573301607118,1.2222698100028242,-0.40074793474513626,0.43872919818456885,38
200,661,2023-07-05,2026-03-27,0.7213757150829758,0.22039266143121572,1.177593741569841,-0.16827603514991085,0.3812405446293495,40
300,661,2023-07-05,2026-03-27,0.46276476115629084,0.14966754470984256,1.0937947919268112,-0.19695721063189553,0.2692889561270802,22
100,661,2023-07-05,2026-03-27,0.7690767404829482,0.23268719232924817,0.9631322712037723,-0.4371089138674056,0.4568835098335855,46
40,661,2023-07-05,2026-03-27,0.6774786428057473,0.2088864538542481,0.907928461471472,-0.4041555521039909,0.4659606656580938,52
80,661,2023-07-05,2026-03-27,0.6996364618723292,0.21471793881066525,0.9048692955871926,-0.4172072273108508,0.4750378214826021,44
500,661,2023-07-05,2026-03-27,0.13954290977107608,0.04906910786447316,0.8788265480668069,-0.08288578008646774,0.08472012102874432,10
20,661,2023-07-05,2026-03-27,0.6213672629713187,0.19389751849633963,0.8757084767642029,-0.2707421486460817,0.4720121028744327,65
30,661,2023-07-05,2026-03-27,0.5359094325539449,0.17042452073120273,0.8056024324817715,-0.3469936600453848,0.46142208774583965,54
