date,return_raw,return,holding,next_holding,signal_on,weight,microcap_close,hedge_close,microcap_ret,hedge_ret,microcap_mom_5,hedge_mom_5,ratio_bias_mom_20_10,mom_signal_on,bias_signal_on,futures_drag,active_spread_ret,nav
2023-02-21,0.0,0.0,cash,cash,False,1.0,1123.214723991441,6990.48,0.0026609430521871147,0.004471675556372956,-0.010486920895284468,-0.01005034376792302,-20.095525704151623,False,False,0.0,0.0,1.0
2023-02-22,0.0,0.0,cash,cash,False,1.0,1129.828413794167,6998.43,0.005888179402798288,0.001137260960620834,-0.010848495951127357,-0.009226173622515432,-17.77915449651007,False,False,0.0,0.0,1.0
2023-02-23,0.0,0.0,cash,cash,False,1.0,1130.5972180938772,6966.79,0.0006804611127881888,-0.004521013998854073,0.017003872355213945,0.00600560272627515,-17.301354223946984,True,False,0.0,0.0,1.0
2023-02-24,0.0,0.0,cash,cash,False,1.0,1130.019730993048,6944.82,-0.000510780578253045,-0.0031535326886558135,0.015587668252038389,0.011104235974113807,-13.475119103297585,True,False,0.0,0.0,1.0
2023-02-27,0.0,0.0,cash,cash,False,1.0,1116.1794080341094,6894.3,-0.012247859554430751,-0.007274486595764795,-0.0036192778012050786,-0.009348560787198701,-13.645433914239748,True,False,0.0,0.0,1.0
2023-02-28,0.0,0.0,cash,cash,False,1.0,1129.60250335412,6955.57,0.012025929902839128,0.008887051622354702,0.005687050949598982,-0.00499393460820996,-13.246451909508778,True,False,0.0,0.0,1.0
2023-03-01,0.0,0.0,cash,cash,False,1.0,1144.3969011801707,7002.77,0.013096994546419438,0.006785928399829277,0.012894424682664996,0.0006201390883384672,-6.862905315223732,True,False,0.0,0.0,1.0
2023-03-02,0.0,0.0,cash,cash,False,1.0,1144.4350188037272,6972.31,3.330804506473939e-05,-0.004349707330099428,0.01223937268586206,0.0007923304707047052,-3.9090266712743555,True,False,0.0,0.0,1.0
2023-03-03,0.0,0.0,cash,long_microcap_short_zz1000,True,1.0,1141.3724784916988,6967.94,-0.002676028137648001,-0.0006267650176198236,0.010046503779782778,0.0033290999622739292,1.2168732102129178,True,True,0.0,0.0,1.0
2023-03-06,-0.0041721932704726124,-0.0041721932704726124,long_microcap_short_zz1000,cash,False,1.0,1141.7195435013489,6997.04,0.00030407690406963894,0.0041762701745422515,0.02288174757875394,0.014902165557054259,-0.7971227294764864,True,False,0.0003,-0.0038721932704726125,0.9958278067295274
2023-03-07,0.0,0.0,cash,cash,False,1.0,1120.9072567257529,6855.34,-0.018228895961411196,-0.020251420600711167,-0.007697616287630771,-0.014410033972772851,-4.129170274833497,True,False,0.0,0.0,0.9958278067295274
2023-03-08,0.0,0.0,cash,long_microcap_short_zz1000,True,1.0,1141.03118002716,6891.46,0.01795324562371947,0.005268885277754265,-0.0029410435746023422,-0.015895138637996187,0.5955671261939348,True,True,0.0,0.0,0.9958278067295274
2023-03-09,0.011304584318333666,0.011304584318333666,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1.0,1154.5041730334638,6892.86,0.011807734303967976,0.00020314998563430997,0.008798362566938778,-0.011395075663589327,11.32359717464176,True,True,0.0003,0.011604584318333666,1.0070852261372427
2023-03-10,0.0032024854971770215,0.0032024854971770215,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1.0,1142.7096913952807,6798.3,-0.010216058039177911,-0.013718543536354932,0.0011715832725782693,-0.02434578942987442,21.20516216998414,True,True,0.0003,0.0035024854971770214,1.0103104019683684
2023-03-13,-0.009484601122329772,-0.009484601122329772,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1.0,1137.9831239031892,6832.62,-0.004136280218574484,0.005048320903755288,-0.003272624717188588,-0.023498507940500568,18.44176405362245,True,True,0.0003,-0.009184601122329772,1.0007280107959577
2023-03-14,-0.007660679472762199,-0.007660679472762199,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1.0,1119.152357099356,6769.85,-0.016547492144914244,-0.009186812672152045,-0.0015656064459096397,-0.012470570387464353,10.26460938960805,True,True,0.0003,-0.007360679472762199,0.993061754265835
2023-03-15,0.00883231645837187,0.00883231645837187,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1.0,1134.930674093982,6803.47,0.014098453078828621,0.004966136620456751,-0.0053464848638341556,-0.012767976597121589,8.941629752572199,True,True,0.0003,0.00913231645837187,1.0018327899422168
2023-03-16,0.0018439527297056894,0.0018439527297056894,long_microcap_short_zz1000,cash,False,1.0,1118.3985502617368,6689.78,-0.014566637601404864,-0.016710590331110553,-0.03127370486401915,-0.029462371207307214,8.772378105156893,False,True,0.0003,0.0021439527297056893,1.0036801222499394
2023-03-17,0.0,0.0,cash,cash,False,1.0,1124.497265597833,6736.37,0.005453078721059601,0.006964354582661869,-0.015937928884815822,-0.009109630348763664,4.11996928901555,False,True,0.0,0.0,1.0036801222499394
2023-03-20,0.0,0.0,cash,cash,False,1.0,1118.025660894379,6721.45,-0.005755109328801633,-0.002214842712024434,-0.017537573791391314,-0.016270478967072677,-7.050778760679929,False,False,0.0,0.0,1.0036801222499394
2023-03-21,0.0,0.0,cash,cash,False,1.0,1140.308800932088,6809.39,0.019930794808308283,0.013083486450096382,0.018903988986419762,0.005840602081286894,-15.053892340541863,True,False,0.0,0.0,1.0036801222499394
2023-03-22,0.0,0.0,cash,cash,False,1.0,1153.827965142451,6840.33,0.01185570452434681,0.0045437256494340605,0.01665061265839407,0.005417823551805201,-13.539486204456779,True,False,0.0,0.0,1.0036801222499394
2023-03-23,0.0,0.0,cash,cash,False,1.0,1148.9318071640582,6868.83,-0.004243403805686219,0.0041664656529729616,0.027300873105724044,0.02676470676165743,-11.322682318796115,True,False,0.0,0.0,1.0036801222499394
2023-03-24,0.0,0.0,cash,cash,False,1.0,1152.6161651713994,6867.95,0.0032067682210272785,-0.000128114977368754,0.025005751844685342,0.019532775070252972,-4.996294836360311,True,False,0.0,0.0,1.0036801222499394
2023-03-27,0.0,0.0,cash,cash,False,1.0,1151.2891847814703,6886.69,-0.001151276921169786,0.002728616253758309,0.029752021845797172,0.024583981135023025,-6.58410716419244,True,False,0.0,0.0,1.0036801222499394
2023-03-28,0.0,0.0,cash,cash,False,1.0,1141.15355821369,6825.38,-0.00880371908444888,-0.008902680387820494,0.0007408144889451407,0.0023482279616822144,-13.073698782418708,False,False,0.0,0.0,1.0036801222499394
2023-03-29,0.0,0.0,cash,cash,False,1.0,1128.9249030233923,6806.28,-0.010716047023014097,-0.0027983789913529344,-0.021582994060976968,-0.0049778300169729395,-18.61371532271634,False,False,0.0,0.0,1.0036801222499394
2023-03-30,0.0,0.0,cash,cash,False,1.0,1114.1099883853117,6807.64,-0.013123029351557847,0.0001998154645417305,-0.03030799440107612,-0.008908358483176837,-28.540606519434522,False,False,0.0,0.0,1.0036801222499394
2023-03-31,0.0,0.0,cash,cash,False,1.0,1124.6499968515138,6875.81,0.00946047389941973,0.010013749258186433,-0.024263210221181386,0.0011444463049381515,-36.63405361374548,False,False,0.0,0.0,1.0036801222499394
2023-04-03,0.0,0.0,cash,cash,False,1.0,1133.7266825145057,6962.2,0.008070675933314675,0.012564337874374054,-0.015254640188684054,0.010964628871054094,-46.195487970409815,False,False,0.0,0.0,1.0036801222499394
2023-04-04,0.0,0.0,cash,cash,False,1.0,1114.8567666769827,6953.36,-0.016644149007476128,-0.0012697135962770334,-0.023044042887506833,0.01875060436195497,-56.33158761143199,False,False,0.0,0.0,1.0036801222499394
