date,v1.0 (1.0x hedge),v1.1 (0.8x hedge)
2016-04-11,1.0,1.0
2016-04-12,1.0061844478359592,1.0062444478359591
2016-04-13,1.00556020917811,1.005680546620871
2016-04-14,1.0107223029909729,1.010903599024834
2016-04-15,1.0214154081377327,1.0216592764391577
2016-04-18,1.02707993322396,1.0273864535171315
2016-04-19,1.026357073774579,1.0267250215258028
2016-04-20,1.032299976239577,1.0327316580153318
2016-04-21,1.0362249492885744,1.0367202362884007
2016-04-22,1.0318244557178766,1.0323797642410433
2016-04-25,1.0379891502961993,1.0386097193279424
2016-04-26,1.0398071060323895,1.0404910785247714
2016-04-27,1.040542274547433,1.0412891600894516
2016-04-28,1.0427049866999896,1.0435159019537594
2016-04-29,1.0455400150673873,1.0464157460865844
2016-05-03,1.0423759243955384,1.0433117901573958
2016-05-04,1.041927210492051,1.0429252720970832
2016-05-05,1.039657586562838,1.0407160496124581
2016-05-06,1.0360739233553868,1.0371911096980275
2016-05-09,1.0322865127781886,1.0334618466670702
2016-05-10,1.030108000139088,1.031342861342387
2016-05-11,1.0294413684341968,1.03073731107197
2016-05-12,1.0159307283911674,1.0172715069997889
2016-05-13,1.012882936205994,1.0142196924787894
2016-05-16,1.012882936205994,1.0142196924787894
2016-05-17,1.012882936205994,1.0142196924787894
2016-05-18,1.0110861469239751,1.0124812024989922
2016-05-19,1.0080528884832034,1.0094437588914953
2016-05-20,1.0080528884832034,1.0094437588914953
2016-05-23,1.0080528884832034,1.0094437588914953
2016-05-24,1.0080528884832034,1.0094437588914953
2016-05-25,1.0060325608223235,1.0074810285902716
2016-05-26,1.0064433263551469,1.0079528343977104
2016-05-27,1.0093260646664215,1.0109003735369755
2016-05-30,1.0139199716305665,1.0155620999270007
2016-05-31,1.0035133400229992,1.0051995476341227
2016-06-01,1.0031969116374257,1.0049428995254837
2016-06-02,1.0014220883688563,1.003225283886039
2016-06-03,0.9999259177213874,1.0017865476895873
2016-06-06,1.0044466181066491,1.0063757672415028
2016-06-07,1.0063557685538296,1.0083489669660968
2016-06-08,1.0071319521487903,1.0091871888161528
2016-06-13,1.0118465415017917,1.01397195038102
2016-06-14,1.0130129751589039,1.0152016724781239
2016-06-15,1.006852920494141,1.0090892206121886
