date,return,holding,signal_on,weight,nav
2010-02-22,0.0,cash,True,0.0,1.0
2010-02-23,-0.004250363392923206,long_microcap_short_zz1000,False,1.0,0.9957496366070768
2010-02-24,0.0,cash,False,0.0,0.9957496366070768
2010-02-25,0.0,cash,False,0.0,0.9957496366070768
2010-02-26,0.0,cash,False,0.0,0.9957496366070768
2010-03-01,0.0,cash,False,0.0,0.9957496366070768
2010-03-02,0.0,cash,False,0.0,0.9957496366070768
2010-03-03,0.0,cash,True,0.0,0.9957496366070768
2010-03-04,-0.002423752840893611,long_microcap_short_zz1000,True,1.0,0.9933361855965317
2010-03-05,0.005619490651975945,long_microcap_short_zz1000,True,1.0,0.9989182290057609
2010-03-08,0.0012185843463081384,long_microcap_short_zz1000,True,1.0,1.0001354951228691
2010-03-09,0.0003307207791358405,long_microcap_short_zz1000,True,1.0,1.0004662607130577
2010-03-10,0.002551086130070124,long_microcap_short_zz1000,True,1.0,1.003018536314366
2010-03-11,0.005571381330075587,long_microcap_short_zz1000,True,1.0,1.0086067350613075
2010-03-12,0.0018834110962147824,long_microcap_short_zz1000,True,1.0,1.010506356177839
2010-03-15,0.0005230880055134505,long_microcap_short_zz1000,True,1.0,1.0110349399322505
2010-03-16,-0.0005235159775407779,long_microcap_short_zz1000,True,1.0,1.010505646987344
2010-03-17,-0.001347135842636937,long_microcap_short_zz1000,True,1.0,1.0091443586111002
2010-03-18,0.0034845592394141204,long_microcap_short_zz1000,True,1.0,1.0126607819098012
2010-03-19,0.0007161160030253137,long_microcap_short_zz1000,True,1.0,1.013385964501363
2010-03-22,0.0009263550826967507,long_microcap_short_zz1000,True,1.0,1.0143247197403125
2010-03-23,0.0008301273782614586,long_microcap_short_zz1000,True,1.0,1.0151667384606162
2010-03-24,0.003560757822372607,long_microcap_short_zz1000,True,1.0,1.0187815013656023
2010-03-25,0.004122124277412287,long_microcap_short_zz1000,True,1.0,1.02298104532576
2010-03-26,-0.0027293664276577864,long_microcap_short_zz1000,True,1.0,1.0201889552045176
2010-03-29,-0.002034609680063448,long_microcap_short_zz1000,True,1.0,1.0181132688807646
2010-03-30,0.003739428623146657,long_microcap_short_zz1000,True,1.0,1.0219204307800227
2010-03-31,0.0020477537006408867,long_microcap_short_zz1000,False,1.0,1.0240130721239131
2010-04-01,0.0,cash,False,0.0,1.0240130721239131
2010-04-02,0.0,cash,False,0.0,1.0240130721239131
2010-04-06,0.0,cash,False,0.0,1.0240130721239131
2010-04-07,0.0,cash,False,0.0,1.0240130721239131
2010-04-08,0.0,cash,False,0.0,1.0240130721239131
2010-04-09,0.0,cash,False,0.0,1.0240130721239131
2010-04-12,0.0,cash,True,0.0,1.0240130721239131
2010-04-13,-0.005958943044990039,long_microcap_short_zz1000,False,1.0,1.0179110365498014
2010-04-14,0.0,cash,False,0.0,1.0179110365498014
2010-04-15,0.0,cash,False,0.0,1.0179110365498014
2010-04-16,0.0,cash,False,0.0,1.0179110365498014
2010-04-19,0.0,cash,False,0.0,1.0179110365498014
2010-04-20,0.0,cash,False,0.0,1.0179110365498014
2010-04-21,0.0,cash,False,0.0,1.0179110365498014
2010-04-22,0.0,cash,False,0.0,1.0179110365498014
2010-04-23,0.0,cash,False,0.0,1.0179110365498014
2010-04-26,0.0,cash,False,0.0,1.0179110365498014
2010-04-27,0.0,cash,False,0.0,1.0179110365498014
2010-04-28,0.0,cash,False,0.0,1.0179110365498014
2010-04-29,0.0,cash,False,0.0,1.0179110365498014
2010-04-30,0.0,cash,False,0.0,1.0179110365498014
2010-05-04,0.0,cash,False,0.0,1.0179110365498014
2010-05-05,0.0,cash,False,0.0,1.0179110365498014
2010-05-06,0.0,cash,False,0.0,1.0179110365498014
2010-05-07,0.0,cash,False,0.0,1.0179110365498014
2010-05-10,0.0,cash,False,0.0,1.0179110365498014
2010-05-11,0.0,cash,False,0.0,1.0179110365498014
2010-05-12,0.0,cash,False,0.0,1.0179110365498014
2010-05-13,0.0,cash,False,0.0,1.0179110365498014
2010-05-14,0.0,cash,False,0.0,1.0179110365498014
2010-05-17,0.0,cash,False,0.0,1.0179110365498014
2010-05-18,0.0,cash,False,0.0,1.0179110365498014
2010-05-19,0.0,cash,False,0.0,1.0179110365498014
2010-05-20,0.0,cash,False,0.0,1.0179110365498014
2010-05-21,0.0,cash,False,0.0,1.0179110365498014
2010-05-24,0.0,cash,False,0.0,1.0179110365498014
2010-05-25,0.0,cash,False,0.0,1.0179110365498014
2010-05-26,0.0,cash,False,0.0,1.0179110365498014
2010-05-27,0.0,cash,False,0.0,1.0179110365498014
2010-05-28,0.0,cash,True,0.0,1.0179110365498014
2010-05-31,-0.002125018819076818,long_microcap_short_zz1000,False,1.0,1.015747956440987
2010-06-01,0.0,cash,False,0.0,1.015747956440987
2010-06-02,0.0,cash,True,0.0,1.015747956440987
