strategy,annual,max_dd,sharpe,vol,total_return,win_rate,active_days_pct,trades_per_year,peak_date,trough_date,recovery_date
mom8_top100_long_only_16y,0.6407476494485385,-0.3990461764368403,2.5297714676125986,0.2532828192790182,2999.3456991483345,0.7128205128205128,0.7118471337579618,24.304647815780562,2015-08-17,2015-09-25,2015-11-16
bias20_10_top100_long_only_16y,0.4944621801799336,-0.3101945345113797,2.374606413209658,0.2082291100661138,634.6586957450111,0.6701030927835051,0.5117827868852459,21.847776073619634,2011-07-15,2012-01-16,2013-09-23
