date,close_qfq
2025-01-02,13.06
2025-01-03,12.3
2025-01-06,12.68
2025-01-07,12.42
2025-01-08,12.37
2025-01-09,12.32
2025-01-10,11.84
2025-01-13,11.9
2025-01-14,12.28
2025-01-15,12.2
2025-01-16,12.36
2025-01-17,12.34
2025-01-20,12.58
2025-01-21,12.53
2025-01-22,12.32
2025-01-23,12.39
2025-01-24,12.44
2025-01-27,12.44
2025-02-05,12.64
2025-02-06,12.77
2025-02-07,12.85
2025-02-10,13.19
2025-02-11,12.99
2025-02-12,12.96
2025-02-13,12.92
2025-02-14,12.98
2025-02-17,12.94
2025-02-18,12.43
2025-02-19,12.51
2025-02-20,12.79
2025-02-21,12.6
2025-02-24,12.52
2025-02-25,12.31
2025-02-26,12.46
2025-02-27,12.39
2025-02-28,12.11
2025-03-03,12.2
2025-03-04,12.36
2025-03-05,12.19
2025-03-06,12.3
2025-03-07,12.2
2025-03-10,12.7
2025-03-11,12.61
2025-03-12,12.63
2025-03-13,12.6
2025-03-14,12.86
2025-03-17,12.75
2025-03-18,12.8
2025-03-19,12.92
2025-03-20,13.11
2025-03-21,12.89
2025-03-24,12.52
2025-03-25,12.58
2025-03-26,12.71
2025-03-27,12.83
2025-03-28,12.5
2025-03-31,12.26
2025-04-01,12.66
2025-04-02,12.52
2025-04-03,12.55
2025-04-07,11.27
2025-04-08,11.36
2025-04-09,11.7
2025-04-10,11.95
2025-04-11,11.74
2025-04-14,11.96
2025-04-15,11.95
2025-04-16,11.81
2025-04-17,11.87
2025-04-18,11.83
2025-04-21,11.87
2025-04-22,12.06
2025-04-23,12.01
2025-04-24,11.97
2025-04-25,12.0
2025-04-28,11.76
2025-04-29,11.94
2025-04-30,11.6
2025-05-06,11.8
2025-05-07,11.94
2025-05-08,11.99
2025-05-09,11.9
2025-05-12,11.76
2025-05-13,11.76
2025-05-14,11.78
2025-05-15,11.84
2025-05-16,12.04
2025-05-19,12.07
2025-05-20,12.53
2025-05-21,12.58
2025-05-22,13.02
2025-05-23,12.87
2025-05-26,13.88
2025-05-27,14.65
2025-05-28,13.68
2025-05-29,13.51
2025-05-30,13.56
2025-06-03,13.62
2025-06-04,13.34
2025-06-05,13.1
2025-06-06,12.97
2025-06-09,13.08
2025-06-10,13.05
2025-06-11,13.04
2025-06-12,13.17
2025-06-13,12.73
2025-06-16,12.79
2025-06-17,12.8
2025-06-18,12.54
2025-06-19,12.25
2025-06-20,12.21
2025-06-23,12.25
2025-06-24,12.47
2025-06-25,12.51
2025-06-26,12.48
2025-06-27,12.49
2025-06-30,12.48
2025-07-01,12.55
2025-07-02,12.53
2025-07-03,12.49
2025-07-04,12.33
2025-07-07,12.45
2025-07-08,12.52
2025-07-09,12.58
2025-07-10,12.7
2025-07-11,12.75
2025-07-14,12.88
2025-07-15,12.5
2025-07-16,12.77
2025-07-17,12.92
2025-07-18,12.87
2025-07-21,12.94
2025-07-22,12.82
2025-07-23,12.74
2025-07-24,12.87
2025-07-25,12.91
2025-07-28,12.86
2025-07-29,13.18
2025-07-30,13.39
2025-07-31,12.95
2025-08-01,13.29
2025-08-04,13.23
2025-08-05,13.27
2025-08-06,13.11
2025-08-07,13.07
2025-08-08,13.15
2025-08-11,13.18
2025-08-12,13.13
2025-08-13,13.04
2025-08-14,12.78
2025-08-15,12.94
2025-08-18,12.98
2025-08-19,13.18
2025-08-20,13.2
2025-08-21,13.14
2025-08-22,13.14
2025-08-25,13.51
2025-08-26,13.41
2025-08-27,13.1
2025-08-28,12.94
2025-08-29,13.26
2025-09-01,14.59
2025-09-02,15.13
2025-09-03,14.39
2025-09-04,14.19
2025-09-05,14.13
2025-09-08,14.13
2025-09-09,13.68
2025-09-10,13.67
2025-09-11,13.6
2025-09-12,13.74
2025-09-15,13.85
2025-09-16,14.33
2025-09-17,14.08
2025-09-18,14.58
2025-09-19,13.85
2025-09-22,13.72
2025-09-23,13.77
