day,open,high,low,close,volume,amount
2026-01-22 11:25:00,5.730,5.740,5.720,5.740,273500,1567613.9814
2026-01-22 11:30:00,5.730,5.740,5.720,5.730,124600,713962.9988
2026-01-22 13:05:00,5.720,5.730,5.680,5.720,653200,3723781.9709
2026-01-22 13:10:00,5.720,5.720,5.710,5.720,158800,907538.9917
2026-01-22 13:15:00,5.720,5.750,5.710,5.750,971900,5568337.9490
2026-01-22 13:20:00,5.750,5.760,5.730,5.740,629700,3618544.9633
2026-01-22 13:25:00,5.750,5.750,5.720,5.720,223300,1281223.9878
2026-01-22 13:30:00,5.730,5.730,5.720,5.730,161500,924243.9849
2026-01-22 13:35:00,5.730,5.730,5.720,5.720,71400,408827.9978
2026-01-22 13:40:00,5.720,5.730,5.720,5.730,89800,514187.9989
2026-01-22 13:45:00,5.730,5.730,5.720,5.720,101900,583119.9857
2026-01-22 13:50:00,5.720,5.730,5.710,5.720,178200,1019455.9777
2026-01-22 13:55:00,5.710,5.720,5.700,5.710,185300,1058224.9978
2026-01-22 14:00:00,5.710,5.710,5.700,5.710,124000,707039.9937
2026-01-22 14:05:00,5.700,5.710,5.700,5.700,207600,1183609.9912
2026-01-22 14:10:00,5.700,5.710,5.700,5.710,84700,483265.9956
2026-01-22 14:15:00,5.700,5.710,5.690,5.700,213600,1217100.9868
2026-01-22 14:20:00,5.700,5.710,5.700,5.710,155800,888578.9983
2026-01-22 14:25:00,5.700,5.710,5.700,5.700,84300,480833.9968
2026-01-22 14:30:00,5.700,5.710,5.700,5.700,139200,793690.9927
2026-01-22 14:35:00,5.700,5.710,5.680,5.690,353600,2013834.9912
2026-01-22 14:40:00,5.690,5.700,5.680,5.690,117800,670206.9998
2026-01-22 14:45:00,5.690,5.700,5.680,5.700,323300,1840492.9907
2026-01-22 14:50:00,5.690,5.700,5.690,5.690,156300,889792.9983
2026-01-22 14:55:00,5.700,5.710,5.690,5.710,435000,2478670.9883
2026-01-22 15:00:00,5.710,5.710,5.700,5.710,192500,1098644.9995
2026-01-23 09:35:00,5.710,5.710,5.660,5.680,761800,4330523.9814
2026-01-23 09:40:00,5.680,5.690,5.660,5.690,437600,2483441.0000
2026-01-23 09:45:00,5.690,5.690,5.660,5.680,260100,1477228.0000
2026-01-23 09:50:00,5.670,5.690,5.670,5.680,229500,1303272.0000
2026-01-23 09:55:00,5.690,5.690,5.660,5.670,559100,3175068.0000
2026-01-23 10:00:00,5.670,5.680,5.660,5.660,386400,2189423.0004
2026-01-23 10:05:00,5.660,5.660,5.640,5.650,321500,1816507.0000
2026-01-23 10:10:00,5.650,5.670,5.640,5.670,294900,1667110.0000
2026-01-23 10:15:00,5.660,5.670,5.650,5.660,105200,595881.0000
2026-01-23 10:20:00,5.660,5.670,5.660,5.660,134400,761202.0000
2026-01-23 10:25:00,5.660,5.670,5.660,5.660,87900,497866.0000
2026-01-23 10:30:00,5.670,5.670,5.650,5.660,79100,448032.0000
2026-01-23 10:35:00,5.660,5.670,5.650,5.660,111200,629174.0000
2026-01-23 10:40:00,5.660,5.660,5.650,5.660,43400,245512.0000
2026-01-23 10:45:00,5.660,5.660,5.640,5.650,284000,1604637.0000
2026-01-23 10:50:00,5.640,5.660,5.630,5.640,196900,1110915.0000
2026-01-23 10:55:00,5.640,5.640,5.610,5.620,224300,1261330.0000
2026-01-23 11:00:00,5.630,5.640,5.630,5.640,111300,626975.0000
2026-01-23 11:05:00,5.640,5.640,5.630,5.640,57700,325173.0000
2026-01-23 11:10:00,5.640,5.650,5.630,5.640,296300,1670984.0000
2026-01-23 11:15:00,5.630,5.650,5.630,5.650,299000,1687318.0000
2026-01-23 11:20:00,5.640,5.670,5.640,5.650,145300,821705.0000
2026-01-23 11:25:00,5.650,5.650,5.640,5.640,76500,431656.0000
2026-01-23 11:30:00,5.640,5.660,5.630,5.660,108500,612921.0000
2026-01-23 13:05:00,5.660,5.680,5.660,5.670,134500,761892.0000
2026-01-23 13:10:00,5.670,5.670,5.640,5.650,124500,703996.0000
2026-01-23 13:15:00,5.640,5.660,5.630,5.660,168500,950941.0000
2026-01-23 13:20:00,5.660,5.660,5.650,5.660,37100,209906.0000
2026-01-23 13:25:00,5.660,5.660,5.650,5.650,62300,352119.0000
