rule,full_annual,full_vol,full_sharpe,full_max_dd,full_total_return,full_annual_delta,full_sharpe_delta,full_max_dd_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_total_return,last_10y_annual_delta,last_10y_sharpe_delta,last_10y_max_dd_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_total_return,last_5y_annual_delta,last_5y_sharpe_delta,last_5y_max_dd_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_total_return,last_3y_annual_delta,last_3y_sharpe_delta,last_3y_max_dd_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_total_return,last_1y_annual_delta,last_1y_sharpe_delta,last_1y_max_dd_delta,ma,days,scale,trigger_days
zz2000_and_cyb_below_ma30_days10:scale0.25,29.155241177968904,11.161744969675588,2.437961621189774,-11.647000481996761,6262.828978430737,-1.9122932456004733,-0.016685722361787114,0.5546119591529397,30.00461326508215,12.873129479147408,2.1824330606437314,-11.647000481996772,1278.578927954206,-1.8409349488796458,0.0034045872205181738,0.554611959152929,31.86921033293091,15.370872623424628,1.9547870015905238,-11.647000481996805,298.6894961897619,-0.27878847030444476,0.09063160681841165,0.554611959152929,24.853665696903082,14.785614452383555,1.6470765139725314,-11.647000481996784,94.6569329648775,-2.464198000071427,-0.06086519173366689,0.5546119591529397,13.159773746780257,14.225550238985043,0.9830306434295533,-11.64700048199675,13.150198514466283,-4.676295511678742,-0.21340172300414695,0.5546119591530054,30,10,0.25,278
zz2000_and_cyb_below_ma30_days10:scale0.50,29.801217152696147,11.273147690389017,2.4610019973209623,-11.51412219593999,6799.572275374706,-1.2663172708732304,0.006354653769401253,0.6874902452097107,30.632732417302933,13.0180547582125,2.1980784405446294,-11.514122195939969,1346.6425784284463,-1.2128157966588624,0.019049967121416156,0.687490245209732,31.988489779457584,15.56228821082491,1.9387166226785892,-11.514122195939969,300.4956431356967,-0.159509023777769,0.07456122790647712,0.6874902452097658,25.688863411458108,14.932707677939359,1.679122364849141,-11.514122195939958,98.5904509091859,-1.6290002855164012,-0.028819340857057396,0.6874902452097658,14.722553542593086,14.464999250052358,1.0686772393951274,-11.514122195939969,14.71176915190211,-3.113515715865912,-0.12775512703857284,0.6874902452097871,30,10,0.5,278
zz2000_and_cyb_below_ma30_days10:scale0.75,30.438710587547767,11.465682710174892,2.466027459902811,-11.423192473363052,7370.695640962208,-0.6288238360216098,0.011380116351249914,0.7784199677866486,31.246473178148726,13.26523812161298,2.196319049053692,-11.423192473362997,1416.054335311184,-0.599075035813069,0.017290575630478866,0.7784199677867036,32.08147661598986,15.880233858949824,1.9076944866772985,-11.42319247336303,301.90819882992787,-0.06652218724549641,0.043539091905186345,0.7784199677867036,26.510390795175898,15.18042774989518,1.6991752132318654,-11.42319247336303,102.51094181578905,-0.8074729017986115,-0.008766492474332921,0.778419967786693,16.281577897455435,14.855310468660191,1.1398441343812933,-11.423192473363052,16.269572745992345,-1.5544913610035636,-0.05658823205240693,0.7784199677867036,30,10,0.75,278
zz2000_and_cyb_below_ma30_days11:scale0.25,29.580149107035012,11.22037085215566,2.456247825434518,-11.647000481996727,6611.278444062943,-1.4873853165343647,0.0016004818829569167,0.5546119591529735,30.298274022483774,12.9332553372473,2.1910283677553615,-11.647000481996784,1310.033032394247,-1.5472741914780208,0.011999894332148209,0.5546119591529166,31.40925557977696,15.451076272004089,1.921832736928374,-11.647000481996784,291.78569991613057,-0.7387432234583926,0.05767734215626197,0.5546119591529504,24.15447237455073,14.90973989923364,1.595121990889567,-11.647000481996784,91.40418072872123,-3.163391322423781,-0.11281971481663122,0.5546119591529397,13.032717193063625,14.233293283799158,0.9742867911431466,-11.647000481996772,13.023239621193984,-4.803352065395373,-0.22214557529055357,0.5546119591529841,30,11,0.25,240
zz2000_and_cyb_below_ma30_days11:scale0.50,30.084587842866604,11.319040174534399,2.471516413983701,-11.514122195939947,7048.186200668149,-0.9829465807027731,0.01686907043213992,0.6874902452097533,30.8279840246537,13.063823125078274,2.202723863321556,-11.51412219593999,1368.4079866821758,-1.0175641893080964,0.023695389898342523,0.6874902452097107,31.679253514328675,15.621573097458963,1.9162766181121575,-11.51412219593999,295.8265984110305,-0.4687452889066783,0.05212122334004543,0.6874902452097444,25.21609336649011,15.026864250443053,1.6432549760051933,-11.514122195939958,96.35740993552307,-2.101770330484399,-0.06468672970100497,0.6874902452097658,14.636711710876282,14.472800857997612,1.0627494209852177,-11.514122195939947,14.625994117707574,-3.199357547582716,-0.13368294544848247,0.6874902452098084,30,11,0.5,240
zz2000_and_cyb_below_ma30_days11:scale0.75,30.58043109256929,11.491792761774205,2.470511641069287,-11.389838769481509,7503.550042289122,-0.4871033310000854,0.01586429751772611,0.8117736716681918,31.343819998930588,13.290710242121145,2.19816614505749,-11.38983876948153,1427.3351174224895,-0.501728215031207,0.01913767163427682,0.8117736716681705,31.92558144052522,15.912462937115354,1.8964059214689308,-11.38983876948152,299.5422619287325,-0.22241736271013224,0.032250526696818715,0.8117736716682149,26.270676200768328,15.232786671267117,1.6808082837423561,-11.389838769481598,101.36169409940683,-1.0471874962061811,-0.027133421963842164,0.8117736716681261,16.238090082966018,14.86042161613564,1.136860823460292,-11.389838769481509,16.226119178426536,-1.5979791754929806,-0.059571542973408276,0.8117736716682469,30,11,0.75,240
zz2000_and_cyb_below_ma30_days12:scale0.25,30.489518451823393,11.265556902411824,2.5113975480213937,-11.24806608604947,7418.072427194058,-0.5780159717459838,0.0567502044698327,0.9535463551002312,31.547452836958566,12.986335611330613,2.2589937922064625,-11.248066086049423,1451.1772166289918,-0.29809537700322863,0.0799653187832492,0.9535463551002774,32.827102912164904,15.504444292155126,1.988018939519413,-11.248066086049423,313.3796723333856,0.6791041089295504,0.12386354474730088,0.9535463551003112,25.686574888284763,14.955509574785117,1.6766648241061488,-11.248066086049423,98.57960092021881,-1.631288808689746,-0.03127688160004949,0.9535463551003005,13.890314202721331,14.241137913349498,1.0295503709390441,-11.24806608604947,13.880175559594953,-3.945755055737667,-0.1668819954946561,0.9535463551002863,30,12,0.25,207
zz2000_and_cyb_below_ma30_days12:scale0.50,30.691466230753207,11.358944690236159,2.5058407436022856,-11.24806608604948,7609.184315696782,-0.3760681928161702,0.05119340005072459,0.9535463551002206,31.6614470297375,13.11075929105647,2.2456676194370977,-11.248066086049423,1464.6698321540828,-0.18410118422429633,0.06663914601388443,0.9535463551002774,32.62308944489274,15.668927022781043,1.9585483296374377,-11.24806608604948,310.21522453052864,0.47509064165738835,0.09439293486532563,0.9535463551002543,26.242651648586946,15.06808301498446,1.6959750917633034,-11.24806608604947,101.22762245465063,-1.075212048387563,-0.011966613942894888,0.9535463551002543,15.215269945386577,14.477328851431814,1.0989723782491085,-11.248066086049436,15.204101300424377,-2.620799313072421,-0.09745998818459167,0.95354635510032,30,12,0.5,207
zz2000_and_cyb_below_ma30_days12:scale0.75,30.88416443413047,11.516403178415592,2.48645576977756,-11.256773848318746,7795.785293400766,-0.18336998943890848,0.03180842622599922,0.9448385928309548,31.76084363605267,13.319639698741991,2.2184254651475506,-11.256773848318712,1476.5207455672514,-0.08470457790912533,0.039396991724337305,0.9448385928309886,32.396721318835816,15.941683649278446,1.9165689748397714,-11.25677384831878,306.7267451626825,0.24872251560046266,0.05241358006765928,0.9448385928309548,26.786486388246256,15.258507790605849,1.7062400500270594,-11.256773848318712,103.84001801827254,-0.5313773087282527,-0.001701655679138936,0.9448385928310117,16.5307605645145,14.862280029024932,1.1545044579424206,-11.256773848318725,16.518558965813668,-1.3053086939444967,-0.041927908491279586,0.9448385928310312,30,12,0.75,207
zz2000_and_cyb_below_ma30_days13:scale0.25,30.388605614587362,11.334732435472446,2.489662514165019,-11.248066086049457,7324.248769165399,-0.6789288089820147,0.035015170613458046,0.9535463551002437,31.364842445236274,13.08184349474574,2.2324116191839685,-11.248066086049436,1429.7811445338873,-0.48070576872552095,0.0533831457607552,0.953546355100265,32.43943640298552,15.62508756657936,1.954338679149762,-11.248066086049446,307.38318888618954,0.2914375997501679,0.09018328437764978,0.9535463551002881,25.711785406931554,15.131651012200054,1.660283426653604,-11.248066086049457,98.69914690415116,-1.606078290042955,-0.04765827905259434,0.9535463551002668,14.207868058641647,14.564495948447554,1.0299184985718668,-11.248066086049446,14.197483509594422,-3.628201199817351,-0.16651386786183342,0.9535463551003094,30,13,0.25,180
