family,scale,tested,robust_cells,score_p75,best_score,median_score,best_10y_ann,best_5y_ann,best_3y_ann,best_10y_dd,best_5y_dd,best_3y_dd
zz2000_and_cyb,0.75,558,264,0.05102856207675565,0.14262623795319854,0.024443106865357993,0.5682763308560759,1.7011455529432524,1.6836894705084546,1.4855823138178454,1.9352311076421334,1.9352311076421334
zz2000,0.75,558,218,0.00040102606502598337,0.08494120814332948,-0.020275175987819513,-0.043447242335716396,0.5236662529949427,0.5447404557533027,1.935231107642121,1.935231107642144,1.9352311076421227
zz2000_and_cyb,0.5,558,181,0.08838460181387552,0.2755728009170486,0.03767925861154154,1.122044299397995,3.3933396813637557,3.3593158604231945,2.271874139988128,2.2718741399881726,2.2718741399881512
cyb,0.75,558,177,0.011960140267321617,0.1064728763778107,-0.02509447621550445,0.6295828456380299,1.7403641782475248,1.2231561735597687,1.4855823138178685,1.9352311076421334,1.9352311076421227
zz2000_and_cyb,0.25,558,169,0.10586421993600485,0.37371999562334457,0.03604516170126516,1.6612181355023914,5.075947804636094,5.026212821741847,1.9042200687980237,1.9042200687980468,1.9042200687980255
zz2000_and_cyb,0.0,558,149,0.1106377069553062,0.44553167939099686,0.018432876384432372,2.185714282694736,6.74833378366047,6.683712967061627,1.4170402891126699,1.4170402891126805,1.4170402891126699
zz2000,0.5,558,111,-0.017266379426329886,0.1445695216023652,-0.06598088285501491,-0.11183567496744118,1.0071677967966863,1.0656346920403301,2.271874139988139,2.2718741399881726,2.271874139988162
cyb,0.5,558,69,0.007169397004993763,0.2016692606721081,-0.06477075333691867,1.2494437372018616,3.480816753464765,2.4414988321550304,2.271874139988139,2.6687330801542615,2.6687330801542846
cyb,0.25,558,47,-0.019571568819741196,0.2644599225214905,-0.12953586871718126,1.8595338816956364,5.220988766783279,3.654828281481894,1.9042200687980788,2.6687330801542846,2.668733080154274
cyb,0.0,558,32,-0.07518476884601367,0.3070101852633357,-0.22943762636212087,2.4598047524534614,6.960506521515967,4.862944198922438,1.4170402891126592,2.6687330801542952,2.668733080154274
zz2000,0.25,558,26,-0.060083240821270964,0.16137675362399856,-0.14095107740041835,-0.20502992612161464,1.4502519217409784,1.5624761287079671,2.4132210999077692,2.4132210999077923,2.4132210999077817
zz2000,0.0,558,0,-0.13198397566403727,0.1419982645093948,-0.25089949515576027,-0.3228863968800759,1.8526948703362152,2.035067886945807,2.092022447253205,2.092022447253239,2.0920224472532283
