pair,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_calmar,last_3y_total_return,last_3y_win_rate,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_calmar,last_5y_total_return,last_5y_win_rate,full_common_annual,full_common_vol,full_common_sharpe,full_common_max_dd,full_common_calmar,full_common_total_return,full_common_win_rate,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,avg_prev_weight,avg_next_weight,last_3y_annual_delta_vs_16,last_3y_sharpe_delta_vs_16,last_3y_maxdd_delta_vs_16,last_5y_annual_delta_vs_16,last_5y_sharpe_delta_vs_16,last_5y_maxdd_delta_vs_16,full_common_annual_delta_vs_16,full_common_sharpe_delta_vs_16,full_common_maxdd_delta_vs_16
13/16,0.33357287659428536,0.15055482654355132,2.2156239308461627,-0.12742309112522066,2.6178369528524317,1.3683794077356253,0.6486486486486487,0.3798763502161493,0.15976018157655367,2.3777911771721456,-0.1274230911252206,2.9812206473851672,4.001556062418405,0.6557377049180327,0.3436948434761542,0.11470016784838324,2.9964633001275836,-0.12742309112522102,2.697272844671449,116.02164590122445,0.6391752577319587,0.561,0.187439999999994,0.748439999999994,0.7624648427512145,0.7627205318332907,0.02446623713611129,0.1463490786856272,-0.02135932279453455,0.021492747352618746,0.13061746552989772,-0.019660211991055054,0.021709042761786312,0.1935769691885989,-0.014500617433459442
14/16,0.3242630542883669,0.15140262111637065,2.141726820166031,-0.13065303408590576,2.4818639425944022,1.3192009518414305,0.6756756756756757,0.37917419634061833,0.15984178809672575,2.3721844009350486,-0.1306530340859064,2.9021461230766783,3.9888454666415134,0.6557377049180327,0.33700416416340184,0.1147889572127199,2.9358587476222673,-0.13065303408590698,2.5793826107537225,106.97390192917278,0.634020618556701,0.543,0.1858199999999941,0.728819999999994,0.7593965737663002,0.7596522628483764,0.01515641483019281,0.07245196800549536,-0.02458926575521965,0.020790593477087782,0.12501068929280068,-0.02289015495174085,0.015018363449033956,0.13297241668328263,-0.017730560394145403
12/16,0.305424412403573,0.14896332094094167,2.050332997910689,-0.10108741514601888,3.021389081542872,1.2217776619699792,0.6756756756756757,0.3705503918093356,0.15875916624333353,2.3340409286439887,-0.10108741514601877,3.6656431591814163,3.834831479021563,0.6721311475409836,0.3420880911721389,0.11427148955588762,2.9936434057318495,-0.10108741514601857,3.3840818926668574,113.7861686299378,0.6494845360824743,0.5970000000000001,0.18749999999999412,0.7844999999999941,0.7655331117361288,0.7657888008182051,-0.003682227054601084,-0.018941854249846735,0.004976353184667229,0.01216678894580503,0.08686721700174083,0.006675463988146779,0.02010229045777101,0.19075707479286486,0.011835058545743002
16/17,0.2995409742740782,0.15041758611315859,1.9913959664844951,-0.10895927554633536,2.749109451876791,1.1919201892544007,0.6756756756756757,0.36518433812854,0.15987472456426227,2.284190569358903,-0.1089592755463355,3.351567237368823,3.74093447456021,0.6885245901639344,0.3259560836901503,0.11503769515451281,2.8334719611023376,-0.12114041258191445,2.690729515798377,93.38246242513833,0.634020618556701,0.537,0.185609999999994,0.722609999999994,0.767007672634271,0.7672634271099744,-0.00956566518409585,-0.0778788856760404,-0.002895507215649254,0.006800735265009461,0.03701685771665497,-0.0011963964121699533,0.003970282975782391,0.030585630163352917,-0.008217938890152876
15/16,0.3068767332664011,0.152348743937281,2.014304321358476,-0.1441818942655137,2.1283999272563427,1.2291894067646831,0.6756756756756757,0.36159030242315726,0.16069368862428243,2.250183597867311,-0.14418189426551375,2.507875931753828,3.6788648233234555,0.6557377049180327,0.33200604199966643,0.11528477557318434,2.8798775931077256,-0.14418189426551367,2.30268886180862,100.64775933806872,0.6494845360824743,0.549,0.1863899999999939,0.7353899999999938,0.761697775504986,0.7619534645870621,-0.00222990619177299,-0.0549705308020596,-0.03811812593482759,0.0032066995596267134,0.003009886225063152,-0.03641901513134821,0.010020241285298548,0.07699126216874097,-0.0312594205737521
10/16,0.2954750831103088,0.14925266904711645,1.9796971471045015,-0.10010817085980275,2.9515581053229822,1.1714434231382436,0.6756756756756757,0.3565032410276987,0.15891363168998998,2.2433773442618703,-0.10010817085980252,3.5611802509803843,3.5921233113345457,0.6721311475409836,0.3349868442692818,0.11485428050094346,2.9166248119636267,-0.10010817085980268,3.3462487766200115,104.37738438711216,0.654639175257732,0.681,0.187949999999994,0.8689499999999941,0.7596522628483764,0.7599079519304526,-0.013631556347865281,-0.08957770505603402,0.005955597470883353,-0.0018803618358318452,-0.0037963673803775855,0.0076547082743630285,0.013001043554913938,0.11373848102464201,0.01281430283195889
6/16,0.2655643141203097,0.15126831819483066,1.7555844957452886,-0.10688893337814737,2.4844883911490343,1.0247089035693455,0.6486486486486487,0.34763576014706365,0.16036090109777953,2.167833666231982,-0.10688893337814749,3.252308252690776,3.4439989308794097,0.6721311475409836,0.3214597199265985,0.11525139861129341,2.78920450250483,-0.10796084486163397,2.9775583947920325,88.42226989826061,0.6443298969072165,0.8310000000000001,0.1853399999999941,1.016339999999994,0.7593965737663002,0.7596522628483764,-0.043542325337864396,-0.3136903564152469,-0.0008251650474612598,-0.010747842716466893,-0.07934004541026596,0.0008739457560180547,-0.0005260807877693896,-0.013681828434154664,0.004961628830127601
16/26,0.24976461731607835,0.16058250871956706,1.5553662681422813,-0.2411007419620257,1.0359346689833797,0.9499377530476085,0.6486486486486487,0.361203675262741,0.1670362791126325,2.1624264931044204,-0.24110074196202563,1.498144187874926,3.6722266228940823,0.6721311475409836,0.3224259485729981,0.11860724332724408,2.7184338791468807,-0.24110074196202597,1.3373079898019604,88.03989132250763,0.6701030927835051,0.44700000000000006,0.1941899999999941,0.641189999999994,0.7818508074852601,0.7821071520123045,-0.05934202214209572,-0.5139085840182542,-0.1350369736313396,0.0028200723992104493,-0.08474721853782752,-0.1333378628278601,0.0004401478586302243,-0.08445245179210392,-0.1281782682702644
4/16,0.265020493003729,0.1473682737706884,1.7983551426822892,-0.14244319519210896,1.8605345986960178,1.0221040977611646,0.6756756756756757,0.337447105885732,0.15769917827993482,2.139815245496861,-0.14244319519210905,2.3689942185769337,3.278550328114415,0.6721311475409836,0.31764991185567437,0.11468036598291019,2.7698718009237164,-0.14244319519210882,2.23001113831566,84.3556670191,0.6391752577319587,0.933,0.1833299999999946,1.1163299999999947,0.7570953720276145,0.7573510611096906,-0.044086146454445085,-0.2709197094782463,-0.036379426861422856,-0.020936496977798535,-0.1073584661453868,-0.0346803160579435,-0.004335888858693515,-0.03301453001526822,-0.02952072150034725
16/25,0.26603235461000163,0.16004178550353076,1.6622680993779124,-0.21259351157771056,1.2513662935228258,1.0269525225954794,0.6756756756756757,0.3514542673086336,0.16531270838528833,2.1259966686258136,-0.21259351157771014,1.6531749473462418,3.5073080523704387,0.6721311475409836,0.3240936048980425,0.11789851677548419,2.748920120133645,-0.21259351157771053,1.5244755237018355,89.93060747265906,0.6649484536082474,0.42300000000000004,0.1932299999999939,0.6162299999999938,0.7801127626858022,0.7803690415171707,-0.04307428484817244,-0.4070067527826231,-0.10652974324702445,-0.006929335554896943,-0.12117704301643428,-0.1048306324435446,0.002107804183674622,-0.05396621080533981,-0.09967103788594896
16/18,0.2723030007273528,0.15935502194198453,1.7087820478383706,-0.1589588617949018,1.7130407053284917,1.0571716756899292,0.6756756756756757,0.35014687091876895,0.1650502364532055,2.121456342281833,-0.1589588617949019,2.2027514978721294,3.4855513240706983,0.6885245901639344,0.3195198570461837,0.11739406985179628,2.7217716997933574,-0.15895886179490182,2.0100789187736336,86.19698695174586,0.634020618556701,0.525,0.18788999999999412,0.712889999999994,0.7679713481708877,0.7682271680736761,-0.036803638730821264,-0.3604928043221649,-0.052895093464215684,-0.0082367319447616,-0.125717369360415,-0.051195982660736356,-0.0024659436681842006,-0.08111463114562723,-0.046036388103140244
16/24,0.2544028546119217,0.15918929793414846,1.598115312482627,-0.22988246632174567,1.1066648913356318,0.9716937764814106,0.6756756756756757,0.3520165941877298,0.16595669485354764,2.1211352425304386,-0.22988246632174641,1.531289444646217,3.516691806679936,0.6721311475409836,0.3206907930689096,0.11781633167575412,2.721955339362393,-0.22988246632174605,1.3950206738258462,86.91508734130738,0.6649484536082474,0.44100000000000006,0.1911299999999938,0.6321299999999938,0.7794004611837049,0.7796566743530617,-0.05470378484625238,-0.47115953967790847,-0.12381869799105956,-0.006367008675800756,-0.12603846911180927,-0.12211958718758087,-0.0012950076454583126,-0.08093099157659145,-0.11695999262998448
8/16,0.24824784371260233,0.1519723861692936,1.6335062570910757,-0.12334713820212224,2.0125950819046334,0.9428580595208222,0.6486486486486487,0.3200343992568282,0.16073569250389827,1.9910599461228347,-0.12765406990352768,2.5070442289751402,3.007224812833778,0.639344262295082,0.3192058029290761,0.11556458250868415,2.762142137320396,-0.12765406990352676,2.500553277857201,85.9950119829826,0.6443298969072165,0.7350000000000001,0.1876499999999941,0.9226499999999941,0.7627205318332907,0.7629762209153669,-0.06085879574557174,-0.43576859506945986,-0.01728336987143614,-0.03834920360670235,-0.25611376551941323,-0.019891190769362133,-0.00277999778529181,-0.04074419361858883,-0.014731596211765188
