rebalance_date,effective_date,exit_count,entry_count,blocked_entry_count,blocked_exit_count,buy_turnover_frac,sell_turnover_frac,turnover_frac_one_side,two_side_cost_rate,holding_count_after
1990-12-19,1990-12-20,0,0,0,0,0.0,0.0,0.0,0.0,0
1990-12-27,1990-12-28,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-01-10,1991-01-11,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-01-24,1991-01-25,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-02-07,1991-02-08,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-02-21,1991-02-22,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-03-07,1991-03-08,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-03-21,1991-03-22,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-04-04,1991-04-05,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-04-18,1991-04-19,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-05-02,1991-05-03,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-05-16,1991-05-17,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-05-30,1991-05-31,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-06-13,1991-06-14,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-06-27,1991-06-28,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-07-11,1991-07-12,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-07-25,1991-07-26,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-08-08,1991-08-09,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-08-22,1991-08-23,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-09-05,1991-09-06,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-09-19,1991-09-20,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-10-03,1991-10-04,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-10-17,1991-10-18,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-10-31,1991-11-01,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-11-14,1991-11-15,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-11-28,1991-11-29,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-12-12,1991-12-13,0,0,0,0,0.0,0.0,0.0,0.0,0
1991-12-26,1991-12-27,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-01-09,1992-01-10,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-01-23,1992-01-24,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-02-07,1992-02-10,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-02-20,1992-02-21,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-03-05,1992-03-06,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-03-19,1992-03-20,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-04-02,1992-04-03,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-04-16,1992-04-17,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-04-30,1992-05-04,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-05-14,1992-05-15,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-05-28,1992-05-29,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-06-11,1992-06-12,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-06-25,1992-06-26,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-07-09,1992-07-10,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-07-23,1992-07-24,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-08-06,1992-08-07,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-08-20,1992-08-21,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-09-03,1992-09-04,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-09-17,1992-09-18,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-10-05,1992-10-06,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-10-15,1992-10-16,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-10-29,1992-10-30,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-11-12,1992-11-13,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-11-26,1992-11-27,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-12-10,1992-12-11,0,0,0,0,0.0,0.0,0.0,0.0,0
1992-12-24,1992-12-25,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-01-07,1993-01-08,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-01-21,1993-01-22,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-02-04,1993-02-05,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-02-18,1993-02-19,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-03-04,1993-03-05,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-03-18,1993-03-19,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-04-01,1993-04-02,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-04-15,1993-04-16,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-04-29,1993-04-30,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-05-13,1993-05-14,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-05-27,1993-05-28,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-06-10,1993-06-11,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-06-24,1993-06-25,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-07-08,1993-07-09,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-07-22,1993-07-23,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-08-05,1993-08-06,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-08-19,1993-08-20,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-09-02,1993-09-03,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-09-16,1993-09-17,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-09-30,1993-10-04,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-10-14,1993-10-15,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-10-28,1993-10-29,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-11-11,1993-11-12,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-11-25,1993-11-26,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-12-09,1993-12-10,0,0,0,0,0.0,0.0,0.0,0.0,0
1993-12-23,1993-12-24,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-01-06,1994-01-07,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-01-20,1994-01-21,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-02-03,1994-02-04,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-02-17,1994-02-18,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-03-03,1994-03-04,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-03-17,1994-03-18,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-03-31,1994-04-01,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-04-14,1994-04-15,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-04-28,1994-04-29,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-05-12,1994-05-13,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-05-26,1994-05-27,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-06-09,1994-06-10,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-06-23,1994-06-24,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-07-07,1994-07-08,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-07-21,1994-07-22,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-08-04,1994-08-05,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-08-18,1994-08-19,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-09-01,1994-09-02,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-09-15,1994-09-16,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-09-29,1994-09-30,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-10-13,1994-10-14,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-10-27,1994-10-28,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-11-10,1994-11-11,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-11-24,1994-11-25,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-12-08,1994-12-09,0,0,0,0,0.0,0.0,0.0,0.0,0
1994-12-22,1994-12-23,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-01-05,1995-01-06,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-01-19,1995-01-20,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-02-06,1995-02-07,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-02-16,1995-02-17,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-03-02,1995-03-03,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-03-16,1995-03-17,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-03-30,1995-03-31,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-04-13,1995-04-14,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-04-27,1995-04-28,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-05-11,1995-05-12,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-05-25,1995-05-26,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-06-08,1995-06-09,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-06-22,1995-06-23,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-07-06,1995-07-07,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-07-20,1995-07-21,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-08-03,1995-08-04,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-08-17,1995-08-18,0,0,0,0,0.0,0.0,0.0,0.0,0
1995-08-31,1995-09-01,0,0,0,0,0.0,0.0,0.0,0.0,0
