strategy,net_annual,net_max_dd,net_sharpe,net_vol,net_total_return,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,entry_days,rebalance_cost_days,rebalance_events,avg_turnover_frac_one_side
Top50,1.2287280314283309,-0.16161859593389308,6.54410350656595,0.18776109366172172,413579.0893567606,0.5760000000000001,0.31980000000000003,0.8958000000000002,192,321,420,0.15695238095238098
Top100,0.6786561192850058,-0.1748344675626238,5.04225417288121,0.13459379396917884,4266.596898311162,0.573,0.26094000000000006,0.83394,191,315,420,0.12985714285714287
