date,close,daily_return,holding_count,holding_effective
1990-12-19,1000.0,,0,False
1990-12-20,1000.0,0.0,0,False
1990-12-21,1000.0,0.0,0,False
1990-12-24,1000.0,0.0,0,False
1990-12-25,1000.0,0.0,0,False
1990-12-26,1000.0,0.0,0,False
1990-12-27,1000.0,0.0,0,False
1990-12-28,1000.0,0.0,0,False
1990-12-31,1000.0,0.0,0,False
1991-01-02,1000.0,0.0,0,False
1991-01-03,1000.0,0.0,0,False
1991-01-04,1000.0,0.0,0,False
1991-01-07,1000.0,0.0,0,False
1991-01-08,1000.0,0.0,0,False
1991-01-09,1000.0,0.0,0,False
1991-01-10,1000.0,0.0,0,False
1991-01-11,1000.0,0.0,0,False
1991-01-14,1000.0,0.0,0,False
1991-01-15,1000.0,0.0,0,False
1991-01-16,1000.0,0.0,0,False
1991-01-17,1000.0,0.0,0,False
1991-01-18,1000.0,0.0,0,False
1991-01-21,1000.0,0.0,0,False
1991-01-22,1000.0,0.0,0,False
1991-01-23,1000.0,0.0,0,False
1991-01-24,1000.0,0.0,0,False
1991-01-25,1000.0,0.0,0,False
1991-01-28,1000.0,0.0,0,False
1991-01-29,1000.0,0.0,0,False
1991-01-30,1000.0,0.0,0,False
1991-01-31,1000.0,0.0,0,False
1991-02-01,1000.0,0.0,0,False
1991-02-04,1000.0,0.0,0,False
1991-02-05,1000.0,0.0,0,False
1991-02-06,1000.0,0.0,0,False
1991-02-07,1000.0,0.0,0,False
1991-02-08,1000.0,0.0,0,False
1991-02-11,1000.0,0.0,0,False
1991-02-12,1000.0,0.0,0,False
1991-02-13,1000.0,0.0,0,False
1991-02-14,1000.0,0.0,0,False
1991-02-19,1000.0,0.0,0,False
1991-02-20,1000.0,0.0,0,False
1991-02-21,1000.0,0.0,0,False
1991-02-22,1000.0,0.0,0,False
1991-02-25,1000.0,0.0,0,False
1991-02-26,1000.0,0.0,0,False
1991-02-27,1000.0,0.0,0,False
1991-02-28,1000.0,0.0,0,False
1991-03-01,1000.0,0.0,0,False
1991-03-04,1000.0,0.0,0,False
1991-03-05,1000.0,0.0,0,False
1991-03-06,1000.0,0.0,0,False
1991-03-07,1000.0,0.0,0,False
1991-03-08,1000.0,0.0,0,False
1991-03-11,1000.0,0.0,0,False
1991-03-12,1000.0,0.0,0,False
1991-03-13,1000.0,0.0,0,False
