strategy,window_years,annual,max_dd,sharpe
Top100,1,0.38292280958565716,-0.06113813156759635,2.5355287278745102
Top50,1,0.3092263302454987,-0.08934998309691151,2.0191446535858217
Top50,2,0.37727604685090577,-0.09853865044768838,2.313913405619823
Top100,2,0.33422725007910303,-0.10568122006438782,2.1267744005735136
Top50,3,0.3933186651695335,-0.09853865044768854,2.575450336095184
Top100,3,0.3470813074487311,-0.10568122006438774,2.368396431407194
Top100,4,0.3311761472457164,-0.115516263048338,2.3157307623319445
Top50,4,0.34359678722555653,-0.13598998817400743,2.291430634188868
Top50,5,0.32999773003531296,-0.13598998817400718,2.14885249017457
Top100,5,0.2851183255079195,-0.1748344675626234,1.9487564468157679
