rebalance_date,rank,symbol,name,market_cap
2010-01-07,1,555,神州信息,786648262.4
2010-01-07,2,600706,曲江文旅,788620972.2299999
2010-01-07,3,600817,宇通重工,876638129.4599999
2010-01-07,4,600419,天润乳业,882561600.0
2010-01-07,5,600455,博通股份,912511380.0
2010-01-07,6,2057,中钢天源,925680000.0
2010-01-07,7,600711,盛屯矿业,930551544.0
2010-01-07,8,600234,科新发展,971740224.0
2010-01-07,9,35,中国天楹,991543361.6
2010-01-07,10,803,山高环能,1021847144.0
2010-01-07,11,2034,旺能环境,1031846400.0
2010-01-07,12,600847,万里股份,1080765400.0
2010-01-07,13,2020,京新药业,1082523000.0
2010-01-07,14,2175,东方智造,1090536137.7599998
2010-01-07,15,600566,济川药业,1109855519.9999998
2010-01-07,16,600633,浙数文化,1114532451.96
2010-01-07,17,2136,安 纳 达,1132502000.0
2010-01-07,18,600691,潞化科技,1184857939.8
2010-01-07,19,600513,联环药业,1197000000.0
2010-01-07,20,600793,宜宾纸业,1208844000.0
2010-01-07,21,600988,赤峰黄金,1211595648.0
2010-01-07,22,605,渤海股份,1215654000.0
2010-01-07,23,600768,宁波富邦,1221111936.0
2010-01-07,24,705,浙江震元,1226974434.4
2010-01-07,25,2178,延华智能,1232000000.0
2010-01-07,26,995,皇台酒业,1232985600.0
2010-01-07,27,600593,大连圣亚,1239240000.0
2010-01-07,28,2043,兔 宝 宝,1242570000.0
2010-01-07,29,586,汇源通信,1253491200.0
2010-01-07,30,2174,游族网络,1259028000.78
2010-01-07,31,600617,国新能源,1272352428.0
2010-01-07,32,2141,贤丰控股,1276626400.0
2010-01-07,33,600699,均胜电子,1283350829.19
2010-01-07,34,7,全新好,1291058233.74
2010-01-07,35,600984,建设机械,1336288640.0
2010-01-07,36,810,创维数字,1349820124.38
2010-01-07,37,600774,汉商集团,1352959241.5
2010-01-07,38,600114,东睦股份,1360680000.0
2010-01-07,39,409,云鼎科技,1382989374.36
2010-01-07,40,2102,能特科技,1386244161.8100002
2010-01-07,41,600113,浙江东日,1389450000.0
2010-01-07,42,523,红棉股份,1394460895.5200002
2010-01-07,43,2213,大为股份,1398740000.0
2010-01-07,44,600353,旭光电子,1401916771.0
2010-01-07,45,779,甘咨询,1403900880.6
2010-01-07,46,600671,天目药业,1406546121.7499998
2010-01-07,47,600980,北矿科技,1413100000.0
2010-01-07,48,600885,宏发股份,1419055015.56
2010-01-07,49,2176,江特电机,1426072369.2000003
2010-01-07,50,2044,美年健康,1433250000.0
2010-01-21,1,600706,曲江文旅,814821004.5300001
2010-01-21,2,8,神州高铁,816814076.72
2010-01-21,3,555,神州信息,820180504.0000001
2010-01-21,4,600817,宇通重工,845743393.62
2010-01-21,5,600419,天润乳业,897792000.0
2010-01-21,6,600711,盛屯矿业,917042256.0
2010-01-21,7,2057,中钢天源,1001280000.0
2010-01-21,8,600234,科新发展,1032473988.0
2010-01-21,9,2020,京新药业,1082523000.0
2010-01-21,10,803,山高环能,1092099135.15
2010-01-21,11,600847,万里股份,1102043800.0
2010-01-21,12,35,中国天楹,1108548478.4
2010-01-21,13,600793,宜宾纸业,1131975000.0
2010-01-21,14,2034,旺能环境,1138924800.0
2010-01-21,15,600566,济川药业,1149189480.0
2010-01-21,16,600633,浙数文化,1149504138.72
2010-01-21,17,600455,博通股份,1166715440.0
2010-01-21,18,2136,安 纳 达,1175908000.0
2010-01-21,19,2175,东方智造,1190452134.7199998
2010-01-21,20,600513,联环药业,1236600000.0
2010-01-21,21,605,渤海股份,1241757000.0
2010-01-21,22,2174,游族网络,1252392807.1
2010-01-21,23,600593,大连圣亚,1264080000.0
2010-01-21,24,600617,国新能源,1280712168.0
2010-01-21,25,2178,延华智能,1288000000.0000002
2010-01-21,26,995,皇台酒业,1312819200.0000002
2010-01-21,27,600699,均胜电子,1318638333.9
2010-01-21,28,586,汇源通信,1323129600.0
2010-01-21,29,779,甘咨询,1338646523.5999997
2010-01-21,30,600768,宁波富邦,1344159360.0000002
2010-01-21,31,2141,贤丰控股,1364160000.0
2010-01-21,32,7,全新好,1368743686.2
2010-01-21,33,600691,潞化科技,1370313965.16
2010-01-21,34,600113,浙江东日,1387975000.0
2010-01-21,35,600241,时代万恒,1389660000.0
2010-01-21,36,600984,建设机械,1408482200.0
2010-01-21,37,409,云鼎科技,1412122979.52
2010-01-21,38,705,浙江震元,1413715180.7999997
2010-01-21,39,2043,兔 宝 宝,1436550000.0
2010-01-21,40,2102,能特科技,1444217472.39
