date,return_raw,holding,next_holding,signal_on,microcap_close,hedge_close,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,ratio_bias_mom,ratio_r2,futures_drag,active_spread_ret,weight,realized_vol,scale_raw,return,nav,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net
2005-01-26,0.0,cash,cash,False,1000.0,1006.84,0.0,-0.008137129346862393,0.0,0.01703064708377955,-0.01703064708377955,,0.247783716855657,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2005-01-27,0.0,cash,long_microcap_short_zz1000,True,1000.0,989.41,0.0,-0.01731158873306593,0.0,-0.023846169024645425,0.023846169024645425,,0.3835345060108689,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2005-01-28,0.026382568399349125,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1000.0,963.01,0.0,-0.026682568399349127,0.0,-0.04222900732990542,0.04222900732990542,,0.94684511816667,0.0003,0.026682568399349127,1.0,,,0.026382568399349125,1.026382568399349,0.003,0.0,0.003,0.023303420694150923,1.023303420694151
2005-01-31,0.04003187609682143,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1000.0,924.17,0.0,-0.04033187609682143,0.0,-0.08655385771047908,0.08655385771047908,,0.9229557257311328,0.0003,0.04033187609682143,1.0,,,0.04003187609682143,1.0674705882054492,0.0,0.0,0.0,0.04003187609682146,1.0642681764408328
2005-02-01,0.019577295302812235,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1000.0,905.8,0.0,-0.019877295302812237,0.0,-0.11511859638154043,0.11511859638154043,,0.9802714705357838,0.0003,0.019877295302812237,1.0,,,0.019577295302812235,1.088368775137814,0.0,0.0,0.0,0.01957729530281216,1.0851036688124005
2005-02-02,-0.05835917421064266,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1000.0,958.39,0.0,0.05805917421064266,0.0,-0.06695159468826672,0.06695159468826672,,0.3119921791137494,0.0003,-0.05805917421064266,1.0,,,-0.05835917421064266,1.0248524721841226,0.0,0.0,0.0,-0.05835917421064263,1.02177791476757
2005-02-03,0.02216475860557806,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1000.0,936.86,0.0,-0.02246475860557806,0.0,-0.08591890098739419,0.08591890098739419,,0.01258986859764973,0.0003,0.02246475860557806,1.0,,,0.02216475860557806,1.0475680798364135,0.0,0.0,0.0,0.022164758605577983,1.0444253755969042
2005-02-04,-0.016876649659500788,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1000.0,952.39,0.0,0.016576649659500786,0.0,-0.07472068395997278,0.07472068395997278,,0.42047280369173157,0.0003,-0.016576649659500786,1.0,,,-0.016876649659500788,1.0298886403585386,0.0,0.0,0.0,-0.016876649659500753,1.0267989744374628
2005-02-16,-0.014999860351326643,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1000.0,966.39,0.0,0.014699860351326643,0.0,-0.044955923627307603,0.044955923627307603,,0.5792629990765631,0.0003,-0.014699860351326643,1.0,,,-0.014999860351326643,1.0144404545757428,0.0,0.0,0.0,-0.01499986035132661,1.0113971332120155
2005-02-17,-0.007978059582570063,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1000.0,973.81,0.0,0.007678059582570063,0.0,-0.013023736646869288,0.013023736646869288,,0.449112969071036,0.0003,-0.007678059582570063,1.0,,,-0.007978059582570063,1.006347188186168,0.0,0.0,0.0,-0.00797805958257003,1.0033281466216095
