date,return_raw,return,holding,next_holding,signal_on,microcap_close,hedge_close,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,annualized_log_wls_score,log_wls_r2,spread_nav,halflife,signal_score_label,momentum_gap_legacy_note,futures_drag,active_spread_ret,weight,target_vol_execution_scale,momentum_gap_exit_buffer,base_holding,base_next_holding,base_signal_on,gap_peak,gap_decay_ratio,signal_quality_derisk_triggered,execution_scale,signal_quality_execution_scale,signal_quality_next_scale,signal_quality_scale_turnover,signal_quality_scale_cost,signal_quality_derisk_enabled,trade_id,trade_return_net,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net,overlay_pre_cost_return,target_vol,target_vol_window,target_vol_return,target_vol_return_source,target_vol_realized_vol,target_vol_realtime_snapshot_vol_frozen,target_vol_frozen_lag_days,target_vol_frozen_source_date,latest_realized_vol,target_vol_scale_raw,target_vol_execution_scale_raw,current_execution_scale,next_session_target_scale,raw_next_target_scale,next_session_actionable_scale,target_vol_scale_next_session,target_vol_turnover,target_vol_costed_turnover,scale_change_cost,target_vol_trade_cost,financing_cost,idle_cash_yield,base_trade_cost,base_trade_cost_scale,base_trade_cost_scaled,base_pre_cost_return,base_pre_cost_return_source,embedded_lineage_return_net,embedded_lineage_nav_net,nav,version,base_version,overlay_type,cash_day_yield,cash_day_yield_annual,cash_day_yield_enabled,scale_rebalance_threshold,signal_spread_hedge_ratio,execution_hedge_ratio
2010-05-05,0.0,0.0,cash,cash,False,1155.3097725787804,4662.84,0.025178470063554004,0.031519613482112074,-0.4396822830392151,0.0,-0.4396822830392151,-0.4396822830392151,0.7244998539930907,1.0680265444750308,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,1.0000819672131147,0.0,0.25,60,0.0,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,1.0,1.0,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
2010-05-06,0.0,0.0,cash,cash,False,1126.5009103237394,4533.9,-0.024936050000456955,-0.027652675193658882,-0.4829708834847107,0.0,-0.4829708834847107,-0.4829708834847107,0.785993182207436,1.064764887695571,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,1.0001639411448535,0.0,0.25,60,-0.0028139098455298474,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,1.0,1.0,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
2010-05-07,0.0,0.0,cash,cash,False,1111.8737256852298,4453.17,-0.01298461856928812,-0.017805862502481173,-0.47273054201089604,0.0,-0.47273054201089604,-0.47273054201089604,0.8156094480402111,1.065851023940048,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,1.0002459217957669,0.0,0.25,60,0.001260071432696819,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,1.0,1.0,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
2010-05-10,0.0,0.0,cash,cash,False,1094.0215228475208,4367.27,-0.016055962494038623,-0.019289629634619776,-0.45258453642580837,0.0,-0.45258453642580837,-0.45258453642580837,0.8310374359427976,1.0649298528276754,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,1.000327909166406,0.0,0.25,60,-0.0006242587863428007,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,1.0,1.0,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
2010-05-11,0.0,0.0,cash,cash,False,1062.3194780502167,4239.79,-0.028977533014880708,-0.029189860026973435,-0.4940722764000931,0.0,-0.4940722764000931,-0.4940722764000931,0.8662549757871096,1.0586833523682189,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,1.000409903257321,0.0,0.25,60,-0.005625644993301957,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,1.0,1.0,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
2010-05-12,0.0,0.0,cash,cash,False,1033.4663368657948,4134.52,-0.02716051223816307,-0.024829059929854957,-0.5979447039729645,0.0,-0.5979447039729645,-0.5979447039729645,0.857280858500356,1.0507037761374662,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,1.0004919040690634,0.0,0.25,60,-0.007297264294279102,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,1.0,1.0,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
2010-05-13,0.0,0.0,cash,cash,False,1050.190245609321,4236.4,0.016182344936599424,0.024641312655398817,-0.682836593878365,0.0,-0.682836593878365,-0.682836593878365,0.880386836851134,1.046741881958028,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,1.0005739116021837,0.0,0.25,60,-0.00353070518771963,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,1.0,1.0,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
2010-05-14,0.0,0.0,cash,cash,False,1056.9552133833336,4257.81,0.006441659311059,0.005053819280521399,-0.6716610084904215,0.0,-0.6716610084904215,-0.6716610084904215,0.901838789204003,1.0490013830527336,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,1.000655925857233,0.0,0.25,60,0.0023986038866418815,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,1.0,1.0,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
2010-05-17,0.0,0.0,cash,cash,False,998.5951396442248,3981.29,-0.05521527591722364,-0.06494418492135634,-0.6784495725404794,0.0,-0.6784495725404794,-0.6784495725404794,0.927132636389782,1.0453299537609833,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,1.0007379468347621,0.0,0.25,60,-0.0032599279801385633,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,1.0,1.0,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
2010-05-18,0.0,0.0,cash,cash,False,994.4202875899218,4007.42,-0.0041807253896612995,0.006563199365029915,-0.7797618255940258,0.0,-0.7797618255940258,-0.7797618255940258,0.9227918846891844,1.035220269982802,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,1.0008199745353223,0.0,0.25,60,-0.009431284881685232,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,1.0,1.0,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
