window,ann_return_delta,max_drawdown_delta,sharpe_delta,calmar_delta,active_ratio_delta,entries_delta,final_nav_delta
full,0.023919679144214445,0.01831224056092906,0.10458472711824252,0.3536611549286479,-0.012873326467559232,-4,48.452915864680676
10Y,0.04473044549184135,0.024393732705940252,0.20767434837283116,0.6681886152247376,-0.00663900414937757,-5,5.895315843464871
5Y,0.061193604575520366,0.02439373270594114,0.24310874586385567,0.7842405237802674,0.0025146689019279744,-3,0.9449204547006405
3Y,0.06004192902738348,0.02090030551401878,0.2539391364128658,1.1043152016219948,0.0028208744710860323,0,0.32321920636331836
1Y,0.029795561449962316,0.023771788182716413,0.17026335692794592,0.6588638913589295,-0.03111111111111109,0,0.027050426117653625
