date,return_raw,return,holding,next_holding,signal_on,microcap_close,hedge_close,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,annualized_log_wls_score,log_wls_r2,spread_nav,halflife,exp_weight_oldest_to_newest,signal_score_label,momentum_gap_legacy_note,futures_drag,active_spread_ret,weight,target_vol_execution_scale,momentum_gap_exit_buffer,base_holding,base_next_holding,base_signal_on,gap_peak,gap_decay_ratio,signal_quality_derisk_triggered,execution_scale,signal_quality_execution_scale,signal_quality_next_scale,signal_quality_scale_turnover,signal_quality_scale_cost,signal_quality_derisk_enabled,trade_id,trade_return_net,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net,overlay_pre_cost_return,target_vol,target_vol_window,target_vol_return,target_vol_return_source,target_vol_realized_vol,target_vol_realtime_snapshot_vol_frozen,target_vol_frozen_lag_days,target_vol_frozen_source_date,latest_realized_vol,target_vol_scale_raw,target_vol_execution_scale_raw,current_execution_scale,next_session_target_scale,raw_next_target_scale,next_session_actionable_scale,target_vol_scale_next_session,target_vol_turnover,target_vol_costed_turnover,scale_change_cost,target_vol_trade_cost,financing_cost,idle_cash_yield,base_trade_cost,base_trade_cost_scale,base_trade_cost_scaled,base_pre_cost_return,base_pre_cost_return_source,embedded_lineage_return_net,embedded_lineage_nav_net,nav,version,base_version,overlay_type,cash_day_yield,cash_day_yield_annual,cash_day_yield_enabled,scale_rebalance_threshold
2010-05-05,0.0,0.0,cash,cash,False,1155.3097725787804,4662.84,0.025178470063554004,0.031519613482112074,-0.0428305603873886,0.0,-0.0428305603873886,-0.0428305603873886,0.013084837274085048,1.0417926520093244,3.0,"0.00521963,0.00657632,0.00828565,0.01043926,0.01315264,0.01657129,0.02087852,0.02630529,0.03314258,0.04175704,0.05261057,0.06628517,0.08351408,0.10522115,0.13257034,0.16702816,0.21044230",annualized_log_wls_score,"legacy field contains annualized spread-NAV log-WLS score, not plain microcap-minus-hedge momentum gap",0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,1.0000819672131147,0.0,0.25,60,0.0,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,1.0,1.0,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3
2010-05-06,0.0,0.0,cash,cash,False,1126.5009103237394,4533.9,-0.024936050000456955,-0.027652675193658882,-0.07279011016007773,0.0,-0.07279011016007773,-0.07279011016007773,0.04469433323042327,1.0443102743782626,3.0,"0.00521963,0.00657632,0.00828565,0.01043926,0.01315264,0.01657129,0.02087852,0.02630529,0.03314258,0.04175704,0.05261057,0.06628517,0.08351408,0.10522115,0.13257034,0.16702816,0.21044230",annualized_log_wls_score,"legacy field contains annualized spread-NAV log-WLS score, not plain microcap-minus-hedge momentum gap",0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,1.0001639411448535,0.0,0.25,60,-0.0028139098455298474,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,1.0,1.0,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3
2010-05-07,0.0,0.0,cash,cash,False,1111.8737256852298,4453.17,-0.01298461856928812,-0.017805862502481173,-0.02411638925216795,0.0,-0.02411638925216795,-0.02411638925216795,0.006054002939749337,1.0490318558706664,3.0,"0.00521963,0.00657632,0.00828565,0.01043926,0.01315264,0.01657129,0.02087852,0.02630529,0.03314258,0.04175704,0.05261057,0.06628517,0.08351408,0.10522115,0.13257034,0.16702816,0.21044230",annualized_log_wls_score,"legacy field contains annualized spread-NAV log-WLS score, not plain microcap-minus-hedge momentum gap",0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,1.0002459217957669,0.0,0.25,60,0.001260071432696819,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,1.0,1.0,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3
2010-05-10,0.0,-0.0030000000000000027,cash,long_microcap_short_zz1000,True,1094.0215228475208,4367.27,-0.016055962494038623,-0.019289629634619776,0.045161287723085405,0.0,0.045161287723085405,0.045161287723085405,0.02227305590438744,1.0521093661556569,3.0,"0.00521963,0.00657632,0.00828565,0.01043926,0.01315264,0.01657129,0.02087852,0.02630529,0.03314258,0.04175704,0.05261057,0.06628517,0.08351408,0.10522115,0.13257034,0.16702816,0.21044230",annualized_log_wls_score,"legacy field contains annualized spread-NAV log-WLS score, not plain microcap-minus-hedge momentum gap",0.0,0.0,1.0,1.0,0.13,cash,long_microcap_short_zz1000,True,0.045161287723085405,,False,0.0,0.0,1.0,0.0,0.0,False,1,-0.0030000000000000027,0.003,0.0,0.003,-0.002918278688524678,0.9973269254389066,0.0,0.25,60,-0.0006242587863428007,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,1.0,0.003,0.0,overlay_pre_cost_return,-0.0030000000000000027,0.997,0.997,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3
2010-05-11,-0.005865644993301957,-0.005865644993301999,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1062.3194780502167,4239.79,-0.028977533014880708,-0.029189860026973435,0.08946320125323597,0.0,0.08946320125323597,0.08946320125323597,0.09825612063302291,1.0520171245839207,3.0,"0.00521963,0.00657632,0.00828565,0.01043926,0.01315264,0.01657129,0.02087852,0.02630529,0.03314258,0.04175704,0.05261057,0.06628517,0.08351408,0.10522115,0.13257034,0.16702816,0.21044230",annualized_log_wls_score,"legacy field contains annualized spread-NAV log-WLS score, not plain microcap-minus-hedge momentum gap",0.00023999999999999998,-0.005625644993301957,1.0,1.0,0.13,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.08946320125323597,1.0,False,1.0,1.0,1.0,0.0,0.0,False,1,-0.008848048058322067,0.0,0.0,0.0,-0.005865644993301999,0.9914769597520205,-0.005865644993301957,0.25,60,-0.005625644993301957,constructed_microcap_minus_hedge,,False,0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.005865644993301957,overlay_pre_cost_return,-0.005865644993301999,0.9911519519416779,0.9911519519416779,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3
2010-05-12,-0.007537264294279102,-0.007537264294279145,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1033.4663368657948,4134.52,-0.02716051223816307,-0.024829059929854957,0.07562221211467178,0.0,0.07562221211467178,0.07562221211467178,0.08870701110731016,1.0492487916930546,3.0,"0.00521963,0.00657632,0.00828565,0.01043926,0.01315264,0.01657129,0.02087852,0.02630529,0.03314258,0.04175704,0.05261057,0.06628517,0.08351408,0.10522115,0.13257034,0.16702816,0.21044230",annualized_log_wls_score,"legacy field contains annualized spread-NAV log-WLS score, not plain microcap-minus-hedge momentum gap",0.00023999999999999998,-0.007297264294279102,1.0,1.0,0.13,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.08946320125323597,0.8452884655961991,False,1.0,1.0,1.0,0.0,0.0,False,1,-0.0163186222758972,0.0,0.0,0.0,-0.007537264294279145,0.9840039358646812,-0.007537264294279102,0.25,60,-0.007297264294279102,constructed_microcap_minus_hedge,,False,0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.007537264294279102,overlay_pre_cost_return,-0.007537264294279145,0.9836813777241028,0.9836813777241028,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3
2010-05-13,-0.00377070518771963,-0.004248895249229556,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1050.190245609321,4236.4,0.016182344936599424,0.024641312655398817,-0.05362290113420341,0.0,-0.05362290113420341,-0.05362290113420341,0.02662564935873657,1.040058455397626,3.0,"0.00521963,0.00657632,0.00828565,0.01043926,0.01315264,0.01657129,0.02087852,0.02630529,0.03314258,0.04175704,0.05261057,0.06628517,0.08351408,0.10522115,0.13257034,0.16702816,0.21044230",annualized_log_wls_score,"legacy field contains annualized spread-NAV log-WLS score, not plain microcap-minus-hedge momentum gap",0.00023999999999999998,-0.00353070518771963,1.0,1.0,0.13,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.08946320125323597,-0.5993850028059869,False,1.0,1.0,1.0,0.0,0.0,False,1,-0.02049818140846471,0.0,0.00048,0.00048,-0.004248895249229556,0.9798230062163625,-0.00377070518771963,0.25,60,-0.00353070518771963,constructed_microcap_minus_hedge,,False,0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048,1.0,0.00048,-0.00377070518771963,overlay_pre_cost_return,-0.004248895249229556,0.9795018185915353,0.9795018185915353,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3
2010-05-14,0.0021586038866418817,0.0021586038866419077,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1056.9552133833336,4257.81,0.006441659311059,0.005053819280521399,-0.12206812189390641,0.0,-0.12206812189390641,-0.12206812189390641,0.13384749204406587,1.0411898726195066,3.0,"0.00521963,0.00657632,0.00828565,0.01043926,0.01315264,0.01657129,0.02087852,0.02630529,0.03314258,0.04175704,0.05261057,0.06628517,0.08351408,0.10522115,0.13257034,0.16702816,0.21044230",annualized_log_wls_score,"legacy field contains annualized spread-NAV log-WLS score, not plain microcap-minus-hedge momentum gap",0.00023999999999999998,0.0023986038866418815,1.0,1.0,0.13,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.08946320125323597,-1.3644506365067177,False,1.0,1.0,1.0,0.0,0.0,False,1,-0.018383824975880203,0.0,0.0,0.0,0.0021586038866419077,0.9819380559658023,0.0021586038866418817,0.25,60,0.0023986038866418815,constructed_microcap_minus_hedge,,False,0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0021586038866418817,overlay_pre_cost_return,0.0021586038866419077,0.9816161750241198,0.9816161750241198,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3
2010-05-17,-0.003499927980138563,-0.0034999279801385397,long_microcap_short_zz1000,long_microcap_short_zz1000,True,998.5951396442248,3981.29,-0.05521527591722364,-0.06494418492135634,-0.0341158997270049,0.0,-0.0341158997270049,-0.0341158997270049,0.010997116505162552,1.0510071571844604,3.0,"0.00521963,0.00657632,0.00828565,0.01043926,0.01315264,0.01657129,0.02087852,0.02630529,0.03314258,0.04175704,0.05261057,0.06628517,0.08351408,0.10522115,0.13257034,0.16702816,0.21044230",annualized_log_wls_score,"legacy field contains annualized spread-NAV log-WLS score, not plain microcap-minus-hedge momentum gap",0.00023999999999999998,-0.0032599279801385633,1.0,1.0,0.13,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.08946320125323597,-0.381340028627367,False,1.0,1.0,1.0,0.0,0.0,False,1,-0.02181941089260364,0.0,0.0,0.0,-0.0034999279801385397,0.9785013434889648,-0.003499927980138563,0.25,60,-0.0032599279801385633,constructed_microcap_minus_hedge,,False,0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.003499927980138563,overlay_pre_cost_return,-0.0034999279801385397,0.9781805891073964,0.9781805891073964,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3
2010-05-18,-0.009671284881685232,-0.012642271027040186,long_microcap_short_zz1000,cash,False,994.4202875899218,4007.42,-0.0041807253896612995,0.006563199365029915,-0.13683427497678957,0.0,-0.13683427497678957,-0.13683427497678957,0.1497032164580886,1.0393999132238734,3.0,"0.00521963,0.00657632,0.00828565,0.01043926,0.01315264,0.01657129,0.02087852,0.02630529,0.03314258,0.04175704,0.05261057,0.06628517,0.08351408,0.10522115,0.13257034,0.16702816,0.21044230",annualized_log_wls_score,"legacy field contains annualized spread-NAV log-WLS score, not plain microcap-minus-hedge momentum gap",0.00023999999999999998,-0.009431284881685232,1.0,1.0,0.13,long_microcap_short_zz1000,cash,False,0.08946320125323597,-1.5295034501332485,False,1.0,1.0,0.0,0.0,0.0,False,1,-0.03418583501348915,0.003,0.0,0.003,-0.012642271027040186,0.9661308643042543,-0.009671284881685232,0.25,60,-0.009431284881685232,constructed_microcap_minus_hedge,,False,0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,1.0,0.003,-0.009671284881685232,overlay_pre_cost_return,-0.012642271027040186,0.9658141649865108,0.9658141649865108,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3
2010-05-19,0.0,0.0,cash,cash,False,989.8731377496076,4007.16,-0.004572663990328185,-6.48796482525249e-05,-0.26050469360913914,0.0,-0.26050469360913914,-0.26050469360913914,0.3632340896176772,1.0344027025959208,3.0,"0.00521963,0.00657632,0.00828565,0.01043926,0.01315264,0.01657129,0.02087852,0.02630529,0.03314258,0.04175704,0.05261057,0.06628517,0.08351408,0.10522115,0.13257034,0.16702816,0.21044230",annualized_log_wls_score,"legacy field contains annualized spread-NAV log-WLS score, not plain microcap-minus-hedge momentum gap",0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,0.9662100553587054,0.0,0.25,60,-0.004520760271726165,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,0.9658141649865108,0.9658141649865108,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3
2010-05-20,0.0,0.0,cash,cash,False,973.482226717254,3918.58,-0.01655859767001755,-0.022105431278012344,-0.2519064235310055,0.0,-0.2519064235310055,-0.2519064235310055,0.40675316058596866,1.0398300414601016,3.0,"0.00521963,0.00657632,0.00828565,0.01043926,0.01315264,0.01657129,0.02087852,0.02630529,0.03314258,0.04175704,0.05261057,0.06628517,0.08351408,0.10522115,0.13257034,0.16702816,0.21044230",annualized_log_wls_score,"legacy field contains annualized spread-NAV log-WLS score, not plain microcap-minus-hedge momentum gap",0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,0.9662892529042266,0.0,0.25,60,0.001125747352392327,constructed_microcap_minus_hedge,,False,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,0.9658141649865108,0.9658141649865108,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3
