variant,window,start,end,rows,ann_return,total_return,max_drawdown,sharpe,calmar,active_ratio,entries,avg_execution_scale,final_nav
signal1p0_exec0p8_official_v2_3,full,2010-05-05,2026-05-29,3884,0.39554979711319516,200.40072755158718,-0.16988288568980947,2.2874679540845273,2.3283675427755135,0.7245108135942327,80,1.03450400467727,201.40072755158718
signal0p8_exec0p8_counterfactual,full,2010-05-05,2026-05-29,3884,0.3716301179689807,151.9478116869065,-0.18819512625073853,2.182883226966285,1.9747063878468656,0.737384140061792,84,1.0509441552297158,152.9478116869065
signal1p0_exec0p8_official_v2_3,10Y,2016-05-30,2026-05-29,2410,0.3608191816822732,19.96782347403742,-0.13800126523980993,1.9423793692780533,2.6146077795392983,0.7203319502074689,52,1.003325126210173,20.96782347403742
signal0p8_exec0p8_counterfactual,10Y,2016-05-30,2026-05-29,2410,0.3160887361904319,14.072507630572549,-0.16239499794575019,1.7347050209052222,1.9464191643145607,0.7269709543568464,57,1.0126212533800796,15.072507630572549
signal1p0_exec0p8_official_v2_3,5Y,2021-05-31,2026-05-29,1193,0.3743009021676469,3.7329248748271056,-0.13800126523980938,1.771624453706656,2.712300510558449,0.732606873428332,28,0.9471547830730224,4.7329248748271056
signal0p8_exec0p8_counterfactual,5Y,2021-05-31,2026-05-29,1193,0.3131072975921265,2.788004420126465,-0.16239499794575052,1.5285157078428004,1.9280599867781814,0.730092204526404,31,0.9420446962997407,3.788004420126465
signal1p0_exec0p8_official_v2_3,3Y,2023-05-29,2026-05-29,709,0.4119469607255002,1.7247892932122788,-0.10660479102413811,2.06052555645748,3.864244343692064,0.7320169252468265,18,0.882765820229997,2.724789293212279
signal0p8_exec0p8_counterfactual,3Y,2023-05-29,2026-05-29,709,0.3519050316981167,1.4015700868489605,-0.1275050965381569,1.806586420044614,2.759929142070069,0.7291960507757405,18,0.8725010516751228,2.4015700868489605
signal1p0_exec0p8_official_v2_3,1Y,2025-05-29,2026-05-29,225,0.23656983020248967,0.21629154064458622,-0.10373330835544015,1.3437616032002944,2.2805580382328867,0.5733333333333334,6,0.7302804932661752,1.2162915406445862
signal0p8_exec0p8_counterfactual,1Y,2025-05-29,2026-05-29,225,0.20677426875252736,0.1892411145269326,-0.12750509653815656,1.1734982462723484,1.6216941468739572,0.6044444444444445,6,0.7498809627748039,1.1892411145269326
