candidate,version,lookback,halflife,exit_buffer,target_vol,vol_window,max_leverage,scale_threshold,execution_hedge_ratio,signal_spread_hedge_ratio,financing_rate,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,final_nav,holding_days,holding_day_ratio,avg_execution_scale,max_execution_scale,cap_clipped_days,cap_clipped_ratio,avg_target_vol_turnover,cost_total,cost_days
v2_3_tv10,v2.3,17,4.0,0.13,0.1,60,1.5,0.3,0.8,1.0,0.03,full,2010-05-05,2026-05-20,3884,0.2443795905699575,0.0899041125546356,2.7182248244922684,-0.12271238940057139,33.35381951214621,2828,0.7281153450051493,0.6896097002713286,1.5,523,0.13465499485066942,0.0019315324735635574,1.2283763840418718,1566
v2_3_tv10,v2.3,17,4.0,0.13,0.1,60,1.5,0.3,0.8,1.0,0.03,last_10y,2016-05-20,2026-05-20,2416,0.1960342260990231,0.08710835777953341,2.2504640323397584,-0.07808590610994615,5.988659931642578,1761,0.7288907284768212,0.5651064246713143,1.467716618067599,97,0.04014900662251655,0.0019266708158811251,0.7113773878515146,663
v2_3_tv10,v2.3,17,4.0,0.13,0.1,60,1.5,0.3,0.8,1.0,0.03,last_5y,2021-05-20,2026-05-20,1200,0.15226697701710568,0.08466188458082174,1.7985304457963642,-0.06501487226547809,2.031063244610298,898,0.7483333333333333,0.4224921621540641,0.8713374040794342,0,0.0,0.00045634909365468453,0.32736127525630615,146
v2_3_tv10,v2.3,17,4.0,0.13,0.1,60,1.5,0.3,0.8,1.0,0.03,last_3y,2023-05-22,2026-05-20,714,0.16313445548705796,0.07654642070378195,2.1311833262374593,-0.052763911235331085,1.5724444586624775,544,0.7619047619047619,0.3840042119773575,0.7862609398953108,0,0.0,0.0,0.18321087609747255,88
v2_3_tv10,v2.3,17,4.0,0.13,0.1,60,1.5,0.3,0.8,1.0,0.03,last_1y,2025-05-20,2026-05-20,232,0.07599434775125724,0.0726287752092007,1.0463393817720636,-0.0514285939293313,1.0759404056191215,145,0.625,0.3142815427591764,0.5152119859582017,0,0.0,0.0,0.06572420952898832,28
v2_3_tv12,v2.3,17,4.0,0.13,0.12,60,1.5,0.3,0.8,1.0,0.03,full,2010-05-05,2026-05-20,3884,0.2701356994447306,0.10259304669542652,2.6330800005062422,-0.13493759747606315,46.33048614624487,2828,0.7281153450051493,0.7777648887522982,1.5,1065,0.27420185375901135,0.0015128276955855937,1.325194598487841,1731
v2_3_tv12,v2.3,17,4.0,0.13,0.12,60,1.5,0.3,0.8,1.0,0.03,last_10y,2016-05-20,2026-05-20,2416,0.21414459799863828,0.10176629492150559,2.1042782206408552,-0.09391721457672086,6.959671790840202,1761,0.7288907284768212,0.6566638736614538,1.5,219,0.09064569536423842,0.0014562570131565339,0.7726839891905612,825
v2_3_tv12,v2.3,17,4.0,0.13,0.12,60,1.5,0.3,0.8,1.0,0.03,last_5y,2021-05-20,2026-05-20,1200,0.17834939440641828,0.1021362421016842,1.7461910751411651,-0.07792571185610819,2.271546493593403,898,0.7483333333333333,0.5085386892691878,1.0244273798084347,0,0.0,0.0009661501323135951,0.3520617023925737,182
v2_3_tv12,v2.3,17,4.0,0.13,0.12,60,1.5,0.3,0.8,1.0,0.03,last_3y,2023-05-22,2026-05-20,714,0.18735509325289224,0.09288473062301218,2.0170709652300487,-0.07454644945409628,1.672570855762052,544,0.7619047619047619,0.462066391844981,0.9435131278743729,0,0.0,0.0007568024832912656,0.1963341222361772,89
v2_3_tv12,v2.3,17,4.0,0.13,0.12,60,1.5,0.3,0.8,1.0,0.03,last_1y,2025-05-20,2026-05-20,232,0.06938883785365668,0.09040373333028934,0.7675439420200171,-0.07454644945409572,1.0693397339736057,145,0.625,0.38101972611754875,0.918114086930166,0,0.0,0.002329124883922257,0.07167012235399595,29
v2_3_tv15,v2.3,17,4.0,0.13,0.15,60,1.5,0.3,0.8,1.0,0.03,full,2010-05-05,2026-05-20,3884,0.314662185359724,0.12132362304938289,2.5935772230577525,-0.14997249333566143,80.52044581074544,2828,0.7281153450051493,0.8907110133045085,1.5,1710,0.44026776519052524,0.0016397550645965164,1.4477214323291865,2217
v2_3_tv15,v2.3,17,4.0,0.13,0.15,60,1.5,0.3,0.8,1.0,0.03,last_10y,2016-05-20,2026-05-20,2416,0.26842913616857556,0.12654749273746574,2.1211730897383814,-0.11520088205679768,10.77756695604671,1761,0.7288907284768212,0.8103577072695411,1.5,547,0.22640728476821192,0.001485817591132317,0.8745557599873772,1228
v2_3_tv15,v2.3,17,4.0,0.13,0.15,60,1.5,0.3,0.8,1.0,0.03,last_5y,2021-05-20,2026-05-20,1200,0.2370394992001097,0.1333745129739813,1.7772473459479574,-0.09704317170264676,2.896373745990652,898,0.7483333333333333,0.6721082081831801,1.310726086749167,0,0.0,0.0020118750667788184,0.3998020328718278,411
v2_3_tv15,v2.3,17,4.0,0.13,0.15,60,1.5,0.3,0.8,1.0,0.03,last_3y,2023-05-22,2026-05-20,714,0.26030776754415696,0.1264382621162215,2.0587736907114653,-0.09048803917192938,1.99962441745003,544,0.7619047619047619,0.6388180261031935,1.310726086749167,0,0.0,0.0022975785686297537,0.22427564833982927,254
v2_3_tv15,v2.3,17,4.0,0.13,0.15,60,1.5,0.3,0.8,1.0,0.03,last_1y,2025-05-20,2026-05-20,232,0.10835278561045247,0.11703058030417864,0.9258501951270226,-0.08990153385480337,1.1082747447426573,145,0.625,0.5056969072882896,1.0782295418778325,0,0.0,0.0023728564488132726,0.07874985195336852,50
v2_3_tv18,v2.3,17,4.0,0.13,0.18,60,1.5,0.3,0.8,1.0,0.03,full,2010-05-05,2026-05-20,3884,0.3401007373671845,0.13271904116291194,2.5625617423630462,-0.16242975105649005,109.50158079811281,2828,0.7281153450051493,0.9500851145459864,1.5,2142,0.5514933058702368,0.0008286263202764835,1.5158109634875698,2490
v2_3_tv18,v2.3,17,4.0,0.13,0.18,60,1.5,0.3,0.8,1.0,0.03,last_10y,2016-05-20,2026-05-20,2416,0.2912777612523161,0.14124829765728397,2.0621682957132283,-0.12545715452823936,12.883822645860986,1761,0.7288907284768212,0.889243253965965,1.5,893,0.36961920529801323,0.0008157540292137292,0.9372679713522247,1430
