window,base_lookback,base_annual,base_max_dd,base_sharpe,strict_members,loose_members
last_3y,16,0.30910663945817407,-0.1060637683306861,2.0692748521605355,"14,15,16,17","14,15,16,17"
last_5y,16,0.35838360286353055,-0.10776287913416555,2.247173711642248,"14,15,16,17","13,14,15,16,17"
last_10y,16,0.3430401576207165,-0.11292247369176149,2.5854535739665176,"12,13,14,15,16,17","11,12,13,14,15,16,17,18"
full_common,16,0.3219858007143679,-0.11292247369176157,2.8028863309389846,"11,12,13,14,15,16,17","9,10,11,12,13,14,15,16,17,18"
