symbol,name,code
sh600000,浦发银行,600000
sh600004,白云机场,600004
sh600006,东风股份,600006
sh600007,中国国贸,600007
sh600008,首创环保,600008
sh600009,上海机场,600009
sh600010,包钢股份,600010
sh600011,华能国际,600011
sh600012,皖通高速,600012
sh600015,华夏银行,600015
sh600016,民生银行,600016
sh600017,日照港,600017
sh600018,上港集团,600018
sh600019,宝钢股份,600019
sh600020,中原高速,600020
sh600021,上海电力,600021
sh600022,山东钢铁,600022
sh600023,浙能电力,600023
sh600025,华能水电,600025
sh600026,中远海能,600026
sh600027,华电国际,600027
sh600028,中国石化,600028
sh600029,南方航空,600029
sh600030,中信证券,600030
sh600031,三一重工,600031
sh600032,浙江新能,600032
sh600033,福建高速,600033
sh600035,楚天高速,600035
sh600036,招商银行,600036
sh600037,歌华有线,600037
sh600038,中直股份,600038
sh600039,四川路桥,600039
sh600048,保利发展,600048
sh600050,中国联通,600050
sh600051,宁波联合,600051
sh600052,东望时代,600052
sh600053,九鼎投资,600053
sh600054,黄山旅游,600054
sh600055,万东医疗,600055
sh600056,中国医药,600056
sh600057,厦门象屿,600057
sh600058,五矿发展,600058
sh600059,古越龙山,600059
sh600060,海信视像,600060
sh600061,国投资本,600061
sh600062,华润双鹤,600062
sh600063,皖维高新,600063
sh600064,南京高科,600064
sh600066,宇通客车,600066
sh600067,冠城新材,600067
sh600071,凤凰光学,600071
sh600072,中船科技,600072
sh600073,光明肉业,600073
sh600075,新疆天业,600075
sh600076,康欣新材,600076
sh600078,澄星股份,600078
sh600079,ST人福,600079
sh600080,金花股份,600080
sh600081,东风科技,600081
sh600082,海泰发展,600082
sh600084,中信尼雅,600084
sh600085,同仁堂,600085
sh600088,中视传媒,600088
sh600089,特变电工,600089
sh600094,大名城,600094
sh600095,湘财股份,600095
sh600096,云天化,600096
sh600097,开创国际,600097
sh600098,广州发展,600098
sh600099,林海股份,600099
sh600100,同方股份,600100
sh600101,明星电力,600101
sh600103,青山纸业,600103
sh600104,上汽集团,600104
sh600105,永鼎股份,600105
sh600106,重庆路桥,600106
sh600107,ST尔雅,600107
sh600108,亚盛集团,600108
sh600109,国金证券,600109
sh600110,诺德股份,600110
sh600111,北方稀土,600111
sh600113,浙江东日,600113
sh600114,东睦股份,600114
sh600115,中国东航,600115
sh600116,三峡水利,600116
sh600117,西宁特钢,600117
sh600118,中国卫星,600118
sh600119,长江投资,600119
sh600120,浙江东方,600120
sh600121,郑州煤电,600121
sh600123,兰花科创,600123
sh600125,铁龙物流,600125
sh600126,杭钢股份,600126
sh600127,金健米业,600127
sh600128,苏豪弘业,600128
sh600129,太极集团,600129
sh600130,*ST波导,600130
sh600131,国网信通,600131
sh600132,重庆啤酒,600132
sh600133,东湖高新,600133
sh600135,乐凯胶片,600135
sh600136,ST明诚,600136
sh600137,浪莎股份,600137
sh600138,中青旅,600138
sh600141,兴发集团,600141
sh600143,金发科技,600143
sh600148,长春一东,600148
sh600149,廊坊发展,600149
sh600150,中国船舶,600150
sh600151,航天机电,600151
sh600152,维科技术,600152
sh600153,建发股份,600153
sh600155,华创云信,600155
sh600156,华升股份,600156
sh600157,永泰能源,600157
sh600158,中体产业,600158
sh600159,大龙地产,600159
sh600160,巨化股份,600160
sh600161,天坛生物,600161
sh600162,香江控股,600162
sh600163,中闽能源,600163
sh600165,ST宁科,600165
sh600166,福田汽车,600166
sh600167,联美控股,600167
sh600168,武汉控股,600168
sh600169,ST太重,600169
sh600170,上海建工,600170
sh600171,上海贝岭,600171
sh600172,黄河旋风,600172
sh600173,卧龙新能,600173
sh600176,中国巨石,600176
sh600177,XD雅戈尔,600177
sh600178,东安动力,600178
sh600179,安通控股,600179
sh600180,瑞茂通,600180
sh600182,S佳通,600182
sh600183,生益科技,600183
sh600184,光电股份,600184
sh600185,珠免集团,600185
sh600186,莲花控股,600186
sh600187,国中水务,600187
sh600188,兖矿能源,600188
sh600189,泉阳泉,600189
sh600191,华资实业,600191
sh600192,长城电工,600192
sh600193,*ST创兴,600193
sh600195,中牧股份,600195
sh600196,复星医药,600196
sh600197,伊力特,600197
sh600198,大唐电信,600198
sh600199,金种子酒,600199
sh600201,生物股份,600201
sh600202,哈空调,600202
sh600203,福日电子,600203
sh600206,有研新材,600206
sh600207,安彩高科,600207
sh600208,衢州发展,600208
sh600210,紫江企业,600210
sh600211,西藏药业,600211
sh600212,绿能慧充,600212
sh600215,派斯林,600215
sh600216,浙江医药,600216
sh600217,中再资环,600217
sh600218,全柴动力,600218
sh600219,南山铝业,600219
sh600221,海航控股,600221
sh600222,太龙药业,600222
sh600223,福瑞达,600223
sh600226,亨通股份,600226
sh600227,赤天化,600227
sh600228,*ST返利,600228
sh600229,城市传媒,600229
sh600230,沧州大化,600230
sh600231,凌钢股份,600231
sh600232,金鹰股份,600232
sh600233,圆通速递,600233
sh600234,科新发展,600234
sh600235,民丰特纸,600235
sh600236,桂冠电力,600236
sh600237,铜峰电子,600237
sh600238,*ST椰岛,600238
sh600239,云南城投,600239
sh600241,时代万恒,600241
sh600243,*ST海华,600243
sh600246,万通发展,600246
sh600248,陕建股份,600248
sh600249,两面针,600249
