secid,name,score,selected
1.515220,煤炭,0.06239600665557399,True
1.512800,银行,0.024579560155239433,False
1.516160,新能源,0.01538461538461533,False
1.515080,红利策略,-0.014145141451414434,False
1.515880,通信,-0.025524156791248864,False
1.515790,光伏,-0.02552816901408439,False
0.159928,消费,-0.029677419354838697,False
1.512010,医药,-0.03693931398416894,False
1.515170,食品饮料,-0.0390334572490707,False
1.512690,酒,-0.06463878326996209,False
1.512170,医疗,-0.07627118644067787,False
0.159870,化工,-0.08419958419958418,False
1.512000,证券,-0.10573476702508966,False
1.512200,房地产,-0.11075129533678763,False
0.159745,建材,-0.12398921832884091,False
1.515210,钢铁,-0.14038231780167254,False
0.159995,半导体/芯片,-0.14118246687054026,False
0.159770,机器人/中游制造,-0.1433659839715049,False
1.512980,传媒,-0.15523156089193824,False
1.512660,军工,-0.16387096774193544,False
1.512400,有色金属,-0.18008298755186725,False
