symbol,low_pct,high_pct,signal_mode,front_dte,back_dte,strike_mult,front_iv_mult,back_iv_mult,annual,vol,sharpe,max_dd,total,active_days,long_days,short_days,trades
510300,0.3,0.8,long_only,21,63,1.0,1.15,1.0,0.05060072639984381,0.011024000424120646,4.5900512022050375,-0.009207258463540839,0.35892306485258274,415,415,0,113
510300,0.3,0.7,long_only,21,63,1.0,1.15,1.0,0.05060072639984381,0.011024000424120646,4.5900512022050375,-0.009207258463540839,0.35892306485258274,415,415,0,113
510300,0.2,0.8,long_only,21,63,1.0,1.15,1.0,0.041380733553043614,0.009980957346777676,4.145968379115783,-0.009207258463540837,0.2865008693568647,309,309,0,139
510300,0.3,0.8,long_only,21,63,1.0,1.1,1.0,0.04589628057008177,0.011702274331219105,3.921996636811064,-0.010168138982376486,0.3215543346063885,415,415,0,113
510300,0.3,0.7,long_only,21,63,1.0,1.1,1.0,0.04589628057008177,0.011702274331219105,3.921996636811064,-0.010168138982376486,0.3215543346063885,415,415,0,113
510300,0.3,0.8,long_only,21,63,1.02,1.15,1.0,0.05179354755076648,0.013791332454549948,3.755514394381747,-0.008893222927495253,0.3685375776399036,415,415,0,113
510300,0.3,0.7,long_only,21,63,1.02,1.15,1.0,0.05179354755076648,0.013791332454549948,3.755514394381747,-0.008893222927495253,0.3685375776399036,415,415,0,113
510300,0.3,0.8,long_only,30,90,1.0,1.15,1.0,0.048418478921595565,0.013388845789410127,3.6163295688932373,-0.011156517032217227,0.3414801246669459,415,415,0,113
510300,0.3,0.7,long_only,30,90,1.0,1.15,1.0,0.048418478921595565,0.013388845789410127,3.6163295688932373,-0.011156517032217227,0.3414801246669459,415,415,0,113
510300,0.2,0.8,long_only,21,63,1.0,1.1,1.0,0.03795880605470736,0.010612295895676128,3.5768703047729087,-0.010168138982376413,0.2604595952953761,309,309,0,139
510300,0.2,0.8,long_only,21,63,1.02,1.15,1.0,0.04235242117241911,0.011984009167008803,3.5340778350714688,-0.008893222927495238,0.29397727650302796,309,309,0,139
510300,0.3,0.8,long_only,21,63,1.0,1.1,1.05,0.04378598631263664,0.013255083543391574,3.3033353708635422,-0.011718745877874283,0.30507403080385154,415,415,0,113
510300,0.3,0.7,long_only,21,63,1.0,1.1,1.05,0.04378598631263664,0.013255083543391574,3.3033353708635422,-0.011718745877874283,0.30507403080385154,415,415,0,113
510300,0.2,0.8,long_only,30,90,1.0,1.15,1.0,0.03987351230559022,0.012171596032301104,3.275947722860132,-0.011156517032217258,0.27497566135473206,309,309,0,139
510300,0.3,0.8,long_only,30,90,1.02,1.15,1.0,0.050028244373716335,0.01548586864909613,3.230573983761405,-0.010952867822635558,0.35432884691076416,415,415,0,113
