asset,short_w,long_w,low_ratio,high_ratio,front_dte,back_dte,front_iv_mult,back_iv_mult,annual,vol,sharpe,max_dd,total,active_days,long_days,short_days,trades
SPY,20,60,0.85,1.1,21,63,1.2,1.05,0.14307563045297345,0.04518096412238467,3.166723712787868,-0.06258830731227029,11.310858791506094,3038,1434,1604,459
SPY,20,60,0.85,1.1,21,63,1.2,1.0,0.1376636397146196,0.04498134958231745,3.0604604128804604,-0.06505718644787574,10.261438698509124,3038,1434,1604,459
SPY,20,60,0.85,1.1,21,63,1.15,1.0,0.1321774007429335,0.04322505332686104,3.0578886680238155,-0.05930386470119955,9.284429624192494,3038,1434,1604,459
SPY,20,60,0.9,1.1,21,63,1.2,1.05,0.14095081054686487,0.046171599802323535,3.052759946597555,-0.06305860061830562,10.888259352102036,3373,1434,1939,472
SPY,10,40,0.85,1.1,21,63,1.2,1.05,0.2350582429946413,0.07726356765845666,3.0422908250071425,-0.07863007261900946,51.64080325299546,3304,1463,1841,775
QQQ,10,60,0.85,1.1,21,63,1.2,1.05,0.2613666247497446,0.08636780552268708,3.0262043034205477,-0.09069297191000879,77.19446737936809,3353,1445,1908,683
QQQ,10,40,0.85,1.1,21,63,1.2,1.05,0.24565659382312033,0.08239708618160671,2.981374769511663,-0.06822001279405358,60.800231265554636,3267,1502,1765,773
QQQ,20,60,0.85,1.1,21,63,1.2,1.05,0.1429665134326088,0.04814059863391975,2.969770162597748,-0.08688331311247374,11.288814816902144,2988,1453,1535,487
QQQ,10,40,0.9,1.1,21,63,1.2,1.05,0.25059170548196796,0.08477424239794784,2.9559887342388578,-0.09337248475587985,65.56236175312591,3573,1502,2071,769
QQQ,10,60,0.85,1.1,21,63,1.2,1.0,0.25465368464781757,0.08657017226364508,2.9415868998421613,-0.09275045254725955,69.7405286223022,3353,1445,1908,683
SPY,20,60,0.9,1.1,21,63,1.15,1.0,0.1298705133564937,0.04414988425476571,2.941582193218886,-0.060395650614784524,8.898063619837059,3373,1434,1939,472
SPY,20,60,0.9,1.1,21,63,1.2,1.0,0.1346286206911098,0.04597533550984224,2.928279243602018,-0.06505718644787585,9.710594068773378,3373,1434,1939,472
SPY,10,40,0.85,1.1,21,63,1.15,1.0,0.21507856788896773,0.0737135054041116,2.9177633964070178,-0.07485428113168267,37.75664292409606,3304,1463,1841,775
SPY,10,40,0.85,1.1,21,63,1.2,1.0,0.22521886238440558,0.07731180577642346,2.9131238123671785,-0.07998373827262052,44.30088816263353,3304,1463,1841,775
QQQ,10,60,0.9,1.1,21,63,1.2,1.05,0.25818613339639085,0.08877302897545408,2.9083848594124215,-0.09126351261670478,73.57472314561153,3647,1445,2202,693
QQQ,20,60,0.9,1.1,21,63,1.2,1.05,0.1445461716830192,0.04977691040296896,2.903879941781154,-0.08769294891130473,11.611615637218312,3306,1453,1853,487
SPY,10,60,0.9,1.1,21,63,1.2,1.05,0.24640388529182156,0.0850320935884443,2.8977751210550857,-0.09520656042078937,61.49999462174999,3780,1485,2295,642
