secid,name,score,selected
1.515220,煤炭,0.18882997512500066,True
1.512800,银行,0.14651305669659398,False
1.516160,新能源,0.13622383695700924,False
1.515080,红利策略,0.10317979324365045,False
1.515880,通信,0.09044658035631303,False
1.515790,光伏,0.09044209064556141,False
0.159928,消费,0.08579904497475277,False
1.512010,医药,0.07767292443451823,False
1.515170,食品饮料,0.07532956068886731,False
1.512690,酒,0.04667698772569295,False
1.512170,医疗,0.03366023174632904,False
0.159870,化工,0.02478828865594318,False
1.512000,证券,0.0006902398093999729,False
1.512200,房地产,-0.004923297130355109,False
0.159745,建材,-0.019736643154585454,False
1.515210,钢铁,-0.03808065792536597,False
0.159995,半导体/芯片,-0.03897603139409034,False
0.159770,机器人/中游制造,-0.041419405206268634,False
1.512980,传媒,-0.05469708455256861,False
1.512660,军工,-0.06436465273452141,False
1.512400,有色金属,-0.08250603785515986,False
