secid,name,score,selected
0.159870,化工,0.03947513812784731,True
1.512400,有色金属,0.033765302031783406,False
1.516160,新能源,0.02029013708755789,False
1.512010,医药,0.011210144186241777,False
1.512170,医疗,0.005975204705455983,False
1.515210,钢铁,0.0056943647352558635,False
0.159745,建材,-0.0017086705111384326,False
1.515220,煤炭,-0.0017912679111441454,False
1.515080,红利策略,-0.002700483141409471,False
1.512800,银行,-0.003392883660396806,False
1.515880,通信,-0.005474167847857592,False
1.515170,食品饮料,-0.0067074826797254294,False
0.159928,消费,-0.01285350967885135,False
1.512690,酒,-0.013147553314266203,False
1.512980,传媒,-0.014116421643047494,False
1.512200,房地产,-0.017144831726240484,False
0.159770,机器人/中游制造,-0.017526810110778723,False
1.512660,军工,-0.01905141056549242,False
1.515790,光伏,-0.024420911668321166,False
1.512000,证券,-0.03201834596055053,False
0.159995,半导体/芯片,-0.03213944727003104,False
