period,window,threshold,filtered_days_total,observed_days_total,filtered_pct_total,adk_annual_return_pct,adk_annual_vol_pct,adk_sharpe,adk_max_drawdown_pct,combined_annual_return_pct,combined_annual_vol_pct,combined_sharpe,combined_max_drawdown_pct,combined_annual_delta_pct,combined_sharpe_delta,combined_max_drawdown_delta_pct
10年,40,0.2,9684,37220,26.018269747447608,20.51292258536741,17.465798928272367,1.1744623117218291,-22.823929731270574,23.653203675536027,11.317177799249867,2.0900266917343853,-10.926839705783399,-2.158572133199165,-0.14090728480720394,0.7318217039404384
5年,40,0.2,9684,37220,26.018269747447608,15.660185242576507,17.650980914976095,0.8872133122805381,-22.823929731270496,23.05890547143108,12.157503349107781,1.8966809886277627,-10.926839705783415,-3.1875282168934085,-0.22304497640213672,0.7318217039403851
2年,40,0.2,9684,37220,26.018269747447608,11.49201375297151,16.878116312704684,0.6808824835696334,-18.150426425080607,28.64652727010506,13.661657612909838,2.0968558927311274,-10.926839705783383,-2.3250651499501878,-0.11845471263115526,0.7318217039404633
最长,40,0.25,11013,37220,29.5889306824288,21.24904665898908,17.33944239913472,1.225474624261819,-26.071610290558038,19.3483052982409,12.255218577690776,1.5787809230479393,-17.350257184443247,-1.0551425485294281,-0.05666341312948586,0.0
10年,40,0.25,11013,37220,29.5889306824288,20.19626431927717,17.023377387741352,1.1863841034165543,-17.269720814768053,23.479827977392166,11.289953630442604,2.0797098682567112,-11.145549778788958,-2.331947831343026,-0.15122410828487798,0.5131116309348798
5年,40,0.25,11013,37220,29.5889306824288,16.989417139384912,17.172489695161673,0.9893391954791305,-17.269720814767954,23.02927320941952,12.13845290068641,1.8972165067359823,-11.145549778788961,-3.2171604789049653,-0.2225094582939171,0.5131116309348389
2年,40,0.25,11013,37220,29.5889306824288,13.950228375104068,16.25709786158416,0.8581007812020822,-13.366120778674079,28.91907842064341,13.643351914554511,2.119646154534282,-11.145549778788952,-2.0525139994118398,-0.09566445082800046,0.513111630934894
最长,40,0.3,12361,37220,33.210639441160666,19.57248883531497,16.86617338582371,1.1604581778914929,-26.02878422326996,19.144659128005582,12.225390682250845,1.5659752416583559,-17.350257184443247,-1.2587887187647446,-0.06946909451906924,0.0
10年,40,0.3,12361,37220,33.210639441160666,19.437773794032843,16.649908728070873,1.167440261174632,-19.344117536160756,23.416499677131174,11.261319590177218,2.0793744009855133,-11.145549778788972,-2.3952761316040174,-0.1515595755560759,0.5131116309348656
5年,40,0.3,12361,37220,33.210639441160666,19.027427577539612,16.880922423873695,1.1271556790421737,-19.344117536160798,23.391047225952487,12.111933122366166,1.9312397938160721,-11.145549778788954,-2.8553864623719996,-0.18848617121382727,0.513111630934846
2年,40,0.3,12361,37220,33.210639441160666,13.472460299913136,16.047753107174074,0.8395231537984178,-14.031340044808868,28.96854117983496,13.629140005245139,2.125485626289443,-11.145549778788933,-2.0030512402202874,-0.08982497907283982,0.5131116309349135
