secid,name,score,r2,r2_pass,selected
1.512800,银行,114.82667638692338,0.8701816898688035,True,True
1.515170,食品饮料,89.18688369674275,0.7968629735263868,True,False
1.512690,酒,84.89911073471234,0.6492834682527269,True,False
0.159928,消费,84.13607645873893,0.75975142363218,True,False
1.512010,医药,83.32840053350519,0.8765991657098642,True,False
1.516160,新能源,76.4411345926355,0.8951487246175864,True,False
1.515220,煤炭,69.03294454042366,0.7132415659596257,True,False
1.515080,红利策略,57.70773664651519,0.7534522554494436,True,False
1.512170,医疗,53.856862469877676,0.7588108062098026,True,False
1.515880,通信,53.07157161404005,0.6933752610666504,True,False
1.512000,证券,50.7701953444343,0.20719880887102599,False,False
1.515790,光伏,46.864176687012055,0.7383497517200321,True,False
1.512200,房地产,45.416062720030844,0.3405880681675746,True,False
0.159995,半导体/芯片,13.206309965670648,0.009942397869540997,False,False
0.159770,机器人/中游制造,8.829414245186214,0.3053903723093867,True,False
1.512980,传媒,1.9549845957129268,0.12022881825072737,False,False
0.159745,建材,1.2760676726347615,0.44783927237922966,True,False
1.515210,钢铁,-22.930479428858433,0.7919323549090281,True,False
0.159870,化工,-24.70606047117585,0.23926410170389936,False,False
1.512660,军工,-48.32796567680105,0.8967680305014843,True,False
1.512400,有色金属,-82.7631705355293,0.8739450427894603,True,False
