secid,name,score,r2,r2_pass,selected
0.159870,化工,0.03947513812784731,0.23926410170389936,False,False
1.512400,有色金属,0.033765302031783406,0.8739450427894603,True,False
1.516160,新能源,0.02029013708755789,0.8951487246175864,True,False
1.512010,医药,0.011210144186241777,0.8765991657098642,True,False
1.512170,医疗,0.005975204705455983,0.7588108062098026,True,False
1.515210,钢铁,0.0056943647352558635,0.7919323549090281,True,False
0.159745,建材,-0.0017086705111384326,0.44783927237922966,True,False
1.515220,煤炭,-0.0017912679111441454,0.7132415659596257,True,False
1.515080,红利策略,-0.002700483141409471,0.7534522554494436,True,False
1.512800,银行,-0.003392883660396806,0.8701816898688035,True,False
1.515880,通信,-0.005474167847857592,0.6933752610666504,True,False
1.515170,食品饮料,-0.0067074826797254294,0.7968629735263868,True,False
0.159928,消费,-0.01285350967885135,0.75975142363218,True,False
1.512690,酒,-0.013147553314266203,0.6492834682527269,True,False
1.512980,传媒,-0.014116421643047494,0.12022881825072737,False,False
1.512200,房地产,-0.017144831726240484,0.3405880681675746,True,False
0.159770,机器人/中游制造,-0.017526810110778723,0.3053903723093867,True,False
1.512660,军工,-0.01905141056549242,0.8967680305014843,True,False
1.515790,光伏,-0.024420911668321166,0.7383497517200321,True,False
1.512000,证券,-0.03201834596055053,0.20719880887102599,False,False
0.159995,半导体/芯片,-0.03213944727003104,0.009942397869540997,False,False
