start,end,holding,nav,total_return,annual_return,annual_vol,sharpe,max_drawdown,calmar,monthly_win_rate,months,score,params
2010-11-16,2026-03-27,GLD,3.3221253294436486,2.3221253294436486,0.07875615380654999,0.2302805555529776,0.3420008850396906,-0.4740734885861271,0.16612646710414392,0.5297297297297298,185,357.0307258452399,"{""commission"": 0.001, ""trading_days"": 252, ""lb"": 120, ""vol_lb"": 20, ""target_vol"": 0.25, ""vol_window"": 40, ""max_lev"": 1.5, ""min_scale"": 0.05, ""min_turnover"": 0.0, ""abs_threshold"": 0.0, ""signal_mode"": ""weekly""}"
2011-03-08,2026-03-27,CN_CHINEXT_TR,3.178394148216462,2.178394148216462,0.07735561106911093,0.22536730897612997,0.3432423780562785,-0.5015421792415735,0.15423550455135643,0.5524861878453039,181,356.93177372589736,"{""commission"": 0.001, ""trading_days"": 252, ""lb"": 200, ""vol_lb"": 20, ""target_vol"": 0.25, ""vol_window"": 40, ""max_lev"": 1.5, ""min_scale"": 0.05, ""min_turnover"": 0.0, ""abs_threshold"": 0.0, ""signal_mode"": ""weekly""}"
2011-03-08,2026-03-27,CN_CHINEXT_TR,3.122843329581939,2.122843329581939,0.07613231667085252,0.22233424047199526,0.34242281579854983,-0.5256464049887054,0.1448356080214957,0.56353591160221,181,355.03946774246435,"{""commission"": 0.001, ""trading_days"": 252, ""lb"": 200, ""vol_lb"": 20, ""target_vol"": 0.25, ""vol_window"": 40, ""max_lev"": 1.5, ""min_scale"": 0.05, ""min_turnover"": 0.1, ""abs_threshold"": 0.05, ""signal_mode"": ""weekly""}"
2011-03-08,2026-03-27,CN_CHINEXT_TR,2.53941072131717,1.5394107213171702,0.06188728507366226,0.18195071597074383,0.34013213272330967,-0.44892181302864576,0.13785760298912725,0.5414364640883977,181,352.29215680781584,"{""commission"": 0.001, ""trading_days"": 252, ""lb"": 200, ""vol_lb"": 20, ""target_vol"": 0.15, ""vol_window"": 40, ""max_lev"": 1.5, ""min_scale"": 0.05, ""min_turnover"": 0.1, ""abs_threshold"": -0.05, ""signal_mode"": ""weekly""}"
2011-03-08,2026-03-27,CN_CHINEXT_TR,3.080906937296253,2.080906937296253,0.0751952669891065,0.2254970783728565,0.3334644844700475,-0.5037048443049268,0.1492843831845018,0.5524861878453039,181,346.62635123686414,"{""commission"": 0.001, ""trading_days"": 252, ""lb"": 200, ""vol_lb"": 20, ""target_vol"": 0.25, ""vol_window"": 40, ""max_lev"": 1.5, ""min_scale"": 0.05, ""min_turnover"": 0.1, ""abs_threshold"": 0.0, ""signal_mode"": ""weekly""}"
2011-03-08,2026-03-27,CN_CHINEXT_TR,2.810387297021172,1.810387297021172,0.06884724454937707,0.20682085663994002,0.33288347059327333,-0.4878162354142874,0.14113356536997423,0.5469613259668509,181,345.24621839869303,"{""commission"": 0.001, ""trading_days"": 252, ""lb"": 200, ""vol_lb"": 20, ""target_vol"": 0.2, ""vol_window"": 40, ""max_lev"": 1.5, ""min_scale"": 0.05, ""min_turnover"": 0.1, ""abs_threshold"": -0.05, ""signal_mode"": ""weekly""}"
2011-03-08,2026-03-27,CN_CHINEXT_TR,2.7956268972970544,1.7956268972970544,0.06848464303371893,0.20654920727424012,0.3315657510260511,-0.477318425121503,0.14347789531964103,0.5469613259668509,181,344.2117948627449,"{""commission"": 0.001, ""trading_days"": 252, ""lb"": 200, ""vol_lb"": 20, ""target_vol"": 0.2, ""vol_window"": 40, ""max_lev"": 1.5, ""min_scale"": 0.05, ""min_turnover"": 0.0, ""abs_threshold"": -0.05, ""signal_mode"": ""weekly""}"
2011-03-08,2026-03-27,CN_CHINEXT_TR,2.9903107559842033,1.9903107559842033,0.07312951179330685,0.2262463882654218,0.3232295213814184,-0.5108137443015682,0.14316277235902544,0.5359116022099447,181,335.72302501374617,"{""commission"": 0.001, ""trading_days"": 252, ""lb"": 200, ""vol_lb"": 20, ""target_vol"": 0.25, ""vol_window"": 40, ""max_lev"": 1.5, ""min_scale"": 0.05, ""min_turnover"": 0.0, ""abs_threshold"": -0.05, ""signal_mode"": ""weekly""}"
2010-11-16,2026-03-27,GLD,2.837502242639091,1.8375022426390908,0.06806904869966846,0.2119053902213952,0.3212237717433759,-0.4561042679047568,0.14924010470755464,0.5351351351351351,185,334.5479513616043,"{""commission"": 0.001, ""trading_days"": 252, ""lb"": 120, ""vol_lb"": 20, ""target_vol"": 0.2, ""vol_window"": 40, ""max_lev"": 1.5, ""min_scale"": 0.05, ""min_turnover"": 0.1, ""abs_threshold"": 0.0, ""signal_mode"": ""weekly""}"
2010-11-16,2026-03-27,GLD,3.0246129782033746,2.0246129782033746,0.07238439763776272,0.22727325364499132,0.31849061196980816,-0.5324139403508441,0.13595511340304814,0.5351351351351351,185,330.1478975847364,"{""commission"": 0.001, ""trading_days"": 252, ""lb"": 120, ""vol_lb"": 20, ""target_vol"": 0.25, ""vol_window"": 40, ""max_lev"": 1.5, ""min_scale"": 0.05, ""min_turnover"": 0.1, ""abs_threshold"": 0.05, ""signal_mode"": ""weekly""}"
