date,return,nav,holding,next_target,is_signal,rebalance_day,score,r2
2017-11-03,0.0,1.0,cash,cash,False,False,,
2017-11-06,0.0,1.0,cash,cash,False,False,,
2017-11-07,0.0,1.0,cash,cash,False,False,,
2017-11-08,0.0,1.0,cash,cash,False,False,,
2017-11-09,0.0,1.0,cash,cash,False,False,,
2017-11-10,0.0,1.0,cash,cash,False,False,,
2017-11-13,0.0,1.0,cash,cash,False,False,,
2017-11-14,0.0,1.0,cash,cash,False,False,,
2017-11-15,0.0,1.0,cash,cash,False,False,,
2017-11-16,0.0,1.0,cash,cash,False,False,,
2017-11-17,0.0,1.0,cash,cash,False,False,,
2017-11-20,0.0,1.0,cash,cash,False,False,,
2017-11-21,0.0,1.0,cash,cash,False,False,,
2017-11-22,0.0,1.0,cash,cash,False,False,,
2017-11-23,0.0,1.0,cash,cash,False,False,,
2017-11-24,0.0,1.0,cash,cash,False,False,,
2017-11-27,0.0,1.0,cash,cash,False,False,,
2017-11-28,0.0,1.0,cash,cash,False,False,,
2017-11-29,0.0,1.0,cash,cash,False,False,,
2017-11-30,0.0,1.0,cash,cash,False,False,,
2017-12-01,0.0,1.0,cash,cash,False,False,,
2017-12-04,0.0,1.0,cash,cash,False,False,,
2017-12-05,0.0,1.0,cash,cash,False,False,,
2017-12-06,0.0,1.0,cash,cash,False,False,,
2017-12-07,0.0,1.0,cash,cash,False,False,,
2017-12-08,0.0,1.0,cash,cash,False,False,,
2017-12-11,0.0,1.0,cash,cash,False,False,,
2017-12-12,0.0,1.0,cash,cash,False,False,,
2017-12-13,0.0,1.0,cash,cash,False,False,,
2017-12-14,0.0,1.0,cash,cash,False,False,,
2017-12-15,0.0,1.0,cash,cash,False,False,,
2017-12-18,0.0,1.0,cash,cash,False,False,,
2017-12-19,0.0,1.0,cash,cash,False,False,,
2017-12-20,0.0,1.0,cash,cash,False,False,,
2017-12-21,0.0,1.0,cash,cash,False,False,,
2017-12-22,0.0,1.0,cash,cash,False,False,,
2017-12-25,0.0,1.0,cash,cash,False,False,,
2017-12-26,0.0,1.0,cash,cash,False,False,,
2017-12-27,0.0,1.0,cash,cash,False,False,,
2017-12-28,0.0,1.0,cash,cash,False,False,,
2017-12-29,0.0,1.0,cash,cash,False,False,,
2018-01-02,0.0,1.0,cash,cash,False,False,,
2018-01-03,0.0,1.0,cash,cash,False,False,,
2018-01-04,0.0,1.0,cash,cash,False,False,,
2018-01-05,0.0,1.0,cash,cash,False,False,,
2018-01-08,0.0,1.0,cash,cash,False,False,,
2018-01-09,0.0,1.0,cash,cash,False,False,,
2018-01-10,0.0,1.0,cash,cash,False,False,,
2018-01-11,0.0,1.0,cash,cash,False,False,,
2018-01-12,0.0,1.0,cash,cash,False,False,,
2018-01-15,0.0,1.0,cash,cash,False,False,,
2018-01-16,0.0,1.0,cash,cash,False,False,,
2018-01-17,0.0,1.0,cash,cash,False,False,,
2018-01-18,0.0,1.0,cash,cash,False,False,,
2018-01-19,0.0,1.0,cash,cash,False,False,,
2018-01-22,0.0,1.0,cash,cash,False,False,,
2018-01-23,0.0,1.0,cash,cash,False,False,,
2018-01-24,0.0,1.0,cash,cash,False,False,,
2018-01-25,0.0,1.0,cash,cash,False,False,,
2018-01-26,0.0,1.0,cash,cash,False,False,,
2018-01-29,0.0,1.0,cash,cash,False,False,,
2018-01-30,0.0,1.0,cash,cash,False,False,,
2018-01-31,0.0,1.0,cash,cash,False,False,,
2018-02-01,0.0,1.0,cash,1.512800,True,True,0.2703309855817633,0.8753454766538509
2018-02-02,-0.010292621820039982,0.98970737817996,1.512800,1.512800,False,False,0.26681519787569297,0.8753454766538509
2018-02-05,0.03775332217277949,1.0270721196851649,1.512800,1.512800,False,False,0.32595945668182646,0.8753454766538509
2018-02-06,0.030489353816941067,1.0583868849377616,1.512800,1.512800,False,False,0.35551981070071714,0.8753454766538509
2018-02-07,-0.030398944295966346,1.0262130409789572,1.512800,1.512800,False,False,0.31101255224264746,0.8753454766538509
2018-02-08,-0.04499193373850341,0.9800417318376439,1.512800,1.512800,False,True,0.2380385815957049,0.7935908705654519
2018-02-09,0.005555829972111681,0.9854866770653077,1.512800,1.512800,False,False,0.25665186278701246,0.7935908705654519
2018-02-12,-0.03730121817890597,0.9487268235116896,1.512800,1.512800,False,False,0.14252070768478187,0.7935908705654519
2018-02-13,0.008654967593588525,0.9569380234243514,1.512800,1.512800,False,False,0.14728450048002917,0.7935908705654519
2018-02-14,-0.0031166386320258255,0.9539555934120927,1.512800,1.512800,False,True,0.1412442034448187,0.33551975335221507
2018-02-22,0.0015904301894638095,0.9554727931872632,1.512800,cash,True,True,,0.004430169209444474
2018-02-23,0.0,0.9554727931872632,cash,cash,False,False,,0.004430169209444474
2018-02-26,0.0,0.9554727931872632,cash,cash,False,False,,0.004430169209444474
2018-02-27,0.0,0.9554727931872632,cash,cash,False,False,,0.004430169209444474
2018-02-28,0.0,0.9554727931872632,cash,cash,False,False,,0.004430169209444474
2018-03-01,0.0,0.9554727931872632,cash,cash,False,True,,0.02750490815942534
2018-03-02,0.0,0.9554727931872632,cash,cash,False,False,,0.02750490815942534
2018-03-05,0.0,0.9554727931872632,cash,cash,False,False,,0.02750490815942534
2018-03-06,0.0,0.9554727931872632,cash,cash,False,False,,0.02750490815942534
2018-03-07,0.0,0.9554727931872632,cash,cash,False,False,,0.02750490815942534
2018-03-08,0.0,0.9554727931872632,cash,cash,False,True,,0.07431823162591006
2018-03-09,0.0,0.9554727931872632,cash,cash,False,False,,0.07431823162591006
2018-03-12,0.0,0.9554727931872632,cash,cash,False,False,,0.07431823162591006
2018-03-13,0.0,0.9554727931872632,cash,cash,False,False,,0.07431823162591006
2018-03-14,0.0,0.9554727931872632,cash,cash,False,False,,0.07431823162591006
2018-03-15,0.0,0.9554727931872632,cash,cash,False,True,,0.1398940250777522
2018-03-16,0.0,0.9554727931872632,cash,cash,False,False,,0.1398940250777522
2018-03-19,0.0,0.9554727931872632,cash,cash,False,False,,0.1398940250777522
2018-03-20,0.0,0.9554727931872632,cash,cash,False,False,,0.1398940250777522
2018-03-21,0.0,0.9554727931872632,cash,cash,False,False,,0.1398940250777522
2018-03-22,0.0,0.9554727931872632,cash,1.512010,True,True,0.14029924632576507,0.7942807308305337
2018-03-23,0.02097705524623006,0.9755157987562222,1.512010,1.512010,False,False,0.15591887260818527,0.7942807308305337
2018-03-26,0.006954714760821767,0.9823002328812469,1.512010,1.512010,False,False,0.15903164007073456,0.7942807308305337
2018-03-27,-0.0004493313727942372,0.9818588545691103,1.512010,1.512010,False,False,0.1478906369467612,0.7942807308305337
2018-03-28,-0.011232292003172328,0.9708303292086897,1.512010,1.512010,False,False,0.1467050522197808,0.7942807308305337
2018-03-29,-0.029992749915289107,0.9417124579345557,1.512010,1.512010,False,True,0.11500245213589677,0.8719455658133284
2018-03-30,0.013549284608803891,0.9544719880467673,1.512010,1.512010,False,False,0.13837845806737947,0.8719455658133284
2018-04-02,-0.007702492523056548,0.9471201746953701,1.512010,1.512010,False,False,0.1325711363966373,0.8719455658133284
2018-04-03,0.0014155768794346102,0.9484608961167149,1.512010,1.512010,False,False,0.15175795493188482,0.8719455658133284
2018-04-04,0.013556841796278363,0.9613190304353256,1.512010,1.512010,False,True,0.16927481032311964,0.6342786659243869
2018-04-09,-0.00570873162176555,0.9558311180876745,1.512010,1.512010,False,False,0.16512477831967143,0.6342786659243869
2018-04-10,0.00689454929661748,0.962421142850571,1.512010,1.512010,False,False,0.17588778176138464,0.6342786659243869
2018-04-11,-0.008119425792748602,0.9546068357998235,1.512010,1.512010,False,False,0.1604225225771887,0.6342786659243869
2018-04-12,0.010163142203859277,0.9643086408208332,1.512010,1.512010,False,True,0.1448186156836364,0.34942639367245976
2018-04-13,-0.017749924756030877,0.9471922350046731,1.512010,1.512010,False,False,0.1174722034181146,0.34942639367245976
2018-04-16,0.004674442908810583,0.9516198310308711,1.512010,1.512010,False,False,0.1315012041643162,0.34942639367245976
2018-04-17,0.004695454531993937,0.9560881186792203,1.512010,1.512010,False,False,0.12430514318863395,0.34942639367245976
