secid,name,score,r2,r2_pass,selected
1.515220,煤炭,0.14827076596744138,0.7132415659596257,True,True
1.515790,光伏,0.09285296513767793,0.7383497517200321,True,False
0.159870,化工,0.05524150756878554,0.23926410170389936,False,False
1.516160,新能源,0.049501401561801384,0.8951487246175864,True,False
1.512400,有色金属,-0.0031145212861530824,0.8739450427894603,True,False
1.515080,红利策略,-0.010277444474825703,0.7534522554494436,True,False
1.515880,通信,-0.02188130632509855,0.6933752610666504,True,False
1.512660,军工,-0.022151458699878113,0.8967680305014843,True,False
1.512980,传媒,-0.037717214197924065,0.12022881825072737,False,False
1.515210,钢铁,-0.04555896321884867,0.7919323549090281,True,False
0.159745,建材,-0.060695551390275715,0.44783927237922966,True,False
0.159770,机器人/中游制造,-0.07653970421841116,0.3053903723093867,True,False
0.159995,半导体/芯片,-0.0844188703593074,0.009942397869540997,False,False
1.512800,银行,-0.09416510127394517,0.8701816898688035,True,False
1.512170,医疗,-0.10848833632691623,0.7588108062098026,True,False
1.512010,医药,-0.11086060216217974,0.8765991657098642,True,False
0.159928,消费,-0.12061067037199569,0.75975142363218,True,False
1.512200,房地产,-0.12581065313717976,0.3405880681675746,True,False
1.515170,食品饮料,-0.13105144870315244,0.7968629735263868,True,False
1.512690,酒,-0.16104216817713624,0.6492834682527269,True,False
1.512000,证券,-0.18892231705983797,0.20719880887102599,False,False
