period,version,w_sub_a_pct,w_sub_adk_pct,w_sub_b_pct,w_sub_c_pct,start,end,days,total_return_pct,annual_return_pct,annual_vol_pct,sharpe,max_drawdown_pct
最长,V6.1,15.0,15.0,40.0,30.0,2008-01-17,2026-03-27,4705,2027.411920326579,18.303573069477075,12.449520766520378,1.4702231043864427,-17.817510979424203
最长,V6.2,15.0,25.0,40.0,20.0,2008-01-17,2026-03-27,4705,2467.636679342584,19.533126954223533,12.94047655058489,1.5094596306301151,-17.350257184443237
最长,V6.3,20.0,30.0,50.0,0.0,2008-01-17,2026-03-27,4705,2920.6097236777027,20.605560879872485,13.657684874728716,1.5087155011168596,-19.36316513326128
10年,V6.1,15.0,15.0,40.0,30.0,2016-03-28,2026-03-27,2597,778.5479190631502,24.284027874931226,11.1770258842777,2.172673493499791,-9.946814257540716
10年,V6.2,15.0,25.0,40.0,20.0,2016-03-28,2026-03-27,2597,907.9863488118901,26.00468460161467,11.997667581739032,2.1674783389727286,-10.720448353764915
10年,V6.3,20.0,30.0,50.0,0.0,2016-03-28,2026-03-27,2597,984.0095446035873,26.92460910703831,12.605604839106672,2.1359236189531696,-11.010479391123521
5年,V6.1,15.0,15.0,40.0,30.0,2021-03-29,2026-03-27,1300,215.48214934183605,25.86879094529713,11.985978354915492,2.158254435249188,-9.946814257540716
5年,V6.2,15.0,25.0,40.0,20.0,2021-03-29,2026-03-27,1300,238.15477558914634,27.63025689687355,13.015012632838936,2.122952752820081,-10.720448353764915
5年,V6.3,20.0,30.0,50.0,0.0,2021-03-29,2026-03-27,1300,250.31348336107732,28.53627028631418,13.477547529410582,2.117319209896503,-11.010479391123521
2年,V6.1,15.0,15.0,40.0,30.0,2024-03-27,2026-03-27,520,69.23449027132295,30.113598590793256,13.740684741875134,2.1915646240700943,-9.946814257540716
2年,V6.2,15.0,25.0,40.0,20.0,2024-03-27,2026-03-27,520,67.42504566553988,29.415669640362196,14.669365810942194,2.0052448087715162,-10.720448353764915
2年,V6.3,20.0,30.0,50.0,0.0,2024-03-27,2026-03-27,520,69.84055729481804,30.346533076439176,15.150842646117496,2.00296008514191,-11.010479391123521
