period,series,start,end,days,total_return_pct,annual_return_pct,annual_vol_pct,sharpe,max_drawdown_pct
最长,ADK_当前无R2过滤,2010-11-22,2026-03-18,3722,4927.576330396678,29.1419228413236,20.83242261247727,1.3988734475782705,-34.67882857969543
最长,ADK_加回R2过滤,2010-11-22,2026-03-18,3722,3075.376346242907,25.325499929712556,19.228445231603303,1.3170851633957548,-25.846164953476315
最长,组合_当前无R2过滤,2008-01-17,2026-03-27,4705,2829.8450156487156,20.403447846770327,12.475782510861814,1.6354443361774251,-17.350257184443247
最长,组合_加回R2过滤,2008-01-17,2026-03-27,4705,2627.653827820101,19.931059770963323,12.402242006230729,1.6070529635649917,-17.350257184443247
10年,ADK_当前无R2过滤,2016-03-18,2026-03-18,2429,1614.5642540374602,32.8716332842169,20.705762906093724,1.5875596293311531,-22.409244211152863
10年,ADK_加回R2过滤,2016-03-18,2026-03-18,2429,1109.9362327551923,28.31903132173308,19.479208646855554,1.4538081004797134,-22.23719742736627
10年,组合_当前无R2过滤,2016-03-28,2026-03-27,2597,892.6665570426912,25.81177580873519,11.56994159403534,2.230933976541589,-11.658661409723837
10年,组合_加回R2过滤,2016-03-28,2026-03-27,2597,862.9323627943728,25.42958604477832,11.5142896531121,2.208524087102948,-11.14000737953335
5年,ADK_当前无R2过滤,2021-03-18,2026-03-18,1211,328.19373933400533,33.76588227769821,21.435108563022386,1.5752606140725405,-22.40924421115284
5年,ADK_加回R2过滤,2021-03-18,2026-03-18,1211,253.3444091193745,28.722556262082357,20.082584267071876,1.4302221208242052,-22.237197427366244
5年,组合_当前无R2过滤,2021-03-29,2026-03-27,1300,220.23741166730554,26.246433688324487,12.381993767743595,2.1197259650298994,-11.6586614097238
5年,组合_加回R2过滤,2021-03-29,2026-03-27,1300,210.76195407043397,25.489403766854046,12.333958204349743,2.0666037086022273,-11.140007379533348
2年,ADK_当前无R2过滤,2024-03-18,2026-03-18,484,50.8342901724234,22.83190067623455,22.553410669871525,1.0123480217887866,-18.34903379706301
2年,ADK_加回R2过滤,2024-03-18,2026-03-18,484,58.61170855068825,25.96103764611284,21.213746426386816,1.2237837260947497,-18.976694022133177
2年,组合_当前无R2过滤,2024-03-27,2026-03-27,520,71.47223522244386,30.97159242005525,13.980699747063364,2.2153106053622826,-11.658661409723846
2年,组合_加回R2过滤,2024-03-27,2026-03-27,520,72.20513670145255,31.251383109610686,13.934423352440184,2.2427467803422214,-11.14000737953336
