secid,name,score,selected
1.515220,煤炭,0.14827076596744138,True
1.515790,光伏,0.09285296513767793,False
0.159870,化工,0.05524150756878554,False
1.516160,新能源,0.049501401561801384,False
1.512400,有色金属,-0.0031145212861530824,False
1.515080,红利策略,-0.010277444474825703,False
1.515880,通信,-0.02188130632509855,False
1.512660,军工,-0.022151458699878113,False
1.512980,传媒,-0.037717214197924065,False
1.515210,钢铁,-0.04555896321884867,False
0.159745,建材,-0.060695551390275715,False
0.159770,机器人/中游制造,-0.07653970421841116,False
0.159995,半导体/芯片,-0.0844188703593074,False
1.512800,银行,-0.09416510127394517,False
1.512170,医疗,-0.10848833632691623,False
1.512010,医药,-0.11086060216217974,False
0.159928,消费,-0.12061067037199569,False
1.512200,房地产,-0.12581065313717976,False
1.515170,食品饮料,-0.13105144870315244,False
1.512690,酒,-0.16104216817713624,False
1.512000,证券,-0.18892231705983797,False
