mode,low_ratio,high_ratio,use_slope,annual,vol,sharpe,max_dd,total,active_days,long_days,short_days,trades
calendar,0.93,0.98,True,0.03967639641249132,0.2571536961103177,0.15429059357354266,-0.6925891168582613,0.6466140153884725,1398,491,907,916
calendar,0.94,0.99,True,0.02410745585892582,0.2465463233725392,0.09778063419951592,-0.6085441826513162,0.3570735756059964,1475,408,1067,938
calendar,0.95,1.0,True,-0.002000200256979001,0.24423885741207535,-0.008189525115589203,-0.5872356766145136,-0.02533666175215521,1530,340,1190,947
calendar,0.96,1.01,True,-0.004071292780502445,0.24854250863130206,-0.016380669861757787,-0.5493340652464587,-0.05094654124211451,1591,277,1314,955
calendar,0.93,0.98,False,-0.03296602074680233,0.3064737882344745,-0.10756554724210524,-0.7095395866805698,-0.3492712293625384,2117,778,1339,588
calendar,0.96,1.01,False,-0.03342660212213855,0.3079245330065643,-0.1085545272920036,-0.6518690933841804,-0.353232593861035,2516,416,2100,462
calendar,0.94,0.99,False,-0.04133269408436335,0.2998925244726317,-0.13782502300465108,-0.7015035342704168,-0.4178575782204267,2269,628,1641,561
calendar,0.95,1.0,False,-0.06768157379745843,0.30233494151172247,-0.2238628901411126,-0.755989976926195,-0.5927217591372762,2399,516,1883,496
directional,0.93,0.98,False,-0.21225233768041252,0.7786657024563967,-0.2725846753116728,-0.9790805323546751,-0.9530164247769111,2117,778,1339,588
directional,0.94,0.99,True,-0.16090241875975542,0.5761932423377905,-0.2792507911181422,-0.9421175048895088,-0.8944472998782331,1499,404,1095,869
directional,0.96,1.01,False,-0.1981570964704683,0.7089469158018439,-0.279509074732832,-0.9629169238767753,-0.9410249551157707,2516,416,2100,462
directional,0.96,1.01,True,-0.1661463058516789,0.5566570234123543,-0.2984715881840277,-0.9199327404632575,-0.9025969906640566,1617,272,1345,888
directional,0.93,0.98,True,-0.20359555782243066,0.5816614962471488,-0.3500241276687887,-0.9753673509452945,-0.9459513579739859,1408,483,925,858
directional,0.95,1.0,True,-0.20584829177531994,0.5594767537251577,-0.3679300174756549,-0.9528015738269995,-0.947878518057204,1556,333,1223,876
directional,0.94,0.99,False,-0.2656551380251625,0.7142210332142827,-0.3719508746887602,-0.9884742752484456,-0.9808935787886063,2269,628,1641,561
directional,0.95,1.0,False,-0.27454598106460115,0.7088647855382327,-0.3873037378435178,-0.986163204795065,-0.9836554559804147,2399,516,1883,496
