date,symbol,name,call_volume,put_volume,total_volume,oi_total,oi_call,oi_put,pcr_raw
2019-12-23,510300,沪深300ETF华泰柏瑞,275182.0,193530.0,468712.0,180700.0,107629.0,73071.0,0.7033
2019-12-24,510300,沪深300ETF华泰柏瑞,186105.0,141566.0,327671.0,280717.0,161726.0,118991.0,0.7606999999999999
2019-12-25,510300,沪深300ETF华泰柏瑞,275320.0,229629.0,504949.0,402929.0,227329.0,175600.0,0.8340000000000001
2019-12-26,510300,沪深300ETF华泰柏瑞,329510.0,283556.0,613066.0,508810.0,280215.0,228595.0,0.8604999999999999
2019-12-27,510300,沪深300ETF华泰柏瑞,553764.0,436734.0,990498.0,610506.0,327580.0,282926.0,0.7887000000000001
2019-12-30,510300,沪深300ETF华泰柏瑞,586894.0,416133.0,1003027.0,677970.0,355864.0,322106.0,0.7090000000000001
2019-12-31,510300,沪深300ETF华泰柏瑞,553301.0,321510.0,874811.0,771357.0,404268.0,367089.0,0.5811
2020-01-02,510300,沪深300ETF华泰柏瑞,940706.0,551573.0,1492279.0,869256.0,459561.0,409695.0,0.5863
2020-01-03,510300,沪深300ETF华泰柏瑞,531635.0,322534.0,854169.0,957093.0,500582.0,456511.0,0.6067
2020-01-06,510300,沪深300ETF华泰柏瑞,809849.0,503226.0,1313075.0,1052332.0,571229.0,481103.0,0.6214
2020-01-07,510300,沪深300ETF华泰柏瑞,709704.0,410570.0,1120274.0,1145618.0,620525.0,525093.0,0.5785
2020-01-08,510300,沪深300ETF华泰柏瑞,713167.0,530639.0,1243806.0,1231752.0,693172.0,538580.0,0.7441
2020-01-09,510300,沪深300ETF华泰柏瑞,659457.0,439720.0,1099177.0,1266974.0,701716.0,565258.0,0.6668000000000001
2020-01-10,510300,沪深300ETF华泰柏瑞,560440.0,368140.0,928580.0,1292620.0,709397.0,583223.0,0.6568999999999999
2020-01-13,510300,沪深300ETF华泰柏瑞,705374.0,513888.0,1219262.0,1295156.0,688550.0,606606.0,0.7284999999999999
2020-01-14,510300,沪深300ETF华泰柏瑞,763484.0,500938.0,1264422.0,1344252.0,707547.0,636705.0,0.6561
2020-01-15,510300,沪深300ETF华泰柏瑞,697756.0,517880.0,1215636.0,1377405.0,750645.0,626760.0,0.7422
2020-01-16,510300,沪深300ETF华泰柏瑞,650732.0,432253.0,1082985.0,1385920.0,753321.0,632599.0,0.6643000000000001
2020-01-17,510300,沪深300ETF华泰柏瑞,653170.0,425332.0,1078502.0,1370067.0,749828.0,620239.0,0.6512
2020-01-20,510300,沪深300ETF华泰柏瑞,580464.0,462687.0,1043151.0,1371964.0,741998.0,629966.0,0.7970999999999999
2020-01-21,510300,沪深300ETF华泰柏瑞,800156.0,664348.0,1464504.0,1408847.0,810407.0,598440.0,0.8303
2020-01-22,510300,沪深300ETF华泰柏瑞,994402.0,833048.0,1827450.0,1137077.0,650547.0,486530.0,0.8377
2020-01-23,510300,沪深300ETF华泰柏瑞,1016420.0,1006598.0,2023018.0,1287459.0,770669.0,516790.0,0.9903
2020-02-03,510300,沪深300ETF华泰柏瑞,1101729.0,989039.0,2090768.0,1257480.0,806309.0,451171.0,0.8976999999999999
2020-02-04,510300,沪深300ETF华泰柏瑞,1107155.0,894836.0,2001991.0,1431115.0,879571.0,551544.0,0.8081999999999999
2020-02-05,510300,沪深300ETF华泰柏瑞,1004932.0,952485.0,1957417.0,1571112.0,909347.0,661765.0,0.9478
2020-02-06,510300,沪深300ETF华泰柏瑞,1359225.0,1093036.0,2452261.0,1633563.0,881426.0,752137.0,0.8042
2020-02-07,510300,沪深300ETF华泰柏瑞,906152.0,857717.0,1763869.0,1661278.0,922244.0,739034.0,0.9465
2020-02-10,510300,沪深300ETF华泰柏瑞,821454.0,886163.0,1707617.0,1759612.0,963706.0,795906.0,1.0788
