date,return,holding,is_signal,target,weight,scale_raw,realized_vol,scale_tc,nav
2010-09-29,0.0001211499702025165,cash,False,,1.0,,,0.0,1.0001211499702025
2010-09-30,0.0001211499702025165,cash,False,,1.0,,,0.0,1.0002423146177204
2010-10-08,0.0001211499702025165,cash,False,,1.0,,,0.0,1.0003634939443315
2010-10-11,0.0001211499702025165,cash,False,,1.0,,,0.0,1.0004846879518146
2010-10-12,0.0001211499702025165,cash,False,,1.0,,,0.0,1.000605896641948
2010-10-13,0.0001211499702025165,cash,False,,1.0,,,0.0,1.0007271200165107
2010-10-14,-0.0008789711797676514,1.H00016,True,1.H00016,1.0,,,0.0,0.9998475097192042
2010-10-15,0.04329755804443258,1.H00016,False,,1.0,,,0.0,1.0431384653068527
2010-10-18,-0.005623550115990694,1.H00016,False,,1.0,,,0.0,1.037272323869282
2010-10-19,0.01634260339321192,1.H00016,False,,1.0,,,0.0,1.054224054069033
2010-10-20,0.0030117501790825063,1.H00016,False,,1.0,,,0.0,1.0573991135526686
2010-10-21,-0.017487511738571215,1.H00016,False,,1.0,,,0.0,1.0389078341420614
2010-10-22,-0.006321132824108622,1.H00016,False,,1.0,,,0.0,1.0323407597304424
2010-10-25,0.028411846487115477,1.H00016,False,,1.0,,,0.0,1.0616714669182958
2010-10-26,-0.009694964277573881,1.H00016,False,,1.0,,,0.0,1.0513785999720036
2010-10-27,-0.02061152006984246,1.H00016,False,,1.0,,,0.0,1.0297080888576777
2010-10-28,-0.0005105327774199697,1.H00016,False,,1.0,,,0.0,1.0291823891271414
2010-10-29,-0.015623796493361652,1.H00016,False,,1.0,,,0.0,1.0131026529248672
2010-11-01,0.02237450632358806,1.H00016,False,,1.0,,,0.0,1.0357703246391785
2010-11-02,-0.005018080260539515,0.399606,True,0.399606,1.0,,,0.0,1.030572746018654
2010-11-03,-0.03211090153957641,0.399606,False,,1.0,,,0.0,0.9974801260418781
2010-11-04,0.016424916723464245,0.399606,False,,1.0,,,0.0,1.0138636540454264
2010-11-05,0.013713379044596907,0.399606,False,,1.0,,,0.0,1.0277671506328914
2010-11-08,0.03248737585480854,0.399606,False,,1.0,,,0.0,1.0611566083467276
