date,QQQ,GLD,TLT,BIL,CN_CHINEXT_TR,CN_DIVLOWVOL_TR
2010-05-31,39.621315002441406,118.87999725341795,61.4048080444336,74.55194854736328,1000.0,4417.52
2010-06-01,39.256385803222656,119.91000366210938,61.8364143371582,74.55194854736328,973.2333,4282.98
2010-06-02,40.18608856201172,119.77999877929688,61.249061584472656,74.56822967529297,997.2925,4311.98
2010-06-03,40.568397521972656,117.95999908447266,60.80211639404297,74.53570556640625,998.568,4294.57
2010-06-04,39.17817687988281,119.19000244140624,62.43658065795898,74.56822967529297,1027.9442,4327.81
2010-06-07,38.46568298339844,121.48999786376952,62.91545486450195,74.55194854736328,1069.7418,4311.22
2010-06-08,38.39619445800781,121.0,62.60261154174805,74.56822967529297,1067.456,4360.15
2010-06-09,38.07468032836914,120.55999755859376,62.53236389160156,74.56822967529297,1078.1274,4460.15
2010-06-10,39.16079711914063,118.97000122070312,61.4150505065918,74.56822967529297,1117.8917,4456.76
2010-06-11,39.53441619873047,120.01000213623048,62.193946838378906,74.56822967529297,1122.7176,4441.62
2010-06-14,39.52574157714844,119.5999984741211,61.87470245361328,74.53570556640625,1122.7176,4441.62
2010-06-15,40.58576202392578,120.98999786376952,61.61934661865234,74.53570556640625,1122.7176,4441.62
2010-06-16,40.750858306884766,120.33000183105467,61.97051239013672,74.53570556640625,1122.7176,4441.62
2010-06-17,40.88120651245117,121.9000015258789,62.474910736083984,74.53570556640625,1065.3433,4374.28
2010-06-18,40.915138244628906,122.83000183105467,62.37271499633789,74.55194854736328,1000.7504,4231.92
2010-06-21,40.56693649291992,120.38999938964844,62.193946838378906,74.53570556640625,1041.4928,4338.08
2010-06-22,40.2535285949707,121.4499969482422,62.93457794189453,74.55194854736328,1035.6817,4348.4
2010-06-23,40.08812713623047,120.9499969482422,63.36236572265625,74.55194854736328,1048.0321,4345.13
2010-06-24,39.47875213623047,121.3000030517578,62.98569488525391,74.55194854736328,1051.2984,4336.38
2010-06-25,39.48661804199219,122.76000213623048,63.24104690551758,74.55194854736328,1016.9838,4278.53
2010-06-28,39.34706115722656,121.08999633789062,63.83478927612305,74.55194854736328,988.5081,4213.51
2010-06-29,37.82935333251953,121.2699966430664,64.53079986572266,74.55194854736328,913.9385,4025.0
2010-06-30,37.253662109375,121.68000030517578,64.96492767333984,74.56822967529297,919.9483,3967.85
2010-07-01,37.14900207519531,117.04000091552734,65.06743621826172,74.55194854736328,882.7983,3913.99
