name,category,subb_annual,subb_vol,subb_sharpe,subb_max_dd,combined_annual,combined_vol,combined_sharpe,combined_max_dd,params,delta_combined_annual_bp,delta_combined_sharpe,delta_combined_max_dd_bp,delta_subb_sharpe
baseline_current_volreg,baseline,0.18335399147297515,0.1658628738664814,1.1054552908601716,-0.19101463032298624,0.21244625158581543,0.1065154469162501,1.8752801804653914,-0.12816285373707595,{},0.0,0.0,0.0,0.0
partial_vol_l1.5_h2.0_p0.65,partial_vol,0.17638976107078275,0.1613426447723933,1.0932618671251886,-0.1946154240335434,0.21000378218229976,0.10668211169698173,1.8532577649702022,-0.12997987377419215,"{'low_th': 1.5, 'high_th': 2.0, 'partial_scale': 0.65}",-24.42469403515668,-0.02202241549518913,-18.170200371162014,-0.012193423734983
partial_vol_l1.4_h2.0_p0.65,partial_vol,0.17451276093741863,0.1598094650820408,1.0920051628220497,-0.1956414787993664,0.2101754610595563,0.10679053217078113,1.852827292527036,-0.13188468962413702,"{'low_th': 1.4, 'high_th': 2.0, 'partial_scale': 0.65}",-22.707905262591144,-0.022452887938355426,-37.2183588706107,-0.013450128038121845
partial_vol_l1.3_h2.0_p0.65,partial_vol,0.17435308102285774,0.158134002448727,1.1025654085963554,-0.20250679980503136,0.2091894979420612,0.1067966057334505,1.8449848755193574,-0.13295301291790795,"{'low_th': 1.3, 'high_th': 2.0, 'partial_scale': 0.65}",-32.567536437542174,-0.03029530494603394,-47.90159180832004,-0.002889882263816146
partial_vol_l1.5_h2.0_p0.50,partial_vol,0.17307913586515844,0.1599642006164543,1.0819866895102972,-0.2022837008030724,0.20892944748940767,0.10686194205973482,1.8418499561127666,-0.1307523864409868,"{'low_th': 1.5, 'high_th': 2.0, 'partial_scale': 0.5}",-35.16804096407755,-0.03343022435262477,-25.89532703910852,-0.023468601349874385
partial_vol_l1.4_h2.0_p0.50,partial_vol,0.1703683335054098,0.15795432462750092,1.0785923962967428,-0.203735537132469,0.2091554078324931,0.10705402820582868,1.8404995710858167,-0.13341716883258073,"{'low_th': 1.4, 'high_th': 2.0, 'partial_scale': 0.5}",-32.90843753322336,-0.03478060937957461,-52.5431509550478,-0.02686289456342883
trend_vol_ma200_v1.5,trend_vol,0.17011691931807338,0.16400911953331243,1.0372406107790877,-0.2276255971618173,0.20942477818113958,0.10720464166720581,1.840174931454507,-0.1297516144369928,"{'sma_w': 200, 'vol_th': 1.5}",-30.21473404675845,-0.0351052490108843,-15.887606999168414,-0.06821468008108389
partial_vol_l1.5_h1.8_p0.65,partial_vol,0.17469119166114933,0.16015655547190125,1.0907526772564617,-0.19653008614123904,0.2084600741169591,0.10722443977420011,1.832289346247794,-0.13122940489627502,"{'low_th': 1.5, 'high_th': 1.8, 'partial_scale': 0.65}",-39.86177468856322,-0.04299083421759731,-30.665511591990715,-0.014702613603709835
trend_vol_ma200_v1.3,trend_vol,0.16709206725409276,0.1624937403011801,1.0282984867256406,-0.218708832181521,0.20947741573044332,0.1077550028740942,1.8317742193148694,-0.13748548317600925,"{'sma_w': 200, 'vol_th': 1.3}",-29.688358553721095,-0.043505961150521966,-93.22629438933305,-0.07715680413453097
partial_vol_l1.4_h1.8_p0.65,partial_vol,0.17281690169673936,0.15861183538956314,1.0895586780916282,-0.20514283862220783,0.2086227561180074,0.10734050806870314,1.8316912444515103,-0.1330796438745218,"{'low_th': 1.4, 'high_th': 1.8, 'partial_scale': 0.65}",-38.23495467808024,-0.04358893601388103,-49.167901374458644,-0.015896612768543372
trend_vol_ma200_v1.4,trend_vol,0.1647791384423416,0.16335181099793972,1.0087377509663475,-0.23043702578391173,0.2092604937912499,0.1077306923439341,1.8304240293075225,-0.13387943343829337,"{'sma_w': 200, 'vol_th': 1.4}",-31.857577945655358,-0.044856151157868895,-57.16579701217417,-0.09671753989382403
partial_vol_l1.5_h2.0_p0.35,partial_vol,0.16970979475214643,0.1589399034022769,1.0677607769938737,-0.20992191465792812,0.20787959359327737,0.10709178430852101,1.8298611772662754,-0.1315209798671993,"{'low_th': 1.5, 'high_th': 2.0, 'partial_scale': 0.35}",-45.66657992538053,-0.04541900319911596,-33.581261301233454,-0.03769451386629785
partial_vol_l1.3_h2.0_p0.50,partial_vol,0.17010017992610993,0.1557486693752817,1.0921453172498559,-0.20788896487834682,0.20779586685485163,0.10707080953637814,1.8295683496893187,-0.13492076917123974,"{'low_th': 1.3, 'high_th': 2.0, 'partial_scale': 0.5}",-46.50384730963797,-0.04571183077607266,-67.57915434163792,-0.013309973610315717
partial_vol_l1.4_h2.0_p0.35,partial_vol,0.16614811774156202,0.1565726042936635,1.061157017162076,-0.2117912299634669,0.20814934994975645,0.1073857236040229,1.8272428747957363,-0.1349119803318766,"{'low_th': 1.4, 'high_th': 2.0, 'partial_scale': 0.35}",-42.96901636058975,-0.04803730566965503,-67.49126594800647,-0.04429827369809547
partial_vol_l1.5_h1.8_p0.50,partial_vol,0.17173658198889563,0.1592562465341135,1.078366379507185,-0.1997855930539914,0.20777048959807587,0.1072900228278228,1.8258155713754967,-0.13170499056709517,"{'low_th': 1.5, 'high_th': 1.8, 'partial_scale': 0.5}",-46.75761987739557,-0.049464609089894696,-35.42136830019221,-0.027088911352986633
partial_vol_l1.3_h1.8_p0.65,partial_vol,0.17265745234132446,0.1569235694875858,1.10026462503444,-0.21356257759871297,0.20768869550492042,0.10731971995152395,1.8247157704117722,-0.13411189394424528,"{'low_th': 1.3, 'high_th': 1.8, 'partial_scale': 0.65}",-47.57556080895009,-0.05056441005361911,-59.49040207169326,-0.0051906658257316884
