date,close_raw
2018-01-16,18.58
2018-01-17,20.44
2018-01-18,22.48
2018-01-19,24.73
2018-01-22,27.2
2018-01-23,29.92
2018-01-24,30.93
2018-01-25,30.16
2018-01-26,28.13
2018-01-29,27.8
2018-01-30,27.26
2018-01-31,25.44
2018-02-01,26.0
2018-02-02,25.23
2018-02-05,22.86
2018-02-06,21.83
2018-02-07,22.46
2018-02-08,22.38
2018-02-09,22.8
2018-02-12,23.27
2018-02-13,21.6
2018-02-14,21.06
2018-02-22,21.38
2018-02-23,21.6
2018-02-26,23.76
2018-02-27,25.12
2018-02-28,24.13
2018-03-01,24.87
2018-03-02,23.26
2018-03-05,23.74
2018-03-06,24.3
2018-03-07,25.16
2018-03-08,25.36
2018-03-09,25.85
2018-03-12,25.55
2018-03-13,24.42
2018-03-14,25.73
2018-03-15,23.44
2018-03-16,23.71
2018-03-19,26.08
2018-03-20,26.69
2018-03-21,25.99
2018-03-22,26.88
2018-03-23,24.19
2018-03-26,24.68
2018-03-27,25.8
2018-03-28,26.34
2018-03-29,26.11
2018-03-30,26.64
2018-04-02,27.89
2018-04-03,27.34
2018-04-04,27.81
2018-04-09,29.29
2018-04-10,26.86
2018-04-11,27.02
2018-04-12,26.11
2018-04-13,26.25
2018-04-16,25.25
2018-04-17,23.91
2018-04-18,24.39
2018-04-19,24.38
2018-04-20,22.74
2018-04-23,23.32
2018-04-24,24.16
2018-04-25,23.8
2018-04-26,22.63
2018-04-27,22.96
2018-05-02,22.32
2018-05-03,22.84
2018-05-04,22.4
2018-05-07,23.1
2018-05-08,23.51
2018-05-09,23.52
2018-05-10,23.57
2018-05-11,22.93
2018-05-14,22.75
2018-05-15,24.16
2018-05-16,23.89
2018-05-17,24.27
2018-05-18,23.97
2018-05-21,24.93
2018-05-22,25.33
2018-05-23,24.73
2018-05-24,24.98
2018-05-25,26.24
2018-05-28,25.59
2018-05-29,24.7
2018-05-30,22.23
2018-05-31,22.71
2018-06-01,22.6
2018-06-04,22.86
2018-06-05,23.56
2018-06-06,23.71
2018-06-07,23.04
2018-06-08,22.86
2018-06-11,23.27
2018-06-12,22.85
2018-06-13,22.13
2018-06-14,22.27
2018-06-15,20.76
2018-06-19,18.68
2018-06-20,19.04
2018-06-21,17.83
2018-06-22,18.15
2018-06-25,18.6
2018-06-26,19.12
2018-06-27,19.04
2018-06-28,18.9
2018-06-29,19.62
2018-07-02,19.21
2018-07-03,19.69
2018-07-04,18.63
2018-07-05,18.0
2018-07-06,18.47
2018-07-09,19.03
2018-07-10,19.52
2018-07-11,19.0
2018-07-12,20.9
2018-07-13,20.16
2018-07-16,20.13
2018-07-17,20.0
2018-07-18,19.7
2018-07-19,19.8
2018-07-20,20.14
2018-07-23,20.15
2018-07-24,20.31
2018-07-25,19.86
2018-07-26,19.47
2018-07-27,19.58
2018-07-30,18.73
2018-07-31,18.72
2018-08-01,18.23
2018-08-02,17.7
2018-08-03,17.03
2018-08-06,16.22
2018-08-07,17.07
2018-08-08,16.53
2018-08-09,16.87
2018-08-10,17.06
2018-08-13,17.2
2018-08-14,17.2
2018-08-15,16.67
2018-08-16,16.63
2018-08-17,16.22
2018-08-20,16.46
2018-08-21,16.65
2018-08-22,16.25
2018-08-23,16.44
2018-08-24,16.23
2018-08-27,16.6
2018-08-28,17.14
2018-08-29,16.74
2018-08-30,16.32
2018-08-31,16.04
2018-09-03,15.42
2018-09-04,15.51
2018-09-05,15.26
2018-09-06,15.5
2018-09-07,15.36
2018-09-10,14.91
2018-09-11,15.16
2018-09-12,15.29
2018-09-13,15.39
2018-09-14,15.2
2018-09-17,14.77
2018-09-18,15.02
2018-09-19,15.15
2018-09-20,14.99
2018-09-21,15.58
2018-09-25,17.14
2018-09-26,18.85
2018-09-27,17.13
2018-09-28,17.2
2018-10-08,16.85
2018-10-09,17.3
2018-10-10,17.5
2018-10-11,15.75
2018-10-12,15.99
2018-10-15,15.43
2018-10-16,15.76
2018-10-17,15.46
2018-10-18,14.02
2018-10-19,14.17
2018-10-22,14.83
2018-10-23,14.66
2018-10-24,14.64
2018-10-25,14.19
2018-10-26,14.21
2018-10-29,14.01
2018-10-30,15.41
2018-10-31,16.95
2018-11-01,16.0
2018-11-02,16.16
2018-11-05,16.05
2018-11-06,15.66
2018-11-07,15.83
2018-11-08,15.44
2018-11-09,14.9
2018-11-12,15.4
2018-11-13,15.52
2018-11-14,15.56
2018-11-15,16.39
2018-11-16,16.19
2018-11-19,16.25
2018-11-20,15.65
2018-11-21,15.64
2018-11-22,16.02
2018-11-23,14.76
2018-11-26,14.69
2018-11-27,14.77
2018-11-28,15.0
2018-11-29,14.29
2018-11-30,14.62
2018-12-03,15.22
2018-12-04,15.38
2018-12-05,15.15
2018-12-06,15.29
2018-12-07,15.42
2018-12-10,14.78
2018-12-11,14.85
2018-12-12,16.34
2018-12-13,16.19
2018-12-14,15.79
2018-12-17,16.42
2018-12-18,15.98
2018-12-19,15.66
2018-12-20,15.64
2018-12-21,15.83
2018-12-24,16.23
2018-12-25,15.8
2018-12-26,16.1
2018-12-27,16.54
2018-12-28,15.9
2019-01-02,16.44
2019-01-03,16.18
2019-01-04,16.85
2019-01-07,16.75
2019-01-08,17.06
2019-01-09,16.92
2019-01-10,16.38
2019-01-11,16.59
2019-01-14,14.93
2019-01-15,14.75
2019-01-16,14.83
2019-01-17,14.63
2019-01-18,14.78
2019-01-21,14.74
2019-01-22,14.82
2019-01-23,15.29
2019-01-24,15.27
2019-01-25,14.8
2019-01-28,14.4
2019-01-29,13.68
2019-01-30,13.18
2019-01-31,12.83
2019-02-01,13.16
2019-02-11,13.63
2019-02-12,13.75
2019-02-13,14.03
2019-02-14,13.95
2019-02-15,14.06
2019-02-18,14.42
2019-02-19,14.27
2019-02-20,14.28
2019-02-21,14.19
2019-02-22,14.37
2019-02-25,14.91
2019-02-26,14.87
2019-02-27,14.88
2019-02-28,15.03
2019-03-01,14.93
2019-03-04,15.02
2019-03-05,15.25
2019-03-06,15.6
2019-03-07,15.86
2019-03-08,14.71
2019-03-11,15.54
2019-03-12,15.86
2019-03-13,15.34
2019-03-14,15.31
2019-03-15,15.55
2019-03-18,15.82
2019-03-19,15.85
2019-03-20,15.65
2019-03-21,15.6
2019-03-22,15.72
2019-03-25,15.23
2019-03-26,14.81
2019-03-27,14.79
2019-03-28,14.54
2019-03-29,14.91
2019-04-01,15.38
2019-04-02,15.44
2019-04-03,15.65
2019-04-04,15.62
2019-04-08,15.5
2019-04-09,15.62
2019-04-10,15.7
2019-04-11,15.21
2019-04-12,15.1
2019-04-15,15.75
2019-04-16,16.3
2019-04-17,16.09
2019-04-18,15.76
2019-04-19,16.21
2019-04-22,15.61
