date,side
2010-01-08,current_only
2010-01-21,current_only
2010-02-04,current_only
2010-02-22,current_only
2010-03-04,current_only
2010-03-18,current_only
2010-04-01,current_only
2010-04-15,current_only
2010-04-29,current_only
2010-05-13,current_only
2010-05-27,current_only
2010-06-10,current_only
2010-06-24,current_only
2010-07-08,current_only
2010-07-22,current_only
2010-08-05,current_only
2010-08-19,current_only
2010-09-02,current_only
2010-09-16,current_only
2010-09-30,current_only
2010-10-14,current_only
2010-10-28,current_only
2010-11-11,current_only
2010-11-25,current_only
2010-12-09,current_only
2010-12-23,current_only
2011-01-06,current_only
2011-01-20,current_only
2011-02-09,current_only
2011-02-17,current_only
2011-03-03,current_only
2011-03-17,current_only
2011-03-31,current_only
2011-04-14,current_only
2011-04-28,current_only
2011-05-12,current_only
2011-05-26,current_only
2011-06-09,current_only
2011-06-23,current_only
2011-07-07,current_only
2011-07-21,current_only
2011-08-04,current_only
2011-08-18,current_only
2011-09-01,current_only
2011-09-15,current_only
2011-09-29,current_only
2011-10-13,current_only
2011-10-27,current_only
2011-11-10,current_only
2011-11-24,current_only
2011-12-08,current_only
2011-12-22,current_only
2012-01-05,current_only
2012-01-19,current_only
2012-02-02,current_only
2012-02-16,current_only
2012-03-01,current_only
2012-03-15,current_only
2012-03-29,current_only
2012-04-12,current_only
2012-04-26,current_only
2012-05-10,current_only
2012-05-24,current_only
2012-06-07,current_only
2012-06-21,current_only
2012-07-05,current_only
2012-07-19,current_only
2012-08-02,current_only
2012-08-16,current_only
2012-08-30,current_only
2012-09-13,current_only
2012-09-27,current_only
2012-10-11,current_only
2012-10-25,current_only
2012-11-08,current_only
2012-11-22,current_only
2012-12-06,current_only
2012-12-20,current_only
2013-01-04,current_only
2013-01-17,current_only
2013-01-31,current_only
2013-02-18,current_only
2013-02-28,current_only
2013-03-14,current_only
2013-03-28,current_only
2013-04-11,current_only
2013-04-25,current_only
2013-05-09,current_only
2013-05-23,current_only
2013-06-06,current_only
2013-06-20,current_only
2013-07-04,current_only
2013-07-18,current_only
2013-08-01,current_only
2013-08-15,current_only
2013-08-29,current_only
2013-09-12,current_only
2013-09-26,current_only
2013-10-10,current_only
2013-10-24,current_only
2013-11-07,current_only
2013-11-21,current_only
2013-12-05,current_only
2013-12-19,current_only
2014-01-02,current_only
2014-01-16,current_only
2014-01-30,current_only
2014-02-13,current_only
2014-02-27,current_only
2014-03-13,current_only
2014-03-27,current_only
2014-04-10,current_only
2014-04-24,current_only
2014-05-08,current_only
2014-05-22,current_only
2014-06-05,current_only
2014-06-19,current_only
2014-07-03,current_only
2014-07-17,current_only
2014-07-31,current_only
2014-08-14,current_only
2014-08-28,current_only
2014-09-11,current_only
2014-09-25,current_only
2014-10-09,current_only
2014-10-23,current_only
2014-11-06,current_only
2014-11-20,current_only
2014-12-04,current_only
2014-12-18,current_only
2015-01-05,current_only
2015-01-15,current_only
2015-01-29,current_only
2015-02-12,current_only
2015-02-26,current_only
2015-03-12,current_only
2015-03-26,current_only
2015-04-09,current_only
2015-04-23,current_only
2015-05-07,current_only
2015-05-21,current_only
2015-06-04,current_only
2015-06-18,current_only
2015-07-02,current_only
2015-07-16,current_only
2015-07-30,current_only
2015-08-13,current_only
2015-08-27,current_only
2015-09-10,current_only
2015-09-24,current_only
2018-02-22,current_only
2018-03-08,current_only
2018-03-22,current_only
2018-04-09,current_only
2018-04-19,current_only
2018-05-03,current_only
2018-05-17,current_only
2018-05-31,current_only
2018-06-14,current_only
2018-06-28,current_only
2018-07-12,current_only
2018-07-26,current_only
2018-08-09,current_only
2018-08-23,current_only
2018-09-06,current_only
2018-09-20,current_only
2018-10-08,current_only
2018-10-18,current_only
2018-11-01,current_only
2018-11-15,current_only
2018-11-29,current_only
2018-12-13,current_only
2018-12-27,current_only
2019-01-10,current_only
2019-01-24,current_only
2019-02-11,current_only
2019-02-21,current_only
2019-03-07,current_only
2019-03-21,current_only
2019-04-04,current_only
2019-04-18,current_only
2019-05-06,current_only
2019-05-16,current_only
2019-05-30,current_only
2019-06-13,current_only
2019-06-27,current_only
2019-07-11,current_only
2019-07-25,current_only
2019-08-08,current_only
2019-08-22,current_only
2019-09-05,current_only
2019-09-19,current_only
2019-10-08,current_only
2019-10-17,current_only
2019-10-31,current_only
2019-11-14,current_only
2019-11-28,current_only
2019-12-12,current_only
2019-12-26,current_only
2020-01-09,current_only
2020-01-23,current_only
2020-02-06,current_only
2020-02-20,current_only
2020-03-05,current_only
2020-03-19,current_only
2020-04-02,current_only
2020-04-16,current_only
2020-04-30,current_only
2020-05-14,current_only
2020-05-28,current_only
2020-06-11,current_only
2020-06-29,current_only
2020-07-09,current_only
2020-07-23,current_only
2020-08-06,current_only
2020-08-20,current_only
2020-09-03,current_only
2020-09-17,current_only
2021-02-18,current_only
2021-03-04,current_only
2021-03-18,current_only
2021-04-01,current_only
2021-04-15,current_only
2021-04-29,current_only
2021-05-13,current_only
2021-05-27,current_only
2021-06-10,current_only
2021-06-24,current_only
2021-07-08,current_only
2021-07-22,current_only
2021-08-05,current_only
2021-08-19,current_only
2021-09-02,current_only
2021-09-16,current_only
2021-09-30,current_only
2021-10-14,current_only
2021-10-28,current_only
2021-11-11,current_only
2021-11-25,current_only
2021-12-09,current_only
2021-12-23,current_only
2022-01-06,current_only
2022-01-20,current_only
2022-02-07,current_only
2022-02-17,current_only
2022-03-03,current_only
2022-03-17,current_only
2022-03-31,current_only
2022-04-14,current_only
2022-04-28,current_only
2022-05-12,current_only
2022-05-26,current_only
2022-06-09,current_only
2022-06-23,current_only
2022-07-07,current_only
2022-07-21,current_only
2022-08-04,current_only
2022-08-18,current_only
2022-09-01,current_only
2022-09-15,current_only
2022-09-29,current_only
2022-10-13,current_only
2022-10-27,current_only
2022-11-10,current_only
2022-11-24,current_only
2022-12-08,current_only
2022-12-22,current_only
2023-01-05,current_only
2023-01-19,current_only
2023-02-02,current_only
2023-02-16,current_only
2023-03-02,current_only
2023-03-16,current_only
2023-03-30,current_only
2023-04-13,current_only
2023-04-27,current_only
2023-05-11,current_only
2023-05-25,current_only
2023-06-08,current_only
2023-06-26,current_only
2023-07-06,current_only
2023-07-20,current_only
2023-08-03,current_only
2023-08-17,current_only
2023-08-31,current_only
2023-09-14,current_only
2023-09-28,current_only
2023-10-12,current_only
2023-10-26,current_only
2023-11-09,current_only
2023-11-23,current_only
2023-12-07,current_only
2023-12-21,current_only
2024-01-04,current_only
2024-01-18,current_only
2024-02-01,current_only
2024-02-19,current_only
2024-02-29,current_only
2024-03-14,current_only
2024-03-28,current_only
2024-04-11,current_only
2024-04-25,current_only
2024-05-09,current_only
2024-05-23,current_only
2024-06-06,current_only
2024-06-20,current_only
2024-07-04,current_only
2024-07-18,current_only
2024-08-01,current_only
2024-08-15,current_only
2024-08-29,current_only
2024-09-12,current_only
2024-09-26,current_only
2024-10-10,current_only
2024-10-24,current_only
2024-11-07,current_only
2024-11-21,current_only
2024-12-05,current_only
2024-12-19,current_only
2025-01-02,current_only
2025-01-16,current_only
2025-02-05,current_only
2025-02-13,current_only
2025-02-27,current_only
2025-03-13,current_only
2025-03-27,current_only
2025-04-10,current_only
2025-04-24,current_only
2025-05-08,current_only
2025-05-22,current_only
2025-06-05,current_only
2025-06-19,current_only
2025-07-03,current_only
2025-07-17,current_only
2025-07-31,current_only
2025-08-14,current_only
2025-08-28,current_only
2025-09-11,current_only
2025-09-25,current_only
2010-01-14,fixed_only
2010-01-28,fixed_only
2010-02-11,fixed_only
