schedule,window,start_date,end_date,days,total_return_pct,annual_pct,max_drawdown_pct,vol_pct,sharpe
current_floating,full,2010-02-02,2026-05-11,3947,2859.841511179147,23.150930719655083,-15.00754840414858,10.624737203640883,2.1789650205862716
current_floating,1y,2025-05-12,2026-05-11,242,10.003975719140312,10.039999729376191,-11.14799250936488,14.170001315478405,0.7085390823788518
current_floating,3y,2023-05-11,2026-05-11,725,102.59677083697434,26.528256912530622,-11.147992509364823,14.93570714486754,1.776163435398284
current_floating,5y,2021-05-11,2026-05-11,1211,191.12996659094307,23.831202375618954,-14.14763212945295,14.846659238789057,1.605155880008108
current_floating,10y,2016-05-11,2026-05-11,2427,691.2321605211529,22.982322943218204,-15.007548404148674,12.241636231137665,1.8773897957170684
fixed_anchor_2016_01_07,full,2010-02-02,2026-05-11,3947,2699.347837538756,22.729631774382163,-17.551474093080888,10.714983938402899,2.121294059332961
fixed_anchor_2016_01_07,1y,2025-05-12,2026-05-11,242,14.85670437447788,14.911351263889028,-11.147992509364865,14.011132452111532,1.0642502534933804
fixed_anchor_2016_01_07,3y,2023-05-11,2026-05-11,725,125.52361327818443,31.13053076440455,-11.147992509364917,14.765854591416405,2.1082782965031472
fixed_anchor_2016_01_07,5y,2021-05-11,2026-05-11,1211,230.71196013828336,27.02938748195882,-15.484697919511698,14.868230296238021,1.8179290301144873
fixed_anchor_2016_01_07,10y,2016-05-11,2026-05-11,2427,697.2946279261629,23.07624225553735,-17.55147409308089,12.260117778937357,1.8822202748477574
