date,baseline,zz2000_and_cyb_below_ma53_days13:scale0.00,zz2000_and_cyb_below_ma53_days13:scale0.25,zz2000_and_cyb_below_ma53_days13:scale0.50
2010-06-01,1.0,1.0,1.0,1.0
2010-06-02,1.0,1.0,1.0,1.0
2010-06-03,1.0,1.0,1.0,1.0
2010-06-04,1.0,1.0,1.0,1.0
2010-06-07,1.0,1.0,1.0,1.0
2010-06-08,1.0,1.0,1.0,1.0
2010-06-09,1.0,1.0,1.0,1.0
2010-06-10,1.0,1.0,1.0,1.0
2010-06-11,1.0,1.0,1.0,1.0
2010-06-17,1.0,1.0,1.0,1.0
2010-06-18,1.0,1.0,1.0,1.0
2010-06-21,1.0,1.0,1.0,1.0
2010-06-22,1.0,1.0,1.0,1.0
2010-06-23,1.0,1.0,1.0,1.0
2010-06-24,1.0,1.0,1.0,1.0
2010-06-25,1.0,1.0,1.0,1.0
2010-06-28,0.9955,0.9955,0.9955,0.9955
2010-06-29,0.987629256074527,0.987629256074527,0.987629256074527,0.987629256074527
2010-06-30,0.9741784756193076,0.9741784756193076,0.9741784756193076,0.9741784756193076
2010-07-01,0.9672293245293283,0.9672293245293283,0.9672293245293283,0.9672293245293283
2010-07-02,0.9770187431798532,0.9770187431798532,0.9770187431798532,0.9770187431798532
2010-07-05,0.9802343521217997,0.9802343521217997,0.9802343521217997,0.9802343521217997
2010-07-06,0.9812434124894264,0.9812434124894264,0.9812434124894264,0.9812434124894264
2010-07-07,0.9796049415787413,0.9796049415787413,0.9796049415787413,0.9796049415787413
2010-07-08,0.9866731162337413,0.9866731162337413,0.9866731162337413,0.9866731162337413
2010-07-09,0.9945883920871015,0.9945883920871015,0.9945883920871015,0.9945883920871015
2010-07-12,1.004437002385862,1.004437002385862,1.004437002385862,1.004437002385862
2010-07-13,1.0042654308581092,1.0042654308581092,1.0042654308581092,1.0042654308581092
2010-07-14,1.008485336400603,1.008485336400603,1.008485336400603,1.008485336400603
2010-07-15,1.008431569811561,1.008431569811561,1.008431569811561,1.008431569811561
2010-07-16,1.006375026486816,1.006375026486816,1.006375026486816,1.006375026486816
2010-07-19,1.0062864640261724,1.0062864640261724,1.0062864640261724,1.0062864640261724
2010-07-20,1.0016965914436937,1.0016965914436937,1.0016965914436937,1.0016965914436937
2010-07-21,1.0016350117352033,1.0016350117352033,1.0016350117352033,1.0016350117352033
2010-07-22,1.0015734358123507,1.0015734358123507,1.0015734358123507,1.0015734358123507
2010-07-23,1.0034565859927163,1.0034565859927163,1.0034565859927163,1.0034565859927163
2010-07-26,1.0058406541149807,1.0058406541149807,1.0058406541149807,1.0058406541149807
2010-07-27,1.0076855336431376,1.0076855336431376,1.0076855336431376,1.0076855336431376
2010-07-28,1.0092766274717617,1.0092766274717617,1.0092766274717617,1.0092766274717617
2010-07-29,1.0147248426819733,1.0147248426819733,1.0147248426819733,1.0147248426819733
2010-07-30,1.0160495558616616,1.0160495558616616,1.0160495558616616,1.0160495558616616
2010-08-02,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-03,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-04,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-05,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-06,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-09,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-10,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-11,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-12,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-13,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-16,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-17,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-18,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-19,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-20,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-23,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-24,1.0105359708038442,1.0105359708038442,1.0105359708038442,1.0105359708038442
2010-08-25,1.0059885589352269,1.0059885589352269,1.0059885589352269,1.0059885589352269
2010-08-26,1.012127246958968,1.012127246958968,1.012127246958968,1.012127246958968
2010-08-27,1.0119525332745538,1.0119525332745538,1.0119525332745538,1.0119525332745538
2010-08-30,1.009894877661306,1.009894877661306,1.009894877661306,1.009894877661306
2010-08-31,1.0052885463869912,1.0052885463869912,1.0052885463869912,1.0052885463869912
2010-09-01,0.9968160625477404,0.9968160625477404,0.9968160625477404,0.9968160625477404
2010-09-02,1.0005211182415477,1.0005211182415477,1.0005211182415477,1.0005211182415477
2010-09-03,1.010536172147465,1.010536172147465,1.010536172147465,1.010536172147465
2010-09-06,1.011737139229734,1.011737139229734,1.011737139229734,1.011737139229734
2010-09-07,1.0155936345650682,1.0155936345650682,1.0155936345650682,1.0155936345650682
2010-09-08,1.0185851186731658,1.0185851186731658,1.0185851186731658,1.0185851186731658
2010-09-09,1.0226036259851692,1.0226036259851692,1.0226036259851692,1.0226036259851692
2010-09-10,1.0323479283814836,1.0323479283814836,1.0323479283814836,1.0323479283814836
2010-09-13,1.036422038584071,1.036422038584071,1.036422038584071,1.036422038584071
2010-09-14,1.0335622229480712,1.0335622229480712,1.0335622229480712,1.0335622229480712
2010-09-15,1.0360383768749284,1.0360383768749284,1.0360383768749284,1.0360383768749284
2010-09-16,1.0264267229499464,1.0264267229499464,1.0264267229499464,1.0264267229499464
2010-09-17,1.0308038477648855,1.0308038477648855,1.0308038477648855,1.0308038477648855
2010-09-20,1.0384549564603687,1.0384549564603687,1.0384549564603687,1.0384549564603687
2010-09-21,1.0381169550226024,1.0381169550226024,1.0381169550226024,1.0381169550226024
2010-09-27,1.0374081055798419,1.0374081055798419,1.0374081055798419,1.0374081055798419
2010-09-28,1.0343928404539648,1.0343928404539648,1.0343928404539648,1.0343928404539648
2010-09-29,1.0318190079330636,1.0318190079330636,1.0318190079330636,1.0318190079330636
2010-09-30,1.0307470628941917,1.0307470628941917,1.0307470628941917,1.0307470628941917
2010-10-08,1.0260456206582307,1.0260456206582307,1.0260456206582307,1.0260456206582307
2010-10-11,1.0259825440831902,1.0259825440831902,1.0259825440831902,1.0259825440831902
2010-10-12,1.0259194713858082,1.0259194713858082,1.0259194713858082,1.0259194713858082
2010-10-13,1.025856402565846,1.025856402565846,1.025856402565846,1.025856402565846
2010-10-14,1.0257933376230655,1.0257933376230655,1.0257933376230655,1.0257933376230655
2010-10-15,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-10-18,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-10-19,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-10-20,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-10-21,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-10-22,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-10-25,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-10-26,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-10-27,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-10-28,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-10-29,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-11-01,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-11-02,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-11-03,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-11-04,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-11-05,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-11-08,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-11-09,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-11-10,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-11-11,1.0211144903127205,1.0211144903127205,1.0211144903127205,1.0211144903127205
2010-11-12,1.0165194751063134,1.0165194751063134,1.0165194751063134,1.0165194751063134
2010-11-15,1.016387546298151,1.016387546298151,1.016387546298151,1.016387546298151
