family,scale,tested,robust,loose_pass,score_p25,score_p50,score_p75,score_max,full_ann_p50,ann10_p50,ann5_p50,ann3_p50,pos10,pos5,pos3
zz2000_and_cyb,0.75,558,0,0,-0.15387890890663103,-0.0797692964622131,-0.0407228545192413,0.0978737928419134,-0.5973589439954985,-0.4214844842274061,-0.602326910883292,-1.1295718721769248,0,7,1
cyb,0.75,558,0,0,-0.18435326660710794,-0.11988007174137774,-0.047175346370720274,0.0753781641073916,-1.2335639077460065,-0.811054035937417,-0.670674696285058,-1.7871235886511982,7,85,0
zz2000_and_cyb,0.5,558,0,0,-0.33555927936901947,-0.18060030999417004,-0.0994836716796858,0.1742900813984897,-1.200656790544265,-0.8501935491826771,-1.226095964454455,-2.272694056921722,0,6,1
cyb,0.5,558,0,0,-0.4047415772671803,-0.2691569081614832,-0.12459083213228962,0.1065682294887555,-2.472519027869481,-1.638115308421174,-1.3711343996000416,-3.5826194447436954,6,85,0
zz2000,0.75,558,0,0,-0.3976182431973716,-0.30671823766845085,-0.17347285569790105,-0.01198620506903,-1.0237459773212265,-1.261511470543219,-2.006466730936012,-3.2153849521145546,0,0,0
zz2000_and_cyb,0.25,558,0,0,-0.5451746709627252,-0.3018638452837684,-0.17650365109521726,0.2263766808150584,-1.8101524374227758,-1.2965540580494483,-1.8523554163663287,-3.428602223793952,0,6,1
cyb,0.25,558,0,0,-0.6718217251589587,-0.453129857751162,-0.250403332675984,0.1443280791902845,-3.7186155044907885,-2.4899213169452956,-2.097180413564349,-5.3756022705801705,6,85,0
zz2000_and_cyb,0.0,558,0,0,-0.8133837799890096,-0.442949267972727,-0.2703746602754475,0.2498012209336726,-2.4271460686788338,-1.7605469292926372,-2.481633388031049,-4.602016192435077,0,5,1
cyb,0.0,558,0,0,-0.9819791454787489,-0.6800295003105075,-0.392768907918169,0.1664753295850785,-4.968910226576167,-3.362559005933006,-2.847601946901726,-7.164840891636661,6,81,0
zz2000,0.5,558,0,0,-0.8668053191658754,-0.67381061047828,-0.395993918669867,-0.0854567557531846,-2.058742123794545,-2.531308018486964,-4.024566216608971,-6.423106552933703,0,0,0
zz2000,0.25,558,0,0,-1.4062318216066916,-1.0817656933808173,-0.6717336322754274,-0.1825697047882971,-3.1052465064415635,-3.8077537553862104,-6.067636432779079,-9.622499726015612,0,0,0
zz2000,0.0,558,0,0,-2.0353895439289023,-1.513269084566044,-1.001669670516106,-0.3042728880846274,-4.157701503737499,-5.090744912127487,-8.124681691107174,-12.810446995051253,0,0,0
