family,scale,tested,robust_cells,score_p75,median_score,best_score,best_10y_ann,best_5y_ann,best_3y_ann,best_10y_dd,best_5y_dd,best_3y_dd
zz2000_and_cyb,0.0,558,0,-0.27037466027544754,-0.44294926797272705,0.24980122093367269,-0.2036479219368985,1.4764153435397276,0.2748899931506372,3.197442310920451e-14,5.684341886080802e-14,1.3732904020182346
zz2000_and_cyb,0.25,558,0,-0.1765036510952173,-0.3018638452837684,0.2263766808150584,-0.12577976709923888,1.1454480794901727,0.2141324059138796,5.3290705182007514e-14,7.815970093361102e-14,1.2869095676034785
zz2000_and_cyb,0.5,558,0,-0.09948367167968587,-0.1806003099941701,0.17429008139848973,-0.06583982465519966,0.7890036784152556,0.14805004321936366,2.1316282072803006e-14,6.750155989720952e-14,1.2005287331886887
cyb,0.0,558,0,-0.39276890791816904,-0.6800295003105075,0.16647532958507852,0.45832476998479876,2.3908478411314817,-0.612110378257988,3.188154949711784,3.1881549497118193,1.3732904020182684
cyb,0.25,558,0,-0.2504033326759841,-0.45312985775116205,0.14432807919028454,0.3609531099972898,1.8112362527867631,-0.4514120102018282,2.842631612052646,2.8426316120526813,1.2869095676034785
cyb,0.5,558,0,-0.12459083213228966,-0.2691569081614832,0.10656822948875551,0.2521169066350737,1.219489004577241,-0.2958275190401167,2.4528252431624136,2.4528252431624367,1.2005287331886887
zz2000_and_cyb,0.75,558,0,-0.040722854519241326,-0.0797692964622131,0.09787379284191348,-0.02389279984884496,0.40715912266524157,0.07666512973114692,3.197442310920451e-14,9.947598300641403e-14,1.1141478987738882
cyb,0.75,558,0,-0.04717534637072034,-0.1198800717413778,0.07537816410739161,0.1318032573820247,0.6157089826985569,-0.1453569040248439,1.220093663581931,1.220093663581956,1.1141478987738989
zz2000,0.75,558,0,-0.17347285569790116,-0.30671823766845085,-0.011986205069030009,-0.3273314112969459,-0.5383260142573221,-0.3701006681154482,0.05369145661948593,0.05369145661949659,1.363239448311882
zz2000,0.5,558,0,-0.39599391866986705,-0.67381061047828,-0.08545675575318461,-0.6704805966146097,-1.0946416534444623,-0.7695458262911217,0.10702981693354374,0.10702981693356861,1.6993342981676545
zz2000,0.25,558,0,-0.6717336322754274,-1.0817656933808173,-0.1825697047882971,-1.029316363200806,-1.668706917783446,-1.198046906402304,0.13710945229238192,0.13710945229239613,2.0360506791926696
zz2000,0.0,558,0,-1.001669670516106,-1.513269084566044,-0.3042728880846274,-1.403705654563069,-2.2602795942334097,-1.6553063012392215,-0.20038942659743952,-0.20038942659741465,1.0277670643591303
